"day","month","year","hour","houred","totinc","totdecr","medbikes","meanbikes","lastbikes","propempty","propfull","count"
26,9,2014,10,392145,0,0,8,8,8,0,0,1
26,9,2014,11,392146,3,0,9.5,9.375,11,0,0,8
26,9,2014,12,392147,0,3,10,10,8,0,0,9
26,9,2014,13,392148,1,2,8,7.55555555555556,7,0,0,9
26,9,2014,14,392149,3,2,7,7.11111111111111,8,0,0,9
26,9,2014,15,392150,1,9,5,4.66666666666667,0,0.0555555555555556,0,18
26,9,2014,16,392151,3,3,1,1,0,0.454545454545455,0,11
26,9,2014,17,392152,0,0,0,0,0,1,0,6
26,9,2014,18,392153,4,0,1,1.66666666666667,4,0.444444444444444,0,9
26,9,2014,19,392154,0,0,4,4,4,0,0,6
26,9,2014,20,392155,0,0,4,4,4,0,0,5
26,9,2014,21,392156,0,1,3,3.28571428571429,3,0,0,7
26,9,2014,22,392157,1,0,5,4.66666666666667,5,0,0,6
26,9,2014,23,392158,0,0,5,5,5,0,0,6
27,9,2014,0,392159,0,0,5,5,5,0,0,6
27,9,2014,1,392160,0,0,5,5,5,0,0,6
27,9,2014,2,392161,0,0,5,5,5,0,0,9
27,9,2014,3,392162,0,0,5,5,5,0,0,6
27,9,2014,4,392163,0,0,5,5,5,0,0,6
27,9,2014,5,392164,0,0,5,5,5,0,0,6
27,9,2014,6,392165,0,0,5,5,5,0,0,6
27,9,2014,7,392166,0,1,4.5,4.5,4,0,0,6
27,9,2014,8,392167,1,1,4,3.71428571428571,4,0,0,7
27,9,2014,9,392168,1,1,4,4.4,4,0,0,10
27,9,2014,10,392169,0,0,4,4,4,0,0,6
27,9,2014,11,392170,1,2,4,4.125,4,0,0,8
27,9,2014,12,392171,1,1,4,3.75,4,0,0,8
27,9,2014,13,392172,0,0,4,4,4,0,0,6
27,9,2014,14,392173,2,1,4,4,5,0,0,8
27,9,2014,15,392174,0,1,4,4.28571428571429,4,0,0,7
27,9,2014,16,392175,0,1,3,3.28571428571429,3,0,0,7
27,9,2014,17,392176,0,2,2,2.18181818181818,1,0,0,11
27,9,2014,18,392177,0,0,1,1,1,0,0,6
27,9,2014,19,392178,0,1,0,0.333333333333333,0,0.666666666666667,0,6
27,9,2014,20,392179,0,0,0,0,0,1,0,6
27,9,2014,21,392180,0,0,1,1,1,0,0,6
27,9,2014,22,392181,1,0,1,1.33333333333333,2,0,0,6
27,9,2014,23,392182,1,0,2,2.14285714285714,3,0,0,7
28,9,2014,0,392183,0,0,3,3,3,0,0,6
28,9,2014,1,392184,0,0,3,3,3,0,0,6
28,9,2014,2,392185,0,0,3,3,3,0,0,8
28,9,2014,3,392186,0,0,3,3,3,0,0,6
28,9,2014,4,392187,0,0,3,3,3,0,0,6
28,9,2014,5,392188,0,0,3,3,3,0,0,6
28,9,2014,6,392189,0,0,3,3,3,0,0,6
28,9,2014,7,392190,0,0,3,3,3,0,0,6
28,9,2014,8,392191,0,0,3,3,3,0,0,6
28,9,2014,9,392192,0,1,2,2.42857142857143,2,0,0,7
28,9,2014,10,392193,0,1,1,1.28571428571429,1,0,0,7
28,9,2014,11,392194,0,1,0,0.285714285714286,0,0.714285714285714,0,7
28,9,2014,12,392195,1,0,0,0.428571428571429,1,0.571428571428571,0,7
28,9,2014,13,392196,0,1,0,0.333333333333333,0,0.666666666666667,0,6
28,9,2014,14,392197,0,0,0,0,0,1,0,6
28,9,2014,15,392198,1,0,0,0.428571428571429,1,0.571428571428571,0,7
28,9,2014,16,392199,1,0,2,1.66666666666667,2,0,0,6
28,9,2014,17,392200,0,2,1,1,0,0.428571428571429,0,7
28,9,2014,18,392201,1,1,1,0.75,1,0.25,0,8
28,9,2014,19,392202,3,1,1,1.57142857142857,3,0,0,7
28,9,2014,20,392203,2,0,5,4.5,5,0,0,8
28,9,2014,21,392204,1,0,6,5.6,6,0,0,5
28,9,2014,22,392205,0,0,6,6,6,0,0,6
28,9,2014,23,392206,0,0,6,6,6,0,0,6
29,9,2014,0,392207,0,0,6,6,6,0,0,6
29,9,2014,1,392208,0,0,6,6,6,0,0,6
29,9,2014,2,392209,0,0,6,6,6,0,0,8
29,9,2014,3,392210,0,0,6,6,6,0,0,6
29,9,2014,4,392211,0,0,6,6,6,0,0,6
29,9,2014,5,392212,0,2,5,4.875,4,0,0,8
29,9,2014,6,392213,1,3,2,2.3,2,0,0,10
29,9,2014,7,392214,2,3,1,1.25,0,0.166666666666667,0,12
