"day","month","year","hour","houred","totinc","totdecr","medbikes","meanbikes","lastbikes","propempty","propfull","count"
26,9,2014,10,392145,0,0,2,2,2,0,0,1
26,9,2014,11,392146,0,2,1,1,0,0.375,0,8
26,9,2014,12,392147,1,0,0,0.333333333333333,1,0.666666666666667,0,6
26,9,2014,13,392148,0,1,0,0.285714285714286,0,0.714285714285714,0,7
26,9,2014,14,392149,1,1,0,0.285714285714286,0,0.714285714285714,0,7
26,9,2014,15,392150,4,0,2,2.33333333333333,5,0,0,9
26,9,2014,16,392151,1,3,2.5,2.875,3,0,0,8
26,9,2014,17,392152,3,5,2,1.75,1,0.166666666666667,0,12
26,9,2014,18,392153,1,2,1,1,1,0.125,0,8
26,9,2014,19,392154,1,2,1,1.14285714285714,1,0.142857142857143,0,7
26,9,2014,20,392155,1,1,1,0.625,1,0.375,0,8
26,9,2014,21,392156,0,0,1,1,1,0,0,6
26,9,2014,22,392157,0,1,1,0.714285714285714,0,0.285714285714286,0,7
26,9,2014,23,392158,1,0,0,0.142857142857143,1,0.857142857142857,0,7
27,9,2014,0,392159,2,1,1,1,2,0.428571428571429,0,7
27,9,2014,1,392160,2,0,2,2.5,4,0,0,6
27,9,2014,2,392161,0,2,3,3,2,0,0,9
27,9,2014,3,392162,0,1,2,1.75,1,0,0,12
27,9,2014,4,392163,0,0,1,1,1,0,0,6
27,9,2014,5,392164,0,0,1,1,1,0,0,6
27,9,2014,6,392165,0,0,1,1,1,0,0,6
27,9,2014,7,392166,0,0,1,1,1,0,0,6
27,9,2014,8,392167,0,0,1,1,1,0,0,6
27,9,2014,9,392168,1,2,0.5,0.75,0,0.5,0,8
27,9,2014,10,392169,0,0,0,0,0,1,0,6
27,9,2014,11,392170,1,0,0,0.142857142857143,1,0.857142857142857,0,7
27,9,2014,12,392171,0,1,1,0.75,0,0.25,0,8
27,9,2014,13,392172,2,0,1,1,2,0.5,0,6
27,9,2014,14,392173,3,5,2,1.84615384615385,0,0.0769230769230769,0,13
27,9,2014,15,392174,3,1,1,0.916666666666667,2,0.166666666666667,0,12
27,9,2014,16,392175,0,1,2,1.57142857142857,1,0,0,7
27,9,2014,17,392176,1,2,1,1,0,0.125,0,8
27,9,2014,18,392177,2,2,0.5,0.5,0,0.5,0,8
27,9,2014,19,392178,0,0,0,0,0,1,0,6
27,9,2014,20,392179,1,0,1,0.571428571428571,1,0.428571428571429,0,7
27,9,2014,21,392180,0,1,0,0.142857142857143,0,0.857142857142857,0,7
27,9,2014,22,392181,1,0,1,0.666666666666667,1,0.333333333333333,0,6
27,9,2014,23,392182,2,1,3,2.55555555555556,2,0,0,9
28,9,2014,0,392183,0,1,0.5,0.5,0,0.5,0,8
28,9,2014,1,392184,0,0,0,0,0,1,0,5
28,9,2014,2,392185,0,0,0,0,0,1,0,6
28,9,2014,3,392186,0,0,0,0,0,1,0,8
28,9,2014,4,392187,0,0,0,0,0,1,0,6
28,9,2014,5,392188,0,0,0,0,0,1,0,6
28,9,2014,6,392189,0,0,0,0,0,1,0,6
28,9,2014,7,392190,0,0,0,0,0,1,0,6
28,9,2014,8,392191,1,0,1,0.833333333333333,1,0.166666666666667,0,6
28,9,2014,9,392192,0,1,1,0.833333333333333,0,0.166666666666667,0,6
28,9,2014,10,392193,0,0,0,0,0,1,0,6
28,9,2014,11,392194,0,0,0,0,0,1,0,6
28,9,2014,12,392195,0,0,0,0,0,1,0,6
28,9,2014,13,392196,0,0,0,0,0,1,0,6
28,9,2014,14,392197,0,0,0,0,0,1,0,6
28,9,2014,15,392198,0,0,0,0,0,1,0,7
28,9,2014,16,392199,1,0,1,0.857142857142857,1,0.142857142857143,0,7
28,9,2014,17,392200,1,2,1,1.1,0,0.1,0,10
28,9,2014,18,392201,8,0,4.5,4.875,8,0.125,0,8
28,9,2014,19,392202,0,1,8,7.85714285714286,7,0,0,7
28,9,2014,20,392203,0,0,7,7,7,0,0,6
28,9,2014,21,392204,0,2,6,6.55555555555556,6,0,0,9
28,9,2014,22,392205,1,1,6,6.33333333333333,6,0,0,6
28,9,2014,23,392206,0,0,6,6,6,0,0,6
29,9,2014,0,392207,0,2,4,4.55555555555556,4,0,0,9
29,9,2014,1,392208,0,1,3,3.33333333333333,3,0,0,9
29,9,2014,2,392209,0,0,3,3,3,0,0,6
29,9,2014,3,392210,0,0,3,3,3,0,0,7
