"day","month","year","hour","houred","totinc","totdecr","medbikes","meanbikes","lastbikes","propempty","propfull","count"
6,10,2014,16,392391,4,8,2,2.31818181818182,2,0.272727272727273,0,22
6,10,2014,17,392392,6,7,0,0.451612903225806,0,0.580645161290323,0,31
6,10,2014,18,392393,8,5,0,0.571428571428571,3,0.571428571428571,0,21
6,10,2014,19,392394,4,7,3,3.21052631578947,1,0,0,19
6,10,2014,20,392395,3,3,2,1.53846153846154,1,0.153846153846154,0,13
6,10,2014,21,392396,0,2,1,0.875,0,0.375,0,8
6,10,2014,22,392397,1,1,0,0.125,0,0.875,0,8
6,10,2014,23,392398,0,0,0,0,0,1,0,6
7,10,2014,0,392399,1,0,1,0.833333333333333,1,0.166666666666667,0,6
7,10,2014,1,392400,0,0,1,1,1,0,0,6
7,10,2014,2,392401,0,0,1,1,1,0,0,9
7,10,2014,3,392402,0,0,1,1,1,0,0,6
7,10,2014,4,392403,0,0,1,1,1,0,0,5
7,10,2014,5,392404,0,1,1,0.777777777777778,0,0.222222222222222,0,9
7,10,2014,6,392405,1,1,0.5,0.5,0,0.5,0,8
7,10,2014,7,392406,2,2,0,0.4,0,0.6,0,10
7,10,2014,8,392407,8,7,1,1.19047619047619,2,0.19047619047619,0,21
7,10,2014,9,392408,16,12,5,4.44444444444444,5,0.111111111111111,0,27
7,10,2014,10,392409,9,4,7,7.53333333333333,10,0,0,15
7,10,2014,11,392410,6,6,10,10.1176470588235,10,0,0,17
7,10,2014,12,392411,6,8,13,12.28,9,0,0,25
7,10,2014,13,392412,8,15,6,5.48717948717949,2,0,0,39
7,10,2014,14,392413,7,5,4,3.04347826086957,4,0,0,23
7,10,2014,15,392414,5,4,3,3.33333333333333,4,0,0,15
7,10,2014,16,392415,8,8,2,2.45454545454545,4,0,0,22
7,10,2014,17,392416,10,11,2,2.14285714285714,2,0.0285714285714286,0,35
7,10,2014,18,392417,7,7,1,0.842105263157895,1,0.421052631578947,0,19
7,10,2014,19,392418,3,4,4.5,4.57142857142857,3,0,0,14
7,10,2014,20,392419,3,6,2,1.94117647058824,1,0.0588235294117647,0,17
7,10,2014,21,392420,4,5,1,1.07692307692308,0,0.307692307692308,0,13
7,10,2014,22,392421,2,3,1,1.36363636363636,0,0.363636363636364,0,11
7,10,2014,23,392422,1,1,0,0.181818181818182,0,0.818181818181818,0,11
8,10,2014,0,392423,2,0,2,1.45454545454545,2,0.181818181818182,0,11
8,10,2014,1,392424,0,0,2,2,2,0,0,6
8,10,2014,2,392425,0,0,2,2,2,0,0,8
8,10,2014,3,392426,0,0,2,2,2,0,0,6
8,10,2014,4,392427,0,0,2,2,2,0,0,6
8,10,2014,5,392428,0,2,1,1.2,0,0.2,0,10
8,10,2014,6,392429,1,1,0,0.166666666666667,0,0.833333333333333,0,6
8,10,2014,7,392430,2,3,1,0.923076923076923,0,0.384615384615385,0,13
8,10,2014,8,392431,11,10,1.5,1.35714285714286,2,0.25,0,28
8,10,2014,9,392432,9,4,1,1.63636363636364,5,0.318181818181818,0,22
8,10,2014,10,392433,10,6,8,7.55555555555556,10,0,0,18
8,10,2014,11,392434,4,1,12,12.25,14,0,0,8
8,10,2014,12,392435,3,1,15.5,15.3,16,0,0,10
8,10,2014,13,392436,3,4,14,14.4545454545455,15,0,0,11
8,10,2014,14,392437,3,2,15,14.9,16,0,0,10
8,10,2014,15,392438,5,9,14,14,12,0,0,21
8,10,2014,16,392439,4,12,8,7.92592592592593,5,0,0,27
8,10,2014,17,392440,7,11,1,1.44,0,0.24,0,25
8,10,2014,18,392441,3,2,0,0.454545454545455,1,0.545454545454545,0,11
8,10,2014,19,392442,3,3,1,0.538461538461538,1,0.461538461538462,0,13
8,10,2014,20,392443,12,4,5.5,5.38888888888889,9,0,0,18
8,10,2014,21,392444,3,8,6,6.35,4,0,0,20
8,10,2014,22,392445,1,5,2,2,0,0.272727272727273,0,11
8,10,2014,23,392446,0,0,0,0,0,1,0,6
9,10,2014,0,392447,1,1,0,0.142857142857143,0,0.857142857142857,0,7
9,10,2014,1,392448,0,0,0,0,0,1,0,6
9,10,2014,2,392449,0,0,0,0,0,1,0,9
9,10,2014,3,392450,0,0,0,0,0,1,0,6
9,10,2014,4,392451,0,0,0,0,0,1,0,6
9,10,2014,5,392452,0,0,0,0,0,1,0,6
9,10,2014,6,392453,2,1,1,1.11111111111111,1,0.222222222222222,0,9
9,10,2014,7,392454,2,4,1,1.08333333333333,0,0.25,0,12
9,10,2014,8,392455,9,6,1,1,3,0.315789473684211,0,19
9,10,2014,9,392456,10,9,5,4.34615384615385,5,0,0,26
9,10,2014,10,392457,9,3,7,7.21428571428571,11,0,0,14
9,10,2014,11,392458,9,4,17,16,17,0,0,15
9,10,2014,12,392459,4,9,13,13.9333333333333,12,0,0,15
9,10,2014,13,392460,11,6,10,10.8095238095238,15,0,0,21
9,10,2014,14,392461,5,7,15,14.8823529411765,14,0,0,17
9,10,2014,15,392462,3,6,12,12.1176470588235,11,0,0,17
9,10,2014,16,392463,7,10,9,8.56521739130435,8,0,0,23
9,10,2014,17,392464,8,11,2,2.32142857142857,4,0.107142857142857,0,28
9,10,2014,18,392465,10,8,4,4.47619047619048,6,0,0,21
9,10,2014,19,392466,9,5,9,8.70588235294118,10,0,0,17
9,10,2014,20,392467,8,8,9,9.7,11,0,0,20
9,10,2014,21,392468,4,10,9,8.88235294117647,5,0,0,17
9,10,2014,22,392469,1,6,3,2.92307692307692,0,0.153846153846154,0,13
9,10,2014,23,392470,8,3,4,3.46153846153846,5,0.153846153846154,0,13
10,10,2014,0,392471,0,2,2,2.7,2,0,0,10
10,10,2014,1,392472,0,0,2,2,2,0,0,6
10,10,2014,2,392473,0,0,2,2,2,0,0,8
10,10,2014,3,392474,0,0,2,2,2,0,0,6
10,10,2014,4,392475,0,0,2,2,2,0,0,5
