"day","month","year","hour","houred","totinc","totdecr","medbikes","meanbikes","lastbikes","propempty","propfull","count"
26,9,2014,10,392145,0,0,8,8,8,0,0,2
26,9,2014,11,392146,2,6,7.5,7.91666666666667,6,0,0,12
26,9,2014,12,392147,0,4,5,5.25,3,0,0,12
26,9,2014,13,392148,17,0,13,12.3846153846154,20,0,0.230769230769231,13
26,9,2014,14,392149,1,7,17.5,17.1875,14,0,0.25,16
26,9,2014,15,392150,3,4,12.5,12.4166666666667,12,0,0,12
26,9,2014,16,392151,5,6,11,10.8125,11,0,0,16
26,9,2014,17,392152,5,2,15,14.6363636363636,15,0,0,11
26,9,2014,18,392153,2,3,14,14.6666666666667,14,0,0,9
26,9,2014,19,392154,3,0,14,15,17,0,0,6
26,9,2014,20,392155,3,0,18.5,18.25,20,0,0.125,8
26,9,2014,21,392156,0,1,19,19.1428571428571,19,0,0.142857142857143,7
26,9,2014,22,392157,1,0,19.5,19.5,20,0,0.5,6
26,9,2014,23,392158,0,0,20,20,20,0,1,6
27,9,2014,0,392159,0,0,20,20,20,0,1,6
27,9,2014,1,392160,0,0,20,20,20,0,1,6
27,9,2014,2,392161,0,0,20,20,20,0,1,6
27,9,2014,3,392162,0,0,20,20,20,0,1,6
27,9,2014,4,392163,0,0,20,20,20,0,1,7
27,9,2014,5,392164,0,0,20,20,20,0,1,6
27,9,2014,6,392165,0,0,20,20,20,0,1,6
27,9,2014,7,392166,0,1,19,19.25,19,0,0.25,8
27,9,2014,8,392167,1,1,19,18.875,19,0,0,8
27,9,2014,9,392168,0,3,16.5,16.875,16,0,0,8
27,9,2014,10,392169,0,4,14,14,12,0,0,9
27,9,2014,11,392170,1,8,6,7,4,0,0,13
27,9,2014,12,392171,3,5,3,3.07142857142857,2,0,0,14
27,9,2014,13,392172,4,2,2,2.25,3,0,0,12
27,9,2014,14,392173,3,4,2,2.1,2,0.1,0,10
27,9,2014,15,392174,5,1,3,3.375,6,0,0,8
27,9,2014,16,392175,1,3,4,4.3,4,0,0,10
27,9,2014,17,392176,0,4,4,3.33333333333333,1,0,0,9
27,9,2014,18,392177,0,0,1,1,1,0,0,6
27,9,2014,19,392178,1,2,0,0.375,0,0.625,0,8
27,9,2014,20,392179,0,0,0,0,0,1,0,5
27,9,2014,21,392180,2,0,1,0.857142857142857,2,0.428571428571429,0,7
27,9,2014,22,392181,2,0,2,2.71428571428571,4,0,0,7
27,9,2014,23,392182,1,0,5,4.71428571428571,5,0,0,7
28,9,2014,0,392183,1,1,5,4.57142857142857,5,0,0,7
28,9,2014,1,392184,3,0,7,6.625,8,0,0,8
28,9,2014,2,392185,5,0,10.5,10.9,14,0,0,10
28,9,2014,3,392186,1,0,15,14.7142857142857,15,0,0,7
28,9,2014,4,392187,0,0,15,15,15,0,0,7
28,9,2014,5,392188,0,0,16,16,16,0,0,6
28,9,2014,6,392189,0,0,16,16,16,0,0,6
28,9,2014,7,392190,0,1,15.5,15.5,15,0,0,8
28,9,2014,8,392191,0,2,14,14.1428571428571,13,0,0,7
28,9,2014,9,392192,0,2,13,12.5,11,0,0,8
28,9,2014,10,392193,0,5,9,8.58333333333333,6,0,0,12
28,9,2014,11,392194,1,1,6,5.71428571428571,6,0,0,7
28,9,2014,12,392195,1,1,7,6.57142857142857,6,0,0,7
28,9,2014,13,392196,1,5,3,3.77777777777778,2,0,0,9
28,9,2014,14,392197,3,0,3,3,5,0,0,6
