"day","month","year","hour","houred","totinc","totdecr","medbikes","meanbikes","lastbikes","propempty","propfull","count"
26,9,2014,10,392145,0,0,16,16,16,0,0,2
26,9,2014,11,392146,0,0,16,16,16,0,0,6
26,9,2014,12,392147,0,3,13,13.5,13,0,0,10
26,9,2014,13,392148,0,4,9,9.8,9,0,0,10
26,9,2014,14,392149,2,4,6,6.33333333333333,7,0,0,15
26,9,2014,15,392150,0,6,4.5,4.33333333333333,1,0,0,12
26,9,2014,16,392151,0,0,1,1,1,0,0,7
26,9,2014,17,392152,0,0,1,1,1,0,0,6
26,9,2014,18,392153,0,0,1,1,1,0,0,7
26,9,2014,19,392154,2,0,1,1.85714285714286,3,0,0,7
26,9,2014,20,392155,0,3,2,1.66666666666667,0,0.333333333333333,0,9
26,9,2014,21,392156,3,0,3,2,3,0.142857142857143,0,7
26,9,2014,22,392157,0,0,3,3,3,0,0,6
26,9,2014,23,392158,0,0,3,3,3,0,0,6
27,9,2014,0,392159,0,0,3,3,3,0,0,7
27,9,2014,1,392160,0,0,3,3,3,0,0,7
27,9,2014,2,392161,0,0,3,3,3,0,0,7
27,9,2014,3,392162,0,0,3,3,3,0,0,7
27,9,2014,4,392163,0,0,3,3,3,0,0,6
27,9,2014,5,392164,0,0,3,3,3,0,0,6
27,9,2014,6,392165,0,0,3,3,3,0,0,7
27,9,2014,7,392166,0,3,0,1.28571428571429,0,0.571428571428571,0,7
27,9,2014,8,392167,3,0,0,1,3,0.571428571428571,0,7
27,9,2014,9,392168,0,2,3,2.625,1,0,0,8
27,9,2014,10,392169,0,0,1,1,1,0,0,7
27,9,2014,11,392170,0,1,1,0.555555555555556,0,0.444444444444444,0,9
27,9,2014,12,392171,6,1,3,3,5,0.1,0,10
27,9,2014,13,392172,0,0,5,5,5,0,0,7
27,9,2014,14,392173,0,0,5,5,5,0,0,6
27,9,2014,15,392174,0,0,5,5,5,0,0,7
27,9,2014,16,392175,2,2,5,5.8,5,0,0,10
27,9,2014,17,392176,2,0,5,5.28571428571429,7,0,0,7
27,9,2014,18,392177,0,0,7,7,7,0,0,6
