"day","month","year","hour","houred","totinc","totdecr","medbikes","meanbikes","lastbikes","propempty","propfull","count"
26,9,2014,10,392145,2,0,20,19.3333333333333,20,0,0.666666666666667,3
26,9,2014,11,392146,6,6,19,18.7916666666667,19,0,0.291666666666667,24
26,9,2014,12,392147,10,15,16,15.7586206896552,14,0,0.0344827586206897,29
26,9,2014,13,392148,8,21,9,8.18181818181818,1,0,0,33
26,9,2014,14,392149,0,1,0,0.0909090909090909,0,0.909090909090909,0,11
26,9,2014,15,392150,19,15,10,9.15151515151515,5,0,0,33
26,9,2014,16,392151,15,9,5,6.9,11,0,0,20
26,9,2014,17,392152,6,4,13,13.3076923076923,13,0,0,13
26,9,2014,18,392153,9,8,15,15.5,14,0,0,14
26,9,2014,19,392154,1,8,9,10,8,0,0,19
26,9,2014,20,392155,7,2,13,12.9230769230769,15,0,0,13
26,9,2014,21,392156,3,5,14,13.7272727272727,13,0,0,11
26,9,2014,22,392157,2,4,11,11.0833333333333,11,0,0,12
26,9,2014,23,392158,6,3,12,12.4285714285714,14,0,0,14
27,9,2014,0,392159,1,5,11.5,11.3,10,0,0,10
27,9,2014,1,392160,0,6,7,6.82352941176471,4,0,0,17
27,9,2014,2,392161,0,3,1.5,1.9,1,0,0,10
27,9,2014,3,392162,0,1,0,0.142857142857143,0,0.857142857142857,0,7
27,9,2014,4,392163,0,0,0,0,0,1,0,6
27,9,2014,5,392164,0,0,0,0,0,1,0,6
27,9,2014,6,392165,1,0,0,0.428571428571429,1,0.571428571428571,0,7
27,9,2014,7,392166,1,0,1,1.33333333333333,2,0,0,6
27,9,2014,8,392167,1,0,1,1.33333333333333,2,0,0,6
27,9,2014,9,392168,1,0,3,2.85714285714286,3,0,0,7
27,9,2014,10,392169,9,2,8,8.18181818181818,11,0,0,11
27,9,2014,11,392170,5,6,10.5,10.2142857142857,11,0,0,14
27,9,2014,12,392171,4,5,9,8.92307692307692,10,0,0,13
27,9,2014,13,392172,6,3,12,11.6,13,0,0,15
27,9,2014,14,392173,3,3,15,14.8181818181818,14,0,0,11
27,9,2014,15,392174,4,4,15,15.0714285714286,15,0,0,14
27,9,2014,16,392175,2,2,14,14.3888888888889,14,0,0,18
27,9,2014,17,392176,0,7,12,12.2,8,0,0,15
27,9,2014,18,392177,2,2,6.5,6.8,8,0,0,10
27,9,2014,19,392178,5,3,9.5,9.5,10,0,0,12
27,9,2014,20,392179,3,4,9,9.11111111111111,9,0,0,9
27,9,2014,21,392180,5,5,7,7.53333333333333,9,0,0,15
27,9,2014,22,392181,6,3,13,12.9230769230769,13,0,0,13
27,9,2014,23,392182,3,7,11,10.7142857142857,8,0,0,14
28,9,2014,0,392183,0,5,6,5.9,3,0,0,10
28,9,2014,1,392184,1,3,1,1.375,1,0.125,0,8
