"day","month","year","hour","houred","totinc","totdecr","medbikes","meanbikes","lastbikes","propempty","propfull","count"
30,1,2015,14,395174,0,0,19,19,19,0,0,1
30,1,2015,15,395175,1,3,19,18.7777777777778,18,0,0,9
30,1,2015,16,395176,0,3,16,16.25,15,0,0,8
30,1,2015,17,395177,0,0,15,15,15,0,0,5
30,1,2015,18,395178,0,0,15,15,15,0,0,5
30,1,2015,19,395179,0,0,15,15,15,0,0,6
30,1,2015,20,395180,0,0,15,15,15,0,0,6
30,1,2015,21,395181,0,0,15,15,15,0,0,6
30,1,2015,22,395182,0,0,15,15,15,0,0,6
30,1,2015,23,395183,0,1,15,14.7142857142857,14,0,0,7
31,1,2015,0,395184,0,0,14,14,14,0,0,6
31,1,2015,1,395185,0,0,14,14,14,0,0,6
31,1,2015,2,395186,2,0,14,14.4285714285714,16,0,0,7
31,1,2015,3,395187,0,0,16,16,16,0,0,6
31,1,2015,4,395188,0,0,16,16,16,0,0,7
31,1,2015,5,395189,0,0,16,16,16,0,0,6
31,1,2015,6,395190,0,0,16,16,16,0,0,6
31,1,2015,7,395191,1,0,16,16.3333333333333,17,0,0,6
31,1,2015,8,395192,0,0,17,17,17,0,0,6
31,1,2015,9,395193,0,1,16,16.4285714285714,16,0,0,7
31,1,2015,10,395194,0,1,16,15.8333333333333,15,0,0,6
31,1,2015,11,395195,0,0,15,15,15,0,0,6
31,1,2015,12,395196,0,1,15,14.5714285714286,14,0,0,7
31,1,2015,13,395197,1,1,14,14.4285714285714,14,0,0,7
31,1,2015,14,395198,0,0,14,14,14,0,0,6
31,1,2015,15,395199,0,0,14,14,14,0,0,6
31,1,2015,16,395200,0,0,14,14,14,0,0,6
31,1,2015,17,395201,0,0,14,14,14,0,0,6
31,1,2015,18,395202,0,0,13,13,13,0,0,6
31,1,2015,19,395203,0,0,13,13,13,0,0,6
31,1,2015,20,395204,0,0,13,13,13,0,0,6
31,1,2015,21,395205,0,0,13,13,13,0,0,6
31,1,2015,22,395206,1,0,13,13.1428571428571,14,0,0,7
31,1,2015,23,395207,0,0,14,14,14,0,0,6
1,2,2015,0,395208,0,0,14,14,14,0,0,5
1,2,2015,1,395209,0,0,14,14,14,0,0,6
1,2,2015,2,395210,0,0,14,14,14,0,0,6
1,2,2015,3,395211,0,0,14,14,14,0,0,6
1,2,2015,4,395212,0,0,14,14,14,0,0,6
1,2,2015,5,395213,0,0,14,14,14,0,0,6
1,2,2015,6,395214,0,0,14,14,14,0,0,6
1,2,2015,7,395215,0,0,14,14,14,0,0,6
1,2,2015,8,395216,0,0,14,14,14,0,0,6
1,2,2015,9,395217,0,0,14,14,14,0,0,6
1,2,2015,10,395218,0,0,14,14,14,0,0,6
1,2,2015,11,395219,0,0,14,14,14,0,0,6
1,2,2015,12,395220,0,1,13,13.4285714285714,13,0,0,7
1,2,2015,13,395221,0,0,13,13,13,0,0,6
1,2,2015,14,395222,1,0,14,13.8,14,0,0,5
1,2,2015,15,395223,0,0,14,14,14,0,0,6
1,2,2015,16,395224,0,0,14,14,14,0,0,6
1,2,2015,17,395225,0,0,14,14,14,0,0,6
1,2,2015,18,395226,0,0,14,14,14,0,0,6
1,2,2015,19,395227,0,0,14,14,14,0,0,6
1,2,2015,20,395228,0,0,14,14,14,0,0,6
1,2,2015,21,395229,0,1,14,13.875,13,0,0,8
1,2,2015,22,395230,0,0,13,13,13,0,0,6
1,2,2015,23,395231,0,0,13,13,13,0,0,6
2,2,2015,0,395232,0,0,13,13,13,0,0,6
2,2,2015,1,395233,0,0,13,13,13,0,0,6
2,2,2015,2,395234,0,0,13,13,13,0,0,6
2,2,2015,3,395235,0,0,13,13,13,0,0,6
2,2,2015,4,395236,0,0,13,13,13,0,0,6
2,2,2015,5,395237,0,0,13,13,13,0,0,6
2,2,2015,6,395238,0,0,13,13,13,0,0,6
2,2,2015,7,395239,0,1,12,12.3333333333333,12,0,0,6
2,2,2015,8,395240,0,0,12,12,12,0,0,6
2,2,2015,9,395241,10,2,21,20,20,0,0,10
2,2,2015,10,395242,2,0,22,21.3333333333333,22,0,0,6
2,2,2015,11,395243,2,1,22,22.375,23,0,0,8
2,2,2015,12,395244,1,0,24,23.8571428571429,24,0,0.857142857142857,7
2,2,2015,13,395245,0,0,24,24,24,0,1,6
2,2,2015,14,395246,0,1,24,23.7142857142857,23,0,0.714285714285714,7
2,2,2015,15,395247,1,0,24,23.7142857142857,24,0,0.714285714285714,7
2,2,2015,16,395248,0,0,24,24,24,0,1,6
2,2,2015,17,395249,0,1,24,23.75,23,0,0.75,8
2,2,2015,18,395250,0,1,22,22.1428571428571,22,0,0,7
2,2,2015,19,395251,0,0,22,22,22,0,0,6
2,2,2015,20,395252,0,0,22,22,22,0,0,6
2,2,2015,21,395253,0,0,22,22,22,0,0,6
2,2,2015,22,395254,0,0,22,22,22,0,0,6
2,2,2015,23,395255,0,0,22,22,22,0,0,6
3,2,2015,0,395256,0,0,22,22,22,0,0,6
3,2,2015,1,395257,0,0,22,22,22,0,0,6
3,2,2015,2,395258,0,0,22,22,22,0,0,6
3,2,2015,3,395259,0,0,22,22,22,0,0,5
3,2,2015,4,395260,0,0,22,22,22,0,0,7
3,2,2015,5,395261,0,0,22,22,22,0,0,6
3,2,2015,6,395262,0,0,22,22,22,0,0,6
3,2,2015,7,395263,0,0,22,22,22,0,0,6
3,2,2015,8,395264,0,0,22,22,22,0,0,6
3,2,2015,9,395265,1,5,20,20,18,0,0,12
3,2,2015,10,395266,4,0,18.5,19.5,22,0,0,8
3,2,2015,11,395267,0,1,21,21.1666666666667,21,0,0,6
3,2,2015,12,395268,0,0,21,21,21,0,0,6
3,2,2015,13,395269,0,0,21,21,21,0,0,6
3,2,2015,14,395270,0,0,21,21,21,0,0,6
3,2,2015,15,395271,1,0,22,21.7142857142857,22,0,0,7
3,2,2015,16,395272,0,0,22,22,22,0,0,6
3,2,2015,17,395273,0,1,22,21.625,21,0,0,8
3,2,2015,18,395274,0,0,21,21,21,0,0,6
3,2,2015,19,395275,0,0,21,21,21,0,0,6
3,2,2015,20,395276,0,0,21,21,21,0,0,6
3,2,2015,21,395277,0,0,21,21,21,0,0,6
3,2,2015,22,395278,0,0,21,21,21,0,0,6
3,2,2015,23,395279,0,1,20,20.2857142857143,20,0,0,7
4,2,2015,0,395280,0,0,20,20,20,0,0,6
4,2,2015,1,395281,0,0,20,20,20,0,0,6
4,2,2015,2,395282,0,0,20,20,20,0,0,6
4,2,2015,3,395283,0,0,20,20,20,0,0,6
4,2,2015,4,395284,0,0,20,20,20,0,0,6
4,2,2015,5,395285,0,0,20,20,20,0,0,6
4,2,2015,6,395286,0,0,20,20,20,0,0,6
4,2,2015,7,395287,1,0,20,20.3333333333333,21,0,0,6
4,2,2015,8,395288,0,2,20,20.125,19,0,0,8
4,2,2015,9,395289,0,0,19,19,19,0,0,1
4,2,2015,11,395291,0,0,19,19,19,0,0,5
4,2,2015,12,395292,4,0,21,21,23,0,0,9
4,2,2015,13,395293,0,0,23,23,23,0,0,6
4,2,2015,14,395294,0,1,22,22.25,22,0,0,8
4,2,2015,15,395295,0,0,22,22,22,0,0,6
4,2,2015,16,395296,0,3,20,20.2727272727273,19,0,0,11
4,2,2015,17,395297,0,1,18,18.4285714285714,18,0,0,7
4,2,2015,18,395298,0,0,18,18,18,0,0,6
4,2,2015,19,395299,0,0,18,18,18,0,0,6
4,2,2015,20,395300,0,0,18,18,18,0,0,6
4,2,2015,21,395301,0,0,18,18,18,0,0,6
4,2,2015,22,395302,1,0,19,18.6666666666667,19,0,0,6
4,2,2015,23,395303,0,0,19,19,19,0,0,6
5,2,2015,0,395304,0,0,19,19,19,0,0,6
5,2,2015,1,395305,0,0,19,19,19,0,0,6
5,2,2015,2,395306,0,0,19,19,19,0,0,6
5,2,2015,3,395307,0,0,19,19,19,0,0,6
5,2,2015,4,395308,0,0,19,19,19,0,0,6
