"day","month","year","hour","houred","totinc","totdecr","medbikes","meanbikes","lastbikes","propempty","propfull","count"
26,9,2014,10,392145,0,0,13,13,13,0,0,1
26,9,2014,11,392146,2,2,14,14.0909090909091,13,0,0.363636363636364,11
26,9,2014,12,392147,0,5,10,10.0833333333333,8,0,0,12
26,9,2014,13,392148,2,2,7,7,8,0,0,9
26,9,2014,14,392149,4,2,10,10.0833333333333,10,0,0,12
26,9,2014,15,392150,7,4,12,11.8235294117647,12,0,0,17
26,9,2014,16,392151,4,7,12,12.0625,9,0,0,16
26,9,2014,17,392152,4,7,6,6.36842105263158,6,0,0,19
26,9,2014,18,392153,2,4,5,5.23076923076923,4,0,0,13
26,9,2014,19,392154,1,1,4,4.375,4,0,0,8
26,9,2014,20,392155,1,4,4,3.90909090909091,1,0,0,11
26,9,2014,21,392156,3,1,2,2,3,0,0,8
26,9,2014,22,392157,1,1,3,3.375,3,0,0,8
26,9,2014,23,392158,0,2,3,2.42857142857143,1,0,0,7
27,9,2014,0,392159,1,2,1,0.583333333333333,0,0.416666666666667,0,12
27,9,2014,1,392160,0,0,0,0,0,1,0,6
27,9,2014,2,392161,0,0,0,0,0,1,0,8
27,9,2014,3,392162,0,0,0,0,0,1,0,13
27,9,2014,4,392163,0,0,0,0,0,1,0,7
27,9,2014,5,392164,0,0,0,0,0,1,0,6
27,9,2014,6,392165,0,0,0,0,0,1,0,6
27,9,2014,7,392166,0,0,0,0,0,1,0,6
27,9,2014,8,392167,1,0,0,0.166666666666667,1,0.833333333333333,0,6
27,9,2014,9,392168,2,0,2,2.16666666666667,3,0,0,6
27,9,2014,10,392169,1,1,3,2.71428571428571,3,0,0,7
27,9,2014,11,392170,4,5,4.5,4.57142857142857,2,0,0,14
27,9,2014,12,392171,6,1,3,3.27272727272727,6,0.0909090909090909,0,11
27,9,2014,13,392172,2,1,7,6.84615384615385,7,0,0,13
27,9,2014,14,392173,1,7,4.5,4.21428571428571,1,0,0,14
27,9,2014,15,392174,3,3,2,2.1,1,0,0,10
27,9,2014,16,392175,2,1,1,1.66666666666667,2,0,0,9
27,9,2014,17,392176,2,2,2,2.11111111111111,2,0,0,9
27,9,2014,18,392177,0,1,2,1.875,1,0,0,8
27,9,2014,19,392178,1,0,2,1.66666666666667,2,0,0,6
27,9,2014,20,392179,0,0,2,2,2,0,0,6
27,9,2014,21,392180,0,1,1,1.25,1,0,0,8
27,9,2014,22,392181,1,0,2,1.71428571428571,2,0,0,7
27,9,2014,23,392182,0,2,1,0.888888888888889,0,0.333333333333333,0,9
28,9,2014,0,392183,3,0,3,2.5,3,0.166666666666667,0,6
28,9,2014,1,392184,0,3,1,1.27272727272727,0,0.272727272727273,0,11
28,9,2014,2,392185,1,0,1,0.833333333333333,1,0.166666666666667,0,6
28,9,2014,3,392186,0,0,1,1,1,0,0,9
28,9,2014,4,392187,0,1,0,0.2,0,0.8,0,10
28,9,2014,5,392188,0,0,1,1,1,0,0,6
28,9,2014,6,392189,0,0,1,1,1,0,0,6
28,9,2014,7,392190,0,0,1,1,1,0,0,6
28,9,2014,8,392191,0,0,2,2,2,0,0,6
28,9,2014,9,392192,0,0,2,2,2,0,0,6
