"day","month","year","hour","houred","totinc","totdecr","medbikes","meanbikes","lastbikes","propempty","propfull","count"
26,9,2014,10,392145,0,0,7,7,7,0,0,2
26,9,2014,11,392146,3,4,6,5.76923076923077,6,0,0,13
26,9,2014,12,392147,3,1,7,6.9,8,0,0,10
26,9,2014,13,392148,2,2,8,7.71428571428571,8,0,0,7
26,9,2014,14,392149,4,1,9,8.44444444444444,10,0,0,9
26,9,2014,15,392150,8,3,13,13.5,15,0,0,14
26,9,2014,16,392151,7,7,17,16.7391304347826,14,0,0.173913043478261,23
26,9,2014,17,392152,9,7,12,12.4583333333333,15,0,0,24
26,9,2014,18,392153,6,10,12.5,12.7777777777778,11,0,0,18
26,9,2014,19,392154,5,3,14,13.6153846153846,14,0,0,13
26,9,2014,20,392155,6,5,14,14,14,0,0,14
26,9,2014,21,392156,5,3,18,17.9,18,0,0.3,10
26,9,2014,22,392157,1,2,18,17.75,17,0,0,8
26,9,2014,23,392158,3,2,18,17.5833333333333,18,0,0,12
27,9,2014,0,392159,3,3,18,18.3,18,0,0.4,10
27,9,2014,1,392160,0,3,19,18.5,16,0,0.7,10
27,9,2014,2,392161,1,6,13.5,13.1666666666667,11,0,0,12
27,9,2014,3,392162,2,11,6.5,6.68181818181818,2,0,0,22
27,9,2014,4,392163,0,0,2,2,2,0,0,6
27,9,2014,5,392164,0,1,2,1.57142857142857,1,0,0,7
27,9,2014,6,392165,0,1,0,0.428571428571429,0,0.571428571428571,0,7
27,9,2014,7,392166,0,0,0,0,0,1,0,6
27,9,2014,8,392167,1,0,0,0.166666666666667,1,0.833333333333333,0,6
27,9,2014,9,392168,0,0,0,0,0,1,0,6
27,9,2014,10,392169,2,2,0,0.444444444444444,0,0.555555555555556,0,9
27,9,2014,11,392170,3,1,1.5,1.25,2,0.375,0,8
27,9,2014,12,392171,2,3,3,2.88888888888889,1,0,0,9
27,9,2014,13,392172,1,0,0,0.428571428571429,1,0.571428571428571,0,7
27,9,2014,14,392173,1,2,2,1.625,1,0,0,8
27,9,2014,15,392174,7,6,2,2.33333333333333,2,0.133333333333333,0,15
27,9,2014,16,392175,0,0,2,2,2,0,0,6
27,9,2014,17,392176,6,4,2,1.8,4,0.2,0,15
27,9,2014,18,392177,6,1,4,5,9,0,0,9
27,9,2014,19,392178,6,1,13,12.3333333333333,14,0,0,9
27,9,2014,20,392179,2,5,12,12,11,0,0,17
27,9,2014,21,392180,1,3,12,12.7,12,0,0,10
27,9,2014,22,392181,3,2,13,13.2727272727273,13,0,0,11
27,9,2014,23,392182,6,0,16.5,16.3,19,0,0.2,10
28,9,2014,0,392183,0,4,15,16.2222222222222,15,0,0.222222222222222,9
28,9,2014,1,392184,4,2,16,16.3636363636364,17,0,0,11
28,9,2014,2,392185,3,3,17,17.4,17,0,0.1,10
28,9,2014,3,392186,2,3,16,16.4166666666667,16,0,0,12
28,9,2014,4,392187,2,2,16,15.9090909090909,15,0,0,11
28,9,2014,5,392188,0,1,12.5,12.5,12,0,0,6
28,9,2014,6,392189,0,0,12,12,12,0,0,6
28,9,2014,7,392190,1,1,12,11.875,12,0,0,8
28,9,2014,8,392191,0,2,12,11.5,10,0,0,8
28,9,2014,9,392192,0,3,9,9,7,0,0,10
28,9,2014,10,392193,1,2,6,5.7,5,0,0,10
28,9,2014,11,392194,0,1,3,3.25,3,0,0,8
28,9,2014,12,392195,1,4,2,1.90909090909091,0,0.0909090909090909,0,11
28,9,2014,13,392196,1,0,0,0.333333333333333,1,0.666666666666667,0,6
28,9,2014,14,392197,3,2,2.5,2.4,2,0,0,10
28,9,2014,15,392198,1,3,0,0.454545454545455,0,0.636363636363636,0,11
28,9,2014,16,392199,2,1,1,0.75,1,0.25,0,8
28,9,2014,17,392200,4,3,1.5,1.5,2,0.285714285714286,0,14
28,9,2014,18,392201,6,4,2,2.08333333333333,4,0.0833333333333333,0,12
28,9,2014,19,392202,0,1,3,3.16666666666667,3,0,0,6
28,9,2014,20,392203,3,0,5,4.85714285714286,6,0,0,7
28,9,2014,21,392204,4,1,9,8.1,9,0,0,10
28,9,2014,22,392205,2,0,10,10,11,0,0,7
28,9,2014,23,392206,4,0,11.5,12.375,15,0,0,8
29,9,2014,0,392207,1,1,15,14.7142857142857,15,0,0,7
29,9,2014,1,392208,0,0,15,15,15,0,0,6
29,9,2014,2,392209,0,0,15,15,15,0,0,6
29,9,2014,3,392210,1,0,15,15.375,16,0,0,8
29,9,2014,4,392211,0,0,16,16,16,0,0,6
29,9,2014,5,392212,0,0,16,16,16,0,0,6
29,9,2014,6,392213,2,3,17,16.6,15,0,0,10
29,9,2014,7,392214,6,7,13,12.6666666666667,13,0,0,18
29,9,2014,8,392215,5,7,14,13.6842105263158,12,0,0,19
29,9,2014,9,392216,0,2,10,10,9,0,0,9
29,9,2014,10,392217,0,1,9,8.66666666666667,8,0,0,6
29,9,2014,11,392218,4,5,8,8.25,7,0,0,16
29,9,2014,12,392219,4,3,8,7.66666666666667,8,0,0,12
29,9,2014,13,392220,6,0,13,12.3333333333333,15,0,0,9
29,9,2014,14,392221,1,3,13.5,13.6,13,0,0,10
29,9,2014,15,392222,2,4,13,12.7272727272727,11,0,0,11
29,9,2014,16,392223,7,5,13,12.4615384615385,13,0,0,13
29,9,2014,17,392224,6,9,11,10.9473684210526,10,0,0,19
29,9,2014,18,392225,1,5,9,9,7,0,0,13
29,9,2014,19,392226,2,5,5,4.76923076923077,5,0,0,13
29,9,2014,20,392227,2,4,6,6.18181818181818,4,0,0,11
