"day","month","year","hour","houred","totinc","totdecr","medbikes","meanbikes","lastbikes","propempty","propfull","count"
26,9,2014,10,392145,0,1,15,14.6666666666667,14,0,0,3
26,9,2014,11,392146,3,6,13,13.5,12,0,0,14
26,9,2014,12,392147,4,7,8,8.35,9,0,0,20
26,9,2014,13,392148,5,4,10,9.71428571428571,10,0,0,14
26,9,2014,14,392149,6,3,10.5,10.8888888888889,13,0,0,18
26,9,2014,15,392150,4,11,10,10.12,6,0,0,25
26,9,2014,16,392151,8,6,7,6.77777777777778,8,0,0,18
26,9,2014,17,392152,5,8,9,8.66666666666667,6,0,0,21
26,9,2014,18,392153,8,8,5,5.27777777777778,6,0,0,18
26,9,2014,19,392154,5,8,7,6.83333333333333,5,0,0,18
26,9,2014,20,392155,1,4,5,5.07142857142857,3,0,0,14
26,9,2014,21,392156,4,7,2,1.78571428571429,0,0.214285714285714,0,14
26,9,2014,22,392157,2,1,1,0.583333333333333,1,0.416666666666667,0,12
26,9,2014,23,392158,2,2,2,2,1,0,0,11
27,9,2014,0,392159,0,2,1,1.55555555555556,1,0,0,9
27,9,2014,1,392160,0,0,1,1,1,0,0,6
27,9,2014,2,392161,0,0,1,1,1,0,0,6
27,9,2014,3,392162,0,0,1,1,1,0,0,6
27,9,2014,4,392163,0,0,1,1,1,0,0,7
27,9,2014,5,392164,0,0,1,1,1,0,0,6
27,9,2014,6,392165,0,0,1,1,1,0,0,6
27,9,2014,7,392166,1,0,2,1.71428571428571,2,0,0,7
27,9,2014,8,392167,6,2,4.5,4.25,6,0,0,12
27,9,2014,9,392168,3,1,9,8.55555555555556,9,0,0,9
27,9,2014,10,392169,11,2,18.5,17,19,0,0,16
27,9,2014,11,392170,4,4,19,18.5,19,0,0,16
27,9,2014,12,392171,5,10,17,17.16,14,0,0,25
27,9,2014,13,392172,3,6,13,12.7142857142857,10,0,0,14
27,9,2014,14,392173,3,6,9,9.26666666666667,7,0,0,15
27,9,2014,15,392174,2,6,4,4.57142857142857,3,0,0,14
27,9,2014,16,392175,5,4,2,2.14285714285714,3,0,0,14
27,9,2014,17,392176,15,12,8.5,8.13636363636364,6,0,0,22
27,9,2014,18,392177,9,9,5,5.125,5,0,0,24
27,9,2014,19,392178,3,7,2,2,1,0.0588235294117647,0,17
27,9,2014,20,392179,2,3,1,0.6,0,0.4,0,10
27,9,2014,21,392180,0,0,0,0,0,1,0,7
27,9,2014,22,392181,2,0,1,1,2,0.428571428571429,0,7
27,9,2014,23,392182,0,1,0,0.142857142857143,0,0.857142857142857,0,7
28,9,2014,0,392183,0,0,0,0,0,1,0,6
28,9,2014,1,392184,1,1,0,0.142857142857143,0,0.857142857142857,0,7
28,9,2014,2,392185,0,0,0,0,0,1,0,6
28,9,2014,3,392186,0,0,1,1,1,0,0,6
28,9,2014,4,392187,0,0,1,1,1,0,0,7
28,9,2014,5,392188,0,0,1,1,1,0,0,6
28,9,2014,6,392189,0,0,1,1,1,0,0,6
28,9,2014,7,392190,1,0,1,1.16666666666667,2,0,0,6
28,9,2014,8,392191,5,2,2,2.64285714285714,5,0,0,14
28,9,2014,9,392192,1,5,4,3.76923076923077,1,0,0,13
28,9,2014,10,392193,6,1,5,3.91666666666667,6,0,0,12
28,9,2014,11,392194,0,1,4,4.125,4,0,0,8
28,9,2014,12,392195,5,0,6,6.2,9,0,0,10
28,9,2014,13,392196,5,7,9,8.95652173913044,7,0,0,23
28,9,2014,14,392197,2,8,1.5,2.05555555555556,0,0.277777777777778,0,18
28,9,2014,15,392198,3,3,0,0.222222222222222,0,0.777777777777778,0,18
28,9,2014,16,392199,11,7,4,3.42857142857143,5,0,0,21
28,9,2014,17,392200,8,7,8.5,8.44444444444444,9,0,0,18
28,9,2014,18,392201,8,9,8,7.57692307692308,8,0,0,26
28,9,2014,19,392202,5,5,12,11.4545454545455,9,0,0,11
28,9,2014,20,392203,3,0,11,10.875,12,0,0,8
28,9,2014,21,392204,1,4,12,11.3636363636364,9,0,0,11
28,9,2014,22,392205,0,8,0,2.44444444444444,0,0.555555555555556,0,18
28,9,2014,23,392206,0,2,1,0.8,0,0.4,0,10
