"day","month","year","hour","houred","totinc","totdecr","medbikes","meanbikes","lastbikes","propempty","propfull","count"
26,9,2014,10,392145,0,1,12.5,12.5,12,0,0,2
26,9,2014,11,392146,3,15,1,3.28,0,0.2,0,25
26,9,2014,12,392147,9,6,2,2.05882352941176,5,0.176470588235294,0,17
26,9,2014,13,392148,10,4,8,8.17647058823529,12,0,0,17
26,9,2014,14,392149,5,4,12.5,12.8571428571429,14,0,0,14
26,9,2014,15,392150,2,13,10,9.80952380952381,4,0,0,21
26,9,2014,16,392151,9,11,2,1.59259259259259,1,0.111111111111111,0,27
26,9,2014,17,392152,5,5,1,0.666666666666667,0,0.466666666666667,0,15
26,9,2014,18,392153,9,4,2,2.83333333333333,5,0.166666666666667,0,12
26,9,2014,19,392154,4,0,10,9,10,0,0,8
26,9,2014,20,392155,10,6,12,11.5294117647059,15,0,0,17
26,9,2014,21,392156,2,3,14.5,14.6,14,0,0,10
26,9,2014,22,392157,3,4,12,12.1666666666667,13,0,0,12
26,9,2014,23,392158,1,5,9,10.1,9,0,0,10
27,9,2014,0,392159,6,13,5,4.95652173913043,2,0,0,23
27,9,2014,1,392160,3,2,3,3.27272727272727,4,0,0,11
27,9,2014,2,392161,0,0,4,4,4,0,0,8
27,9,2014,3,392162,3,0,5,5.71428571428571,7,0,0,7
27,9,2014,4,392163,0,0,7,7,7,0,0,6
27,9,2014,5,392164,0,1,7,6.85714285714286,6,0,0,7
27,9,2014,6,392165,1,0,6.5,6.5,7,0,0,6
27,9,2014,7,392166,0,1,7,6.625,6,0,0,8
27,9,2014,8,392167,1,1,7,6.77777777777778,6,0,0,9
27,9,2014,9,392168,4,3,6.5,6.5,7,0,0,12
27,9,2014,10,392169,4,4,9,9.30769230769231,8,0,0,13
27,9,2014,11,392170,7,8,6,5.65217391304348,6,0,0,23
27,9,2014,12,392171,10,4,7,6.73333333333333,11,0,0,15
27,9,2014,13,392172,6,4,13,12.6428571428571,14,0,0,14
27,9,2014,14,392173,4,4,13,12.4375,13,0,0,16
27,9,2014,15,392174,5,6,10.5,10.5,11,0,0,18
27,9,2014,16,392175,9,2,14,14.7333333333333,19,0,0,15
27,9,2014,17,392176,11,13,22,22.1875,19,0,0,32
27,9,2014,18,392177,6,20,7,8.37931034482759,5,0,0,29
27,9,2014,19,392178,6,9,1,1.23529411764706,2,0.352941176470588,0,17
27,9,2014,20,392179,1,2,2,1.55555555555556,1,0,0,9
27,9,2014,21,392180,1,1,0,0.4,0,0.6,0,10
27,9,2014,22,392181,1,0,1,0.714285714285714,1,0.285714285714286,0,7
27,9,2014,23,392182,0,1,0,0.428571428571429,0,0.571428571428571,0,7
28,9,2014,0,392183,4,0,1,1.57142857142857,4,0.428571428571429,0,7
28,9,2014,1,392184,7,0,8.5,8.66666666666667,12,0,0,12
28,9,2014,2,392185,1,7,11,10.2631578947368,6,0,0,19
28,9,2014,3,392186,2,7,2,2.9,1,0,0,10
28,9,2014,4,392187,0,1,1,0.75,0,0.25,0,8
28,9,2014,5,392188,3,0,2,1.66666666666667,3,0.333333333333333,0,6
28,9,2014,6,392189,0,0,3,3,3,0,0,6
28,9,2014,7,392190,0,0,3,3,3,0,0,6
28,9,2014,8,392191,0,1,3,2.71428571428571,2,0,0,7
28,9,2014,9,392192,0,1,2,1.71428571428571,1,0,0,7
28,9,2014,10,392193,1,1,1,0.875,1,0.125,0,8
28,9,2014,11,392194,3,1,3.5,3,3,0,0,10
28,9,2014,12,392195,8,2,9.5,8.4,9,0,0,10
28,9,2014,13,392196,0,2,7,7,6,0,0,7
28,9,2014,14,392197,1,6,4,3.46153846153846,1,0,0,13
28,9,2014,15,392198,3,1,1,1.25,3,0.125,0,8
28,9,2014,16,392199,0,3,0,0.444444444444444,0,0.777777777777778,0,9
28,9,2014,17,392200,6,4,1,1.53846153846154,2,0.230769230769231,0,13
28,9,2014,18,392201,4,2,3,2.6,4,0,0,10
28,9,2014,19,392202,2,5,4,3.23076923076923,1,0,0,13
28,9,2014,20,392203,2,1,2,2,2,0,0,7
28,9,2014,21,392204,2,0,3,3.14285714285714,4,0,0,7
28,9,2014,22,392205,0,1,3.5,3.5,3,0,0,8
28,9,2014,23,392206,1,1,3,2.55555555555556,3,0,0,9
29,9,2014,0,392207,0,0,3,3,3,0,0,6
29,9,2014,1,392208,0,0,3,3,3,0,0,6
29,9,2014,2,392209,0,0,3,3,3,0,0,6
29,9,2014,3,392210,0,0,3,3,3,0,0,6
29,9,2014,4,392211,0,1,3,2.85714285714286,2,0,0,7
29,9,2014,5,392212,0,0,2,2,2,0,0,6
29,9,2014,6,392213,11,2,5,6.0625,12,0,0,16
29,9,2014,7,392214,22,18,11,9.60714285714286,17,0.0714285714285714,0,28
29,9,2014,8,392215,8,3,20,20.0625,23,0,0,16
29,9,2014,9,392216,2,0,25,24.4285714285714,25,0,0.571428571428571,7
29,9,2014,10,392217,1,6,25,23.6153846153846,20,0,0.538461538461538,13
29,9,2014,11,392218,4,16,14,14.4,8,0,0,25
29,9,2014,12,392219,6,7,8,7.47619047619048,7,0,0,21
29,9,2014,13,392220,9,4,10,9.71428571428571,11,0,0,14
29,9,2014,14,392221,4,11,8,7.5,4,0,0,24
29,9,2014,15,392222,5,7,2,2.125,2,0.125,0,16
29,9,2014,16,392223,5,6,1,0.928571428571429,1,0.285714285714286,0,14
29,9,2014,17,392224,11,11,2,1.51612903225806,2,0.161290322580645,0,31
29,9,2014,18,392225,5,9,2,1.80952380952381,0,0.142857142857143,0,21
29,9,2014,19,392226,7,5,1,1.14285714285714,2,0.214285714285714,0,14
29,9,2014,20,392227,1,2,2,1.77777777777778,1,0,0,9
29,9,2014,21,392228,2,0,0.5,0.75,2,0.5,0,8
29,9,2014,22,392229,1,0,4,3.85714285714286,4,0,0,7
29,9,2014,23,392230,0,1,3,3.14285714285714,3,0,0,7
30,9,2014,0,392231,0,0,3,3,3,0,0,7
30,9,2014,1,392232,0,0,3,3,3,0,0,5
30,9,2014,2,392233,0,0,3,3,3,0,0,7
30,9,2014,3,392234,0,0,3,3,3,0,0,6
30,9,2014,4,392235,0,1,3,2.83333333333333,2,0,0,6
30,9,2014,5,392236,0,0,2,2,2,0,0,6
30,9,2014,6,392237,7,4,2,2.375,5,0.0625,0,16
30,9,2014,7,392238,25,10,14,15.0740740740741,21,0,0,27
30,9,2014,8,392239,7,13,16.5,18.4285714285714,17,0,0,14
30,9,2014,9,392240,10,3,20,20,24,0,0,17
30,9,2014,10,392241,0,4,23,22.6923076923077,20,0,0,13
30,9,2014,11,392242,9,11,17,16.551724137931,17,0,0,29
30,9,2014,12,392243,8,7,13,13.25,17,0,0,20
30,9,2014,13,392244,3,3,16,16.1538461538462,15,0,0,13
30,9,2014,14,392245,5,1,19,18.4444444444444,20,0,0,9
30,9,2014,15,392246,3,7,15.5,15.8125,15,0,0,16
30,9,2014,16,392247,6,18,9,8.96774193548387,3,0,0,31
30,9,2014,17,392248,11,12,1,1.82142857142857,1,0.214285714285714,0,28
30,9,2014,18,392249,12,12,1,1.78125,0,0.40625,0,32
30,9,2014,19,392250,6,6,0,0.625,1,0.541666666666667,0,24
30,9,2014,20,392251,3,5,1,0.846153846153846,0,0.384615384615385,0,13
30,9,2014,21,392252,1,0,0,0.142857142857143,1,0.857142857142857,0,7
30,9,2014,22,392253,2,2,1,0.9,1,0.3,0,10
30,9,2014,23,392254,0,1,0,0.25,0,0.75,0,8
1,10,2014,0,392255,0,0,0,0,0,1,0,6
1,10,2014,1,392256,0,0,0,0,0,1,0,6
1,10,2014,2,392257,0,0,0,0,0,1,0,7
1,10,2014,3,392258,0,0,0,0,0,1,0,6
1,10,2014,4,392259,0,0,0,0,0,1,0,6
1,10,2014,5,392260,0,0,0,0,0,1,0,6
1,10,2014,6,392261,11,2,2,3.17647058823529,10,0.0588235294117647,0,17
1,10,2014,7,392262,24,21,15,15.2142857142857,14,0,0,28
1,10,2014,8,392263,12,3,20,20.05,24,0,0,20
1,10,2014,9,392264,5,4,24,24.1428571428571,25,0,0.285714285714286,14
1,10,2014,10,392265,3,12,17,18.32,16,0,0.08,25
1,10,2014,11,392266,10,16,10,11.1034482758621,11,0,0,29
1,10,2014,12,392267,10,15,4,4.875,6,0.03125,0,32
1,10,2014,13,392268,10,7,11,10.68,10,0,0,25
1,10,2014,14,392269,11,4,9,9.16666666666667,15,0,0,18
1,10,2014,15,392270,8,10,18,17.75,15,0,0,24
1,10,2014,16,392271,7,18,9,8.64,5,0,0,25
1,10,2014,17,392272,13,14,2.5,2.70588235294118,3,0.147058823529412,0,34
1,10,2014,18,392273,8,9,3.5,4.08333333333333,3,0,0,24
1,10,2014,19,392274,7,4,2,2.33333333333333,5,0.0555555555555556,0,18
1,10,2014,20,392275,3,4,2,1.81818181818182,2,0.181818181818182,0,11
1,10,2014,21,392276,4,5,3,2.46666666666667,1,0.133333333333333,0,15
1,10,2014,22,392277,2,0,2,2.5,4,0,0,8
1,10,2014,23,392278,3,1,5,4.75,5,0,0,8
2,10,2014,0,392279,2,0,7,6.14285714285714,7,0,0,7
2,10,2014,1,392280,0,1,6,6.33333333333333,6,0,0,6
2,10,2014,2,392281,0,0,6,6,6,0,0,7
2,10,2014,3,392282,0,0,6,6,6,0,0,6
2,10,2014,4,392283,0,1,6,5.71428571428571,5,0,0,7
2,10,2014,5,392284,0,0,5,5,5,0,0,6
2,10,2014,6,392285,8,2,9,9.63636363636364,14,0,0,11
2,10,2014,7,392286,21,14,22,21,22,0,0.275862068965517,29
2,10,2014,8,392287,16,14,21.5,21.2,23,0,0.2,20
2,10,2014,9,392288,2,3,24,24,24,0,0.2,10
2,10,2014,10,392289,4,6,22.5,22.5,22,0,0.0555555555555556,18
2,10,2014,11,392290,5,22,14,13.2727272727273,6,0,0,33
2,10,2014,12,392291,19,5,6,9.21428571428571,19,0,0,28
2,10,2014,13,392292,8,2,22.5,22.6428571428571,25,0,0.285714285714286,14
2,10,2014,14,392293,3,9,22.5,22.2777777777778,19,0,0.222222222222222,18
2,10,2014,15,392294,3,7,17.5,17.125,14,0,0,16
2,10,2014,16,392295,8,20,13,12.4242424242424,5,0,0,33
2,10,2014,17,392296,13,16,2,1.96666666666667,1,0.1,0,30
2,10,2014,18,392297,18,5,2,4.19230769230769,13,0.230769230769231,0,26
2,10,2014,19,392298,9,14,10,10.0869565217391,8,0,0,23
2,10,2014,20,392299,4,9,5,5.10526315789474,4,0,0,19
2,10,2014,21,392300,4,4,1.5,1.5,2,0.166666666666667,0,12
2,10,2014,22,392301,2,4,1,1,0,0.444444444444444,0,9
2,10,2014,23,392302,2,1,0.5,0.8,1,0.5,0,10
3,10,2014,0,392303,1,1,1,0.75,1,0.25,0,8
3,10,2014,1,392304,0,0,1,1,1,0,0,6
3,10,2014,2,392305,1,1,1,0.75,1,0.25,0,8
3,10,2014,3,392306,0,1,1,0.666666666666667,0,0.333333333333333,0,6
3,10,2014,4,392307,0,0,0,0,0,1,0,6
3,10,2014,5,392308,0,0,0,0,0,1,0,6
3,10,2014,6,392309,3,2,2,2,2,0,0,11
3,10,2014,7,392310,24,2,17,15.8,25,0,0.24,25
3,10,2014,8,392311,11,13,22,21.5625,23,0,0.1875,16
3,10,2014,9,392312,4,3,24,24.1,25,0,0.3,10
3,10,2014,10,392313,3,12,22,21.952380952381,16,0,0.142857142857143,21
3,10,2014,11,392314,6,19,4,5.63333333333333,3,0.133333333333333,0,30
3,10,2014,12,392315,14,8,5.5,6.07142857142857,10,0,0,28
3,10,2014,13,392316,7,14,9,8.11538461538461,1,0,0,26
3,10,2014,14,392317,7,7,1,0.894736842105263,1,0.315789473684211,0,19
3,10,2014,15,392318,4,4,1.5,1.57142857142857,1,0.214285714285714,0,14
3,10,2014,16,392319,2,2,0,0.222222222222222,0,0.777777777777778,0,9
3,10,2014,17,392320,6,3,1,0.8125,3,0.375,0,16
3,10,2014,18,392321,6,8,1,1.15789473684211,1,0.263157894736842,0,19
3,10,2014,19,392322,6,6,1,1.21428571428571,1,0.285714285714286,0,14
3,10,2014,20,392323,2,2,3,2.66666666666667,2,0,0,9
3,10,2014,21,392324,3,3,2,2,2,0,0,9
3,10,2014,22,392325,2,1,4,3.875,4,0,0,8
3,10,2014,23,392326,2,0,5,5.57142857142857,7,0,0,7
4,10,2014,0,392327,1,6,4,4.2,2,0,0,20
4,10,2014,1,392328,0,2,1,1,0,0.285714285714286,0,7
4,10,2014,2,392329,1,0,0,0.142857142857143,1,0.857142857142857,0,7
4,10,2014,3,392330,1,1,1,1.25,1,0,0,8
4,10,2014,4,392331,0,1,0,0.142857142857143,0,0.857142857142857,0,7
4,10,2014,5,392332,0,0,0,0,0,1,0,6
4,10,2014,6,392333,1,0,0,0.142857142857143,1,0.857142857142857,0,7
4,10,2014,7,392334,2,1,0,0.5,2,0.625,0,8
4,10,2014,8,392335,3,4,2.5,2.66666666666667,1,0,0,12
4,10,2014,9,392336,4,1,5,4.33333333333333,5,0,0,9
4,10,2014,10,392337,3,3,6,6.23076923076923,5,0,0,13
4,10,2014,11,392338,7,8,3.5,2.875,3,0.0625,0,16
4,10,2014,12,392339,7,4,6,6,6,0,0,11
4,10,2014,13,392340,1,1,4.5,4.5,5,0,0,8
