"day","month","year","hour","houred","totinc","totdecr","medbikes","meanbikes","lastbikes","propempty","propfull","count"
26,9,2014,10,392145,1,0,25,25.3333333333333,26,0,0.333333333333333,3
26,9,2014,11,392146,8,9,25.5,25.3461538461538,24,0,0.5,26
26,9,2014,12,392147,15,18,21,21.175,20,0,0.075,40
26,9,2014,13,392148,23,16,16,16.05,26,0,0.025,40
26,9,2014,14,392149,13,17,24,23.5238095238095,21,0,0.214285714285714,42
26,9,2014,15,392150,24,19,22.5,22.6521739130435,26,0,0.195652173913043,46
26,9,2014,16,392151,23,22,23.5,23.2692307692308,24,0,0.115384615384615,52
26,9,2014,17,392152,22,35,22,19.875,11,0,0.0535714285714286,56
26,9,2014,18,392153,30,24,12,13.6538461538462,19,0,0,52
26,9,2014,19,392154,10,5,25,24.625,25,0,0.375,32
26,9,2014,20,392155,2,3,26,25.7647058823529,25,0,0.764705882352941,17
26,9,2014,21,392156,14,17,25,24.0789473684211,23,0,0.210526315789474,38
26,9,2014,22,392157,7,18,15,15.7575757575758,11,0,0,33
26,9,2014,23,392158,15,8,16,15.8965517241379,19,0,0,29
27,9,2014,0,392159,9,9,20,20.2631578947368,20,0,0,19
27,9,2014,1,392160,18,14,21,21.0285714285714,25,0,0.0571428571428571,35
27,9,2014,2,392161,2,2,25,25.2307692307692,26,0,0.384615384615385,13
27,9,2014,3,392162,7,8,24,24.4285714285714,25,0,0.142857142857143,21
27,9,2014,4,392163,1,2,25,24.625,24,0,0,8
27,9,2014,5,392164,2,5,22.5,23,22,0,0,10
27,9,2014,6,392165,3,1,22,22.375,24,0,0,8
27,9,2014,7,392166,5,8,24,24.0869565217391,20,0,0.130434782608696,23
27,9,2014,8,392167,9,13,18,18.4333333333333,16,0,0,30
27,9,2014,9,392168,25,17,14,14.1904761904762,22,0,0,42
27,9,2014,10,392169,16,12,25,24.3720930232558,26,0,0.372093023255814,43
27,9,2014,11,392170,16,17,25,24.8333333333333,25,0,0.428571428571429,42
27,9,2014,12,392171,8,8,26,25.804347826087,26,0,0.847826086956522,46
27,9,2014,13,392172,11,11,26,25.5227272727273,26,0,0.681818181818182,44
27,9,2014,14,392173,5,6,26,25.8444444444444,25,0,0.844444444444444,45
27,9,2014,15,392174,5,5,26,25.8775510204082,26,0,0.877551020408163,49
27,9,2014,16,392175,10,18,26,25.0727272727273,17,0,0.6,55
27,9,2014,17,392176,28,36,9,9.28846153846154,8,0,0,52
27,9,2014,18,392177,25,27,6,6.48076923076923,6,0,0,52
27,9,2014,19,392178,27,21,9,8.93023255813953,13,0,0,43
27,9,2014,20,392179,15,4,20,20.1666666666667,25,0,0.266666666666667,30
27,9,2014,21,392180,10,9,25,25.0571428571429,26,0,0.428571428571429,35
27,9,2014,22,392181,11,11,26,24.7179487179487,26,0,0.512820512820513,39
27,9,2014,23,392182,3,12,21,21.4347826086957,17,0,0.217391304347826,23
28,9,2014,0,392183,8,19,11.5,11.0666666666667,5,0,0,30
28,9,2014,1,392184,9,13,4,3.89285714285714,2,0,0,28
28,9,2014,2,392185,11,7,4.5,4.75,6,0,0,20
28,9,2014,3,392186,6,4,7,7.4375,8,0,0,16
