"day","month","year","hour","houred","totinc","totdecr","medbikes","meanbikes","lastbikes","propempty","propfull","count"
30,3,2015,6,396581,0,0,0,0,0,1,0,2
30,3,2015,7,396582,9,0,0,2.89655172413793,9,0.517241379310345,0,29
30,3,2015,8,396583,0,0,9,9,9,0,0,5
30,3,2015,9,396584,0,0,9,9,9,0,0,7
30,3,2015,10,396585,0,0,9,9,9,0,0,6
30,3,2015,11,396586,0,1,8,8.16666666666667,8,0,0,6
30,3,2015,12,396587,0,1,7,7.33333333333333,7,0,0,6
30,3,2015,13,396588,0,0,7,7,7,0,0,6
30,3,2015,14,396589,0,0,7,7,7,0,0,6
30,3,2015,15,396590,1,0,7,7.14285714285714,8,0,0,7
30,3,2015,16,396591,2,3,8,7.8,7,0,0,10
30,3,2015,17,396592,1,0,7,7.28571428571429,8,0,0,7
30,3,2015,18,396593,1,1,8,7.625,8,0,0,8
30,3,2015,19,396594,0,0,8,8,8,0,0,6
30,3,2015,20,396595,1,0,9,8.83333333333333,9,0,0,6
30,3,2015,21,396596,0,0,9,9,9,0,0,6
30,3,2015,22,396597,0,0,9,9,9,0,0,8
30,3,2015,23,396598,0,0,9,9,9,0,0,6
31,3,2015,0,396599,0,0,9,9,9,0,0,6
31,3,2015,1,396600,0,0,9,9,9,0,0,6
31,3,2015,2,396601,0,0,9,9,9,0,0,7
31,3,2015,3,396602,0,0,9,9,9,0,0,6
31,3,2015,4,396603,0,0,9,9,9,0,0,6
31,3,2015,5,396604,0,0,9,9,9,0,0,6
31,3,2015,6,396605,0,1,8,8.42857142857143,8,0,0,7
31,3,2015,7,396606,0,1,8,7.85714285714286,7,0,0,7
31,3,2015,8,396607,0,0,7,7,7,0,0,6
31,3,2015,9,396608,0,0,8,8,8,0,0,6
31,3,2015,10,396609,0,0,8,8,8,0,0,8
31,3,2015,11,396610,0,0,8,8,8,0,0,6
31,3,2015,12,396611,0,1,7.5,7.5,7,0,0,6
31,3,2015,13,396612,0,0,7,7,7,0,0,6
31,3,2015,14,396613,0,0,8,8,8,0,0,6
31,3,2015,15,396614,0,1,7,7.14285714285714,7,0,0,7
31,3,2015,16,396615,0,2,6.5,6.375,5,0,0,8
31,3,2015,17,396616,0,0,5,5,5,0,0,8
31,3,2015,18,396617,0,0,5,5,5,0,0,5
31,3,2015,19,396618,0,1,4,4.25,4,0,0,8
31,3,2015,20,396619,0,0,4,4,4,0,0,6
31,3,2015,21,396620,0,0,4,4,4,0,0,6
31,3,2015,22,396621,0,0,4,4,4,0,0,6
31,3,2015,23,396622,1,0,4,4.33333333333333,5,0,0,6
1,4,2015,0,396623,0,0,5,5,5,0,0,7
1,4,2015,1,396624,0,0,5,5,5,0,0,6
1,4,2015,2,396625,0,0,5,5,5,0,0,7
1,4,2015,3,396626,0,0,5,5,5,0,0,6
1,4,2015,4,396627,0,0,5,5,5,0,0,6
1,4,2015,5,396628,0,0,5,5,5,0,0,6
1,4,2015,6,396629,1,1,5,5.375,5,0,0,8
1,4,2015,7,396630,0,2,3,3,2,0,0,8
1,4,2015,8,396631,6,1,2,3.33333333333333,7,0,0,12
1,4,2015,9,396632,0,0,7,7,7,0,0,6
