"day","month","year","hour","houred","totinc","totdecr","medbikes","meanbikes","lastbikes","propempty","propfull","count"
26,9,2014,10,392145,0,0,12,12,12,0,0,1
26,9,2014,11,392146,1,3,11,10.8181818181818,10,0,0,11
26,9,2014,12,392147,0,1,9,9.16666666666667,9,0,0,6
26,9,2014,13,392148,0,2,9,8.55555555555556,7,0,0,9
26,9,2014,14,392149,0,2,5.5,5.75,5,0,0,8
26,9,2014,15,392150,0,1,4,4.44444444444444,4,0,0,9
26,9,2014,16,392151,0,0,4,4,4,0,0,6
26,9,2014,17,392152,0,0,6,6,6,0,0,6
26,9,2014,18,392153,0,1,6,5.85714285714286,5,0,0,7
26,9,2014,19,392154,0,0,5,5,5,0,0,6
26,9,2014,20,392155,0,0,5,5,5,0,0,5
26,9,2014,21,392156,0,0,5,5,5,0,0,6
26,9,2014,22,392157,0,0,5,5,5,0,0,6
26,9,2014,23,392158,0,1,4,4.14285714285714,4,0,0,7
27,9,2014,0,392159,0,0,4,4,4,0,0,6
27,9,2014,1,392160,0,0,4,4,4,0,0,6
27,9,2014,2,392161,0,0,4,4,4,0,0,6
27,9,2014,3,392162,0,0,4,4,4,0,0,7
27,9,2014,4,392163,0,0,4,4,4,0,0,6
27,9,2014,5,392164,0,0,4,4,4,0,0,6
27,9,2014,6,392165,0,0,4,4,4,0,0,6
27,9,2014,7,392166,0,0,4,4,4,0,0,6
27,9,2014,8,392167,0,0,4,4,4,0,0,6
27,9,2014,9,392168,9,0,11.5,9.8,13,0,0,10
27,9,2014,10,392169,0,0,13,13,13,0,0,6
27,9,2014,11,392170,0,2,13,12.2857142857143,11,0,0,7
27,9,2014,12,392171,0,0,11,11,11,0,0,6
27,9,2014,13,392172,0,0,11,11,11,0,0,6
27,9,2014,14,392173,0,0,11,11,11,0,0,6
27,9,2014,15,392174,0,0,11,11,11,0,0,6
27,9,2014,16,392175,0,0,11,11,11,0,0,6
27,9,2014,17,392176,0,0,11,11,11,0,0,6
27,9,2014,18,392177,0,2,11,10.375,9,0,0,8
27,9,2014,19,392178,0,0,9,9,9,0,0,6
27,9,2014,20,392179,0,0,9,9,9,0,0,6
27,9,2014,21,392180,0,0,9,9,9,0,0,6
27,9,2014,22,392181,0,0,9,9,9,0,0,5
27,9,2014,23,392182,0,0,9,9,9,0,0,6
28,9,2014,0,392183,0,0,9,9,9,0,0,6
28,9,2014,1,392184,0,0,9,9,9,0,0,6
28,9,2014,2,392185,0,0,9,9,9,0,0,6
28,9,2014,3,392186,0,0,9,9,9,0,0,6
28,9,2014,4,392187,0,0,9,9,9,0,0,6
28,9,2014,5,392188,0,0,9,9,9,0,0,6
28,9,2014,6,392189,0,0,9,9,9,0,0,6
28,9,2014,7,392190,0,0,9,9,9,0,0,6
28,9,2014,8,392191,0,0,9,9,9,0,0,6
28,9,2014,9,392192,0,0,9,9,9,0,0,6
28,9,2014,10,392193,0,0,9,9,9,0,0,6
28,9,2014,11,392194,0,0,9,9,9,0,0,6
28,9,2014,12,392195,0,0,9,9,9,0,0,6
28,9,2014,13,392196,0,0,9,9,9,0,0,6
28,9,2014,14,392197,0,0,9,9,9,0,0,6
28,9,2014,15,392198,0,0,9,9,9,0,0,7
28,9,2014,16,392199,0,0,9,9,9,0,0,6
28,9,2014,17,392200,0,0,9,9,9,0,0,6
28,9,2014,18,392201,0,0,9,9,9,0,0,6
28,9,2014,19,392202,0,0,9,9,9,0,0,6
28,9,2014,20,392203,0,0,9,9,9,0,0,6
28,9,2014,21,392204,0,0,9,9,9,0,0,6
28,9,2014,22,392205,0,0,9,9,9,0,0,6
28,9,2014,23,392206,0,0,9,9,9,0,0,6
29,9,2014,0,392207,0,0,9,9,9,0,0,6
29,9,2014,1,392208,0,0,9,9,9,0,0,6
29,9,2014,2,392209,0,0,9,9,9,0,0,6
29,9,2014,3,392210,0,0,9,9,9,0,0,6
29,9,2014,4,392211,0,0,9,9,9,0,0,6
29,9,2014,5,392212,0,0,9,9,9,0,0,6
29,9,2014,6,392213,0,0,9,9,9,0,0,6
29,9,2014,7,392214,0,0,9,9,9,0,0,6
29,9,2014,8,392215,9,0,15.5,14.6,18,0,0,10
29,9,2014,9,392216,0,0,18,18,18,0,0,6
29,9,2014,10,392217,0,0,18,18,18,0,0,6
29,9,2014,11,392218,1,0,19,18.8571428571429,19,0,0,7
29,9,2014,12,392219,0,2,19,18.5,17,0,0,8
29,9,2014,13,392220,0,4,15,15.1,13,0,0,10
29,9,2014,14,392221,0,1,13,12.5714285714286,12,0,0,7
29,9,2014,15,392222,0,0,12,12,12,0,0,6
29,9,2014,16,392223,0,1,12,11.7142857142857,11,0,0,7
29,9,2014,17,392224,1,0,11,11.4285714285714,12,0,0,7
29,9,2014,18,392225,0,0,12,12,12,0,0,6
29,9,2014,19,392226,0,0,12,12,12,0,0,6
29,9,2014,20,392227,0,0,12,12,12,0,0,6
29,9,2014,21,392228,0,0,12,12,12,0,0,6
29,9,2014,22,392229,0,0,12,12,12,0,0,6
29,9,2014,23,392230,0,0,12,12,12,0,0,6
30,9,2014,0,392231,0,0,12,12,12,0,0,6
30,9,2014,1,392232,0,0,12,12,12,0,0,6
30,9,2014,2,392233,0,0,12,12,12,0,0,6
30,9,2014,3,392234,0,0,12,12,12,0,0,5
30,9,2014,4,392235,0,0,12,12,12,0,0,6
30,9,2014,5,392236,0,0,12,12,12,0,0,6
30,9,2014,6,392237,0,0,12,12,12,0,0,6
30,9,2014,7,392238,4,0,14,14.1111111111111,16,0,0,9
30,9,2014,8,392239,0,0,16,16,16,0,0,6
30,9,2014,9,392240,0,1,16,15.8571428571429,15,0,0,7
30,9,2014,10,392241,0,0,15,15,15,0,0,6
30,9,2014,11,392242,0,2,15,14.6,13,0,0,10
30,9,2014,12,392243,0,1,13,12.7142857142857,12,0,0,7
30,9,2014,13,392244,0,3,10,10.1111111111111,9,0,0,9
30,9,2014,14,392245,2,2,9,8.6,9,0,0,10
30,9,2014,15,392246,0,0,9,9,9,0,0,7
30,9,2014,16,392247,2,3,8.5,8.3,8,0,0,10
30,9,2014,17,392248,0,0,8,8,8,0,0,6
30,9,2014,18,392249,5,0,8,9.75,13,0,0,8
30,9,2014,19,392250,0,0,12,12,12,0,0,6
30,9,2014,20,392251,0,0,12,12,12,0,0,6
30,9,2014,21,392252,0,0,12,12,12,0,0,6
30,9,2014,22,392253,0,0,12,12,12,0,0,6
30,9,2014,23,392254,0,0,12,12,12,0,0,6
1,10,2014,0,392255,0,0,12,12,12,0,0,6
1,10,2014,1,392256,0,0,12,12,12,0,0,6
1,10,2014,2,392257,0,0,12,12,12,0,0,6
1,10,2014,3,392258,0,0,12,12,12,0,0,7
1,10,2014,4,392259,0,0,12,12,12,0,0,6
1,10,2014,5,392260,0,0,12,12,12,0,0,5
1,10,2014,6,392261,0,0,12,12,12,0,0,6
1,10,2014,7,392262,0,0,12,12,12,0,0,6
1,10,2014,8,392263,1,1,12,12.25,12,0,0,8
