"day","month","year","hour","houred","totinc","totdecr","medbikes","meanbikes","lastbikes","propempty","propfull","count"
26,9,2014,10,392145,0,1,5.5,5.5,5,0,0,2
26,9,2014,11,392146,3,6,2.5,3.2,3,0,0,20
26,9,2014,12,392147,5,6,4,4.33333333333333,2,0,0,15
26,9,2014,13,392148,12,10,5,5.7037037037037,5,0,0,27
26,9,2014,14,392149,6,5,6,5.75,6,0,0,16
26,9,2014,15,392150,0,7,3.5,4.27777777777778,1,0,0,18
26,9,2014,16,392151,2,1,1,1.4,2,0,0,10
26,9,2014,17,392152,4,4,2,2.05882352941176,3,0,0,17
26,9,2014,18,392153,17,2,9.5,10.4545454545455,18,0,0,22
26,9,2014,19,392154,11,14,17,16.8064516129032,15,0,0.0645161290322581,31
26,9,2014,20,392155,5,8,12,11.8095238095238,12,0,0,21
26,9,2014,21,392156,6,4,14,14.1538461538462,14,0,0,13
26,9,2014,22,392157,1,7,10,10.0555555555556,8,0,0,18
26,9,2014,23,392158,6,2,8,8.69230769230769,12,0,0,13
27,9,2014,0,392159,0,4,10,9.84615384615385,8,0,0,13
27,9,2014,1,392160,2,2,6,6.3,7,0,0,10
27,9,2014,2,392161,1,0,8,7.66666666666667,8,0,0,6
27,9,2014,3,392162,0,2,8,7.54545454545455,6,0,0,11
27,9,2014,4,392163,1,3,5,4.81818181818182,4,0,0,11
27,9,2014,5,392164,3,2,4,4.2,5,0,0,10
27,9,2014,6,392165,0,0,5,5,5,0,0,6
27,9,2014,7,392166,0,2,5,4.625,3,0,0,8
27,9,2014,8,392167,3,3,3,3,3,0,0,11
27,9,2014,9,392168,4,0,5,5,7,0,0,9
27,9,2014,10,392169,5,0,9.5,9.8,12,0,0,10
27,9,2014,11,392170,7,5,13,12.8235294117647,13,0,0,17
27,9,2014,12,392171,3,9,9,9.23529411764706,7,0,0,17
27,9,2014,13,392172,3,6,5,5.4,4,0,0,15
27,9,2014,14,392173,1,2,3,3.1,2,0,0,10
27,9,2014,15,392174,1,1,2,1.88888888888889,2,0,0,9
27,9,2014,16,392175,3,4,1,1.09090909090909,1,0.181818181818182,0,11
27,9,2014,17,392176,3,2,2,1.77777777777778,2,0,0,9
27,9,2014,18,392177,2,4,1,1.45454545454545,1,0.0909090909090909,0,11
27,9,2014,19,392178,2,2,1,1,1,0.0833333333333333,0,12
27,9,2014,20,392179,2,3,2,1.54545454545455,1,0.0909090909090909,0,11
27,9,2014,21,392180,4,4,1,0.545454545454545,1,0.454545454545455,0,11
27,9,2014,22,392181,4,3,2,1.76923076923077,2,0,0,13
27,9,2014,23,392182,4,3,3,3.38461538461538,3,0,0,13
28,9,2014,0,392183,1,0,4,3.875,4,0,0,8
28,9,2014,1,392184,0,0,4,4,4,0,0,6
28,9,2014,2,392185,1,1,4,4.375,4,0,0,8
28,9,2014,3,392186,0,0,4,4,4,0,0,8
28,9,2014,4,392187,0,0,4,4,4,0,0,6
28,9,2014,5,392188,0,0,3,3,3,0,0,6
28,9,2014,6,392189,1,0,3,3.16666666666667,4,0,0,6
28,9,2014,7,392190,3,2,5,4.83333333333333,5,0,0,12
28,9,2014,8,392191,0,1,4,4.14285714285714,4,0,0,7
28,9,2014,9,392192,4,0,6.5,6.75,9,0,0,8
28,9,2014,10,392193,5,3,8,7.85714285714286,10,0,0,14
28,9,2014,11,392194,6,3,10,9.57142857142857,12,0,0,14
28,9,2014,12,392195,0,9,8,7.53333333333333,3,0,0,15
28,9,2014,13,392196,5,2,7,6.66666666666667,7,0,0,12
