"day","month","year","hour","houred","totinc","totdecr","medbikes","meanbikes","lastbikes","propempty","propfull","count"
26,9,2014,10,392145,1,0,0.5,0.5,1,0.5,0,2
26,9,2014,11,392146,7,9,2,1.85714285714286,0,0.142857142857143,0,21
26,9,2014,12,392147,7,4,4,3.5,4,0,0,14
26,9,2014,13,392148,5,4,7,7,6,0,0,13
26,9,2014,14,392149,5,6,6,5.64285714285714,6,0,0,14
26,9,2014,15,392150,1,6,3,3.84615384615385,1,0,0,13
26,9,2014,16,392151,10,3,7.5,6.5,9,0,0,16
26,9,2014,17,392152,7,5,10.5,10.9285714285714,12,0,0,14
26,9,2014,18,392153,9,11,13,12.9285714285714,10,0,0,28
26,9,2014,19,392154,10,2,13.5,13.8,18,0,0,20
26,9,2014,20,392155,3,2,18,17.8181818181818,19,0,0,11
26,9,2014,21,392156,2,2,19,18.8333333333333,19,0,0,12
26,9,2014,22,392157,2,3,18,18.1333333333333,18,0,0,15
26,9,2014,23,392158,1,0,19,18.8571428571429,19,0,0,7
27,9,2014,0,392159,1,3,17,17.3571428571429,17,0,0,14
27,9,2014,1,392160,5,8,16,15.5714285714286,15,0,0,28
27,9,2014,2,392161,2,3,15.5,15.4285714285714,14,0,0,14
27,9,2014,3,392162,2,4,13,13.2105263157895,12,0,0,19
27,9,2014,4,392163,1,0,13,12.6666666666667,13,0,0,6
27,9,2014,5,392164,1,0,15,14.7142857142857,15,0,0,7
27,9,2014,6,392165,0,3,14,14.6923076923077,13,0,0,13
27,9,2014,7,392166,1,2,13,13.0909090909091,12,0,0,11
27,9,2014,8,392167,2,5,11,11.3076923076923,9,0,0,13
27,9,2014,9,392168,5,4,9,8.78571428571429,10,0,0,14
27,9,2014,10,392169,3,3,10,10.3076923076923,11,0,0,13
27,9,2014,11,392170,4,5,11,10.5294117647059,10,0,0,17
27,9,2014,12,392171,3,8,7,7.54545454545455,5,0,0,22
27,9,2014,13,392172,2,3,5,4.46666666666667,4,0,0,15
27,9,2014,14,392173,1,3,2,2.38461538461538,2,0,0,13
27,9,2014,15,392174,7,4,4,3.95454545454545,5,0,0,22
27,9,2014,16,392175,4,6,5,4.83333333333333,3,0,0,18
27,9,2014,17,392176,8,3,8,7.14285714285714,8,0,0,21
27,9,2014,18,392177,7,3,10,10.5263157894737,12,0,0,19
27,9,2014,19,392178,5,3,15,14.5714285714286,15,0,0,14
27,9,2014,20,392179,5,4,17,17.5555555555556,16,0,0,18
