"day","month","year","hour","houred","totinc","totdecr","medbikes","meanbikes","lastbikes","propempty","propfull","count"
26,9,2014,10,392145,0,0,5,5,5,0,0,1
26,9,2014,11,392146,0,1,5,4.75,4,0,0,8
26,9,2014,12,392147,0,0,4,4,4,0,0,6
26,9,2014,13,392148,0,0,4,4,4,0,0,5
26,9,2014,14,392149,0,1,3,3.375,3,0,0,8
26,9,2014,15,392150,1,1,3,2.66666666666667,3,0,0,6
26,9,2014,16,392151,0,0,3,3,3,0,0,8
26,9,2014,17,392152,0,0,3,3,3,0,0,6
26,9,2014,18,392153,0,0,3,3,3,0,0,6
26,9,2014,19,392154,0,0,3,3,3,0,0,6
26,9,2014,20,392155,0,0,3,3,3,0,0,6
26,9,2014,21,392156,0,0,3,3,3,0,0,7
26,9,2014,22,392157,0,0,3,3,3,0,0,6
26,9,2014,23,392158,0,0,3,3,3,0,0,6
27,9,2014,0,392159,0,0,4,4,4,0,0,6
27,9,2014,1,392160,0,0,4,4,4,0,0,6
27,9,2014,2,392161,3,0,7,5.85714285714286,7,0,0,7
27,9,2014,3,392162,0,0,7,7,7,0,0,6
27,9,2014,4,392163,2,0,8,8,9,0,0,8
27,9,2014,5,392164,0,0,9,9,9,0,0,6
27,9,2014,6,392165,0,0,9,9,9,0,0,6
27,9,2014,7,392166,0,1,9,8.625,8,0,0,8
27,9,2014,8,392167,0,0,8,8,8,0,0,6
27,9,2014,9,392168,0,0,8,8,8,0,0,6
27,9,2014,10,392169,0,0,8,8,8,0,0,6
27,9,2014,11,392170,0,0,8,8,8,0,0,6
27,9,2014,12,392171,0,0,8,8,8,0,0,6
27,9,2014,13,392172,2,1,9,8.625,9,0,0,8
27,9,2014,14,392173,0,0,9,9,9,0,0,5
27,9,2014,15,392174,0,0,9,9,9,0,0,6
27,9,2014,16,392175,0,0,9,9,9,0,0,7
27,9,2014,17,392176,0,0,9,9,9,0,0,6
27,9,2014,18,392177,0,0,9,9,9,0,0,6
27,9,2014,19,392178,0,0,9,9,9,0,0,6
27,9,2014,20,392179,0,0,9,9,9,0,0,7
27,9,2014,21,392180,0,0,9,9,9,0,0,6
27,9,2014,22,392181,0,0,9,9,9,0,0,5
27,9,2014,23,392182,0,0,9,9,9,0,0,6
28,9,2014,0,392183,0,0,9,9,9,0,0,6
28,9,2014,1,392184,0,0,9,9,9,0,0,6
28,9,2014,2,392185,0,0,9,9,9,0,0,7
28,9,2014,3,392186,0,0,9,9,9,0,0,6
28,9,2014,4,392187,0,0,9,9,9,0,0,6
28,9,2014,5,392188,1,0,9,9.16666666666667,10,0,0,6
28,9,2014,6,392189,1,1,10,9.83333333333333,10,0,0,6
28,9,2014,7,392190,0,0,11,11,11,0,0,6
28,9,2014,8,392191,0,0,11,11,11,0,0,6
28,9,2014,9,392192,1,7,11.5,9.75,5,0,0,12
28,9,2014,10,392193,1,0,5,5.16666666666667,6,0,0,6
28,9,2014,11,392194,1,1,6,6.14285714285714,6,0,0,7
28,9,2014,12,392195,0,0,6,6,6,0,0,6
28,9,2014,13,392196,0,0,5,5,5,0,0,6
28,9,2014,14,392197,0,0,5,5,5,0,0,6
28,9,2014,15,392198,0,0,5,5,5,0,0,6
28,9,2014,16,392199,0,0,5,5,5,0,0,7
28,9,2014,17,392200,0,0,5,5,5,0,0,6
28,9,2014,18,392201,0,0,5,5,5,0,0,6
28,9,2014,19,392202,0,0,5,5,5,0,0,6
28,9,2014,20,392203,0,0,5,5,5,0,0,6
28,9,2014,21,392204,0,0,5,5,5,0,0,6
28,9,2014,22,392205,1,1,5,5.16666666666667,5,0,0,6
28,9,2014,23,392206,3,0,7,6.625,8,0,0,8
29,9,2014,0,392207,2,0,10.5,10.3333333333333,11,0,0,6
29,9,2014,1,392208,0,3,8,8.625,8,0,0,8
29,9,2014,2,392209,0,1,8,7.57142857142857,7,0,0,7
29,9,2014,3,392210,0,0,7,7,7,0,0,5
29,9,2014,4,392211,0,0,7,7,7,0,0,7
29,9,2014,5,392212,0,1,7,6.83333333333333,6,0,0,6
29,9,2014,6,392213,2,1,7,6.71428571428571,7,0,0,7
29,9,2014,7,392214,0,0,7,7,7,0,0,6
29,9,2014,8,392215,2,1,8,8,8,0,0,8
29,9,2014,9,392216,6,3,10,9.58333333333333,11,0,0,12
29,9,2014,10,392217,0,2,9.5,9.75,9,0,0,8
29,9,2014,11,392218,0,2,8,8,7,0,0,7
29,9,2014,12,392219,0,1,5,5.28571428571429,5,0,0,7
29,9,2014,13,392220,0,0,5,5,5,0,0,6
29,9,2014,14,392221,0,0,5,5,5,0,0,6
29,9,2014,15,392222,0,0,5,5,5,0,0,6
29,9,2014,16,392223,0,0,5,5,5,0,0,6
29,9,2014,17,392224,0,0,5,5,5,0,0,6
29,9,2014,18,392225,0,0,5,5,5,0,0,6
29,9,2014,19,392226,0,0,5,5,5,0,0,7
29,9,2014,20,392227,0,0,5,5,5,0,0,6
29,9,2014,21,392228,0,0,5,5,5,0,0,7
29,9,2014,22,392229,0,0,5,5,5,0,0,5
29,9,2014,23,392230,3,1,5,5.3,7,0,0,10
30,9,2014,0,392231,4,0,11.5,10.75,12,0,0,8
30,9,2014,1,392232,0,4,8,8.75,8,0,0,8
30,9,2014,2,392233,0,2,7,7,6,0,0,7
30,9,2014,3,392234,1,0,7,6.66666666666667,7,0,0,6
30,9,2014,4,392235,0,2,6,5.875,5,0,0,8
30,9,2014,5,392236,0,0,5,5,5,0,0,6
30,9,2014,6,392237,0,1,5,4.57142857142857,4,0,0,7
30,9,2014,7,392238,2,2,4,4.14285714285714,4,0,0,7
30,9,2014,8,392239,5,0,7,6.53846153846154,9,0,0,13
30,9,2014,9,392240,2,3,10,10.25,9,0,0,12
30,9,2014,10,392241,2,3,8,8.45454545454546,8,0,0,11
30,9,2014,11,392242,0,0,8,8,8,0,0,6
30,9,2014,12,392243,0,4,5,5.6,4,0,0,10
30,9,2014,13,392244,0,0,4,4,4,0,0,5
30,9,2014,14,392245,0,2,3,2.85714285714286,2,0,0,7
30,9,2014,15,392246,0,0,2,2,2,0,0,6
30,9,2014,16,392247,0,0,2,2,2,0,0,6
30,9,2014,17,392248,0,0,2,2,2,0,0,6
30,9,2014,18,392249,0,0,2,2,2,0,0,6
30,9,2014,19,392250,0,0,2,2,2,0,0,6
30,9,2014,20,392251,0,0,2,2,2,0,0,5
30,9,2014,21,392252,0,0,2,2,2,0,0,6
30,9,2014,22,392253,0,0,2,2,2,0,0,6
30,9,2014,23,392254,4,2,4,3.55555555555556,4,0,0,9
1,10,2014,0,392255,7,1,9,8,10,0,0,10
1,10,2014,1,392256,0,1,10,9.66666666666667,9,0,0,6
1,10,2014,2,392257,0,0,9,9,9,0,0,6
1,10,2014,3,392258,0,0,9,9,9,0,0,6
1,10,2014,4,392259,0,0,9,9,9,0,0,6
1,10,2014,5,392260,0,0,9,9,9,0,0,5
1,10,2014,6,392261,0,0,9,9,9,0,0,6
1,10,2014,7,392262,1,1,10,9.625,9,0,0,8
1,10,2014,8,392263,2,0,10,10,11,0,0,6
1,10,2014,9,392264,3,5,9,8.81818181818182,9,0,0,11
1,10,2014,10,392265,0,1,9,8.85714285714286,8,0,0,7
1,10,2014,11,392266,0,1,7,7.33333333333333,7,0,0,6
1,10,2014,12,392267,1,2,6,5.88888888888889,6,0,0,9
1,10,2014,13,392268,0,0,6,6,6,0,0,6
1,10,2014,14,392269,1,1,6,5.57142857142857,6,0,0,7
1,10,2014,15,392270,0,0,6,6,6,0,0,6
1,10,2014,16,392271,0,0,6,6,6,0,0,8
1,10,2014,17,392272,0,0,6,6,6,0,0,6
1,10,2014,18,392273,0,0,6,6,6,0,0,7
1,10,2014,19,392274,0,0,6,6,6,0,0,6
1,10,2014,20,392275,0,0,6,6,6,0,0,6
1,10,2014,21,392276,0,0,6,6,6,0,0,6
1,10,2014,22,392277,0,0,6,6,6,0,0,6
1,10,2014,23,392278,2,2,6,6,6,0,0,10
2,10,2014,0,392279,4,0,9,8.875,11,0,0,8
2,10,2014,1,392280,0,0,11,11,11,0,0,6
2,10,2014,2,392281,0,0,11,11,11,0,0,6
2,10,2014,3,392282,0,0,11,11,11,0,0,6
2,10,2014,4,392283,1,3,10,9.77777777777778,9,0,0,9
2,10,2014,5,392284,2,1,9.5,9.5,10,0,0,8
2,10,2014,6,392285,3,4,9,9.2,9,0,0,15
2,10,2014,7,392286,0,0,9,9,9,0,0,6
2,10,2014,8,392287,0,1,9,8.83333333333333,8,0,0,6
2,10,2014,9,392288,2,1,8,8,9,0,0,9
2,10,2014,10,392289,0,2,8.5,8.375,7,0,0,8
2,10,2014,11,392290,0,2,7,6.28571428571429,5,0,0,7
2,10,2014,12,392291,0,0,5,5,5,0,0,6
2,10,2014,13,392292,0,0,5,5,5,0,0,6
