"day","month","year","hour","houred","totinc","totdecr","medbikes","meanbikes","lastbikes","propempty","propfull","count"
26,9,2014,10,392145,1,0,28.5,28.5,29,0,0,2
26,9,2014,11,392146,4,12,28,27.0384615384615,22,0,0.0769230769230769,26
26,9,2014,12,392147,2,23,10,10.0571428571429,0,0.0285714285714286,0,35
26,9,2014,13,392148,8,5,1,1.21052631578947,3,0.315789473684211,0,19
26,9,2014,14,392149,10,10,4,3.81818181818182,5,0,0,22
26,9,2014,15,392150,4,9,1.5,1.94444444444444,1,0.277777777777778,0,18
26,9,2014,16,392151,9,7,3,3,4,0.05,0,20
26,9,2014,17,392152,8,11,3,2.76,2,0.12,0,25
26,9,2014,18,392153,10,10,2,1.5,2,0.166666666666667,0,24
26,9,2014,19,392154,3,5,0,0.545454545454545,0,0.545454545454545,0,11
26,9,2014,20,392155,0,0,0,0,0,1,0,14
26,9,2014,21,392156,1,1,0,0.375,0,0.625,0,8
26,9,2014,22,392157,1,0,0,0.428571428571429,1,0.571428571428571,0,7
26,9,2014,23,392158,0,0,1,1,1,0,0,6
27,9,2014,0,392159,0,0,1,1,1,0,0,6
27,9,2014,1,392160,0,1,0,0.285714285714286,0,0.714285714285714,0,7
27,9,2014,2,392161,0,0,0,0,0,1,0,6
27,9,2014,3,392162,0,0,0,0,0,1,0,6
27,9,2014,4,392163,0,0,0,0,0,1,0,6
27,9,2014,5,392164,0,0,0,0,0,1,0,6
27,9,2014,6,392165,0,0,0,0,0,1,0,6
27,9,2014,7,392166,1,0,0,0.285714285714286,1,0.714285714285714,0,7
27,9,2014,8,392167,3,0,4,4,5,0,0,8
27,9,2014,9,392168,1,1,5,4.71428571428571,5,0,0,7
27,9,2014,10,392169,3,1,7,6.75,7,0,0,8
27,9,2014,11,392170,8,6,7,7.22727272727273,9,0,0,22
27,9,2014,12,392171,0,3,7,6.66666666666667,5,0,0,9
27,9,2014,13,392172,2,2,5,5,5,0,0,10
27,9,2014,14,392173,0,0,5,5,5,0,0,6
27,9,2014,15,392174,0,0,5,5,5,0,0,6
27,9,2014,16,392175,0,0,5,5,5,0,0,6
27,9,2014,17,392176,2,0,5,5.66666666666667,7,0,0,6
27,9,2014,18,392177,0,0,7,7,7,0,0,6
27,9,2014,19,392178,0,3,6.5,5.875,4,0,0,8
27,9,2014,20,392179,0,3,2.5,2.25,1,0,0,8
27,9,2014,21,392180,0,0,1,1,1,0,0,6
27,9,2014,22,392181,0,0,1,1,1,0,0,6
27,9,2014,23,392182,0,0,1,1,1,0,0,6
28,9,2014,0,392183,0,0,1,1,1,0,0,6
28,9,2014,1,392184,0,0,1,1,1,0,0,6
28,9,2014,2,392185,0,0,1,1,1,0,0,6
28,9,2014,3,392186,0,0,1,1,1,0,0,6
28,9,2014,4,392187,0,0,1,1,1,0,0,7
28,9,2014,5,392188,0,0,1,1,1,0,0,6
28,9,2014,6,392189,0,0,1,1,1,0,0,6
28,9,2014,7,392190,0,0,1,1,1,0,0,6
28,9,2014,8,392191,1,0,1,1.14285714285714,2,0,0,7
28,9,2014,9,392192,0,0,2,2,2,0,0,5
28,9,2014,10,392193,0,0,2,2,2,0,0,6
28,9,2014,11,392194,0,0,2,2,2,0,0,6
28,9,2014,12,392195,1,1,2.5,2.5,2,0,0,8
28,9,2014,13,392196,1,1,1,1.28571428571429,2,0,0,7
28,9,2014,14,392197,1,1,2,1.83333333333333,2,0,0,6
28,9,2014,15,392198,2,0,2,2.66666666666667,4,0,0,6
28,9,2014,16,392199,0,0,4,4,4,0,0,6
28,9,2014,17,392200,1,1,4,4.375,4,0,0,8
28,9,2014,18,392201,1,0,5,4.71428571428571,5,0,0,7
28,9,2014,19,392202,0,2,4,3.75,3,0,0,8
28,9,2014,20,392203,0,0,3,3,3,0,0,5
28,9,2014,21,392204,0,0,3,3,3,0,0,6
28,9,2014,22,392205,0,0,3,3,3,0,0,6
28,9,2014,23,392206,0,0,3,3,3,0,0,6
29,9,2014,0,392207,0,0,3,3,3,0,0,6
29,9,2014,1,392208,0,0,3,3,3,0,0,6
29,9,2014,2,392209,0,0,3,3,3,0,0,6
29,9,2014,3,392210,0,0,3,3,3,0,0,6
29,9,2014,4,392211,0,0,3,3,3,0,0,7
29,9,2014,5,392212,1,0,3,3.42857142857143,4,0,0,7
29,9,2014,6,392213,15,0,11.5,11.8571428571429,19,0,0,14
29,9,2014,7,392214,13,4,28,27.1363636363636,29,0,0,22
29,9,2014,8,392215,2,2,29,28.8181818181818,29,0,0,11
29,9,2014,9,392216,4,5,28,28.4117647058824,28,0,0,17
29,9,2014,10,392217,9,9,28,28.2758620689655,29,0,0,29
29,9,2014,11,392218,6,15,23,22.9090909090909,19,0,0,33
29,9,2014,12,392219,3,24,9,9.63333333333333,0,0.0666666666666667,0,30
29,9,2014,13,392220,19,8,1,3.1,11,0.325,0,40
29,9,2014,14,392221,19,13,16,15.7894736842105,19,0,0,38
29,9,2014,15,392222,5,11,17,16.8636363636364,13,0,0,22
29,9,2014,16,392223,7,19,7,7.17142857142857,1,0,0,35
29,9,2014,17,392224,13,11,3,2.775,2,0.075,0,40
29,9,2014,18,392225,12,12,1,1.4,3,0.375,0,40
29,9,2014,19,392226,10,13,0.5,0.933333333333333,0,0.5,0,30
29,9,2014,20,392227,1,1,0,0.0769230769230769,0,0.923076923076923,0,13
29,9,2014,21,392228,0,0,0,0,0,1,0,9
29,9,2014,22,392229,0,0,0,0,0,1,0,6
29,9,2014,23,392230,0,0,1,1,1,0,0,6
30,9,2014,0,392231,0,0,1,1,1,0,0,6
30,9,2014,1,392232,0,0,1,1,1,0,0,6
30,9,2014,2,392233,0,0,1,1,1,0,0,6
30,9,2014,3,392234,0,0,1,1,1,0,0,6
30,9,2014,4,392235,0,0,1,1,1,0,0,6
30,9,2014,5,392236,3,2,1,1,2,0.363636363636364,0,11
30,9,2014,6,392237,13,2,7,7.66666666666667,13,0,0,15
30,9,2014,7,392238,17,2,27,24.7,29,0,0,20
30,9,2014,8,392239,5,5,28,27.9,29,0,0,20
30,9,2014,9,392240,4,4,29,28.6,29,0,0,20
30,9,2014,10,392241,8,8,28,28.3333333333333,29,0,0,30
30,9,2014,11,392242,9,19,21.5,22.1388888888889,19,0,0,36
30,9,2014,12,392243,12,30,2,5.43396226415094,1,0.0943396226415094,0,53
30,9,2014,13,392244,19,15,1,1.87234042553191,7,0.148936170212766,0,47
30,9,2014,14,392245,15,9,10,10.5428571428571,14,0,0,35
30,9,2014,15,392246,21,10,17,18.9142857142857,24,0,0,35
30,9,2014,16,392247,17,25,17,17.5111111111111,16,0,0,45
30,9,2014,17,392248,19,27,11,11.3958333333333,7,0,0,48
30,9,2014,18,392249,9,14,1,1.82857142857143,1,0.0571428571428571,0,35
30,9,2014,19,392250,15,16,1,2.40425531914894,0,0.0638297872340425,0,47
30,9,2014,20,392251,5,4,0,0.7,1,0.55,0,20
30,9,2014,21,392252,3,3,1,1,1,0.117647058823529,0,17
30,9,2014,22,392253,0,0,1,1,1,0,0,8
30,9,2014,23,392254,0,0,1,1,1,0,0,6
1,10,2014,0,392255,0,0,1,1,1,0,0,6
1,10,2014,1,392256,0,0,1,1,1,0,0,6
1,10,2014,2,392257,0,0,1,1,1,0,0,6
1,10,2014,3,392258,0,0,1,1,1,0,0,6
1,10,2014,4,392259,1,0,1,1.42857142857143,2,0,0,7
1,10,2014,5,392260,2,0,2,2.42857142857143,4,0,0,7
1,10,2014,6,392261,11,1,7,7.23076923076923,14,0,0,13
1,10,2014,7,392262,14,1,26,24.3529411764706,28,0,0,17
1,10,2014,8,392263,3,7,26.5,26.35,24,0,0,20
1,10,2014,9,392264,10,4,27,26.8,29,0,0,25
1,10,2014,10,392265,6,12,27,26.7692307692308,23,0,0,26
1,10,2014,11,392266,12,18,23,21.9117647058824,18,0,0,34
1,10,2014,12,392267,10,20,13,13.3589743589744,9,0,0,39
1,10,2014,13,392268,13,11,1,2.67391304347826,9,0.0869565217391304,0,46
1,10,2014,14,392269,24,6,23,21.448275862069,29,0,0,29
1,10,2014,15,392270,12,11,28,27.53125,29,0,0,32
1,10,2014,16,392271,9,24,18,19.05,13,0,0,40
1,10,2014,17,392272,11,23,10,11.025641025641,2,0,0,39
1,10,2014,18,392273,14,17,1,1.45833333333333,1,0.0625,0,48
1,10,2014,19,392274,10,10,1,1.23255813953488,1,0.0930232558139535,0,43
1,10,2014,20,392275,6,5,1,1.14285714285714,1,0.107142857142857,0,28
1,10,2014,21,392276,2,2,1,0.833333333333333,1,0.166666666666667,0,12
1,10,2014,22,392277,0,0,1,1,1,0,0,7
1,10,2014,23,392278,0,0,1,1,1,0,0,6
2,10,2014,0,392279,0,0,1,1,1,0,0,6
2,10,2014,1,392280,0,0,1,1,1,0,0,6
2,10,2014,2,392281,0,0,1,1,1,0,0,6
2,10,2014,3,392282,0,0,1,1,1,0,0,6
2,10,2014,4,392283,1,1,1,0.888888888888889,1,0.111111111111111,0,9
2,10,2014,5,392284,2,0,2,1.71428571428571,3,0,0,7
2,10,2014,6,392285,14,0,8,9.11764705882353,18,0,0,17
2,10,2014,7,392286,10,2,28,26.9473684210526,29,0,0,19
