"day","month","year","hour","houred","totinc","totdecr","medbikes","meanbikes","lastbikes","propempty","propfull","count"
26,9,2014,10,392145,0,0,11,11,11,0,0,1
26,9,2014,11,392146,5,8,9,8.73913043478261,7,0,0,23
26,9,2014,12,392147,7,7,5,5,6,0,0,19
26,9,2014,13,392148,4,3,4,4.22222222222222,6,0,0,18
26,9,2014,14,392149,2,3,6.5,6.33333333333333,5,0,0,12
26,9,2014,15,392150,4,5,5,4.8,4,0,0,15
26,9,2014,16,392151,5,6,2,2.125,2,0.0625,0,16
26,9,2014,17,392152,5,3,4,3.58333333333333,4,0,0,12
26,9,2014,18,392153,1,4,1.5,1.83333333333333,1,0.166666666666667,0,12
26,9,2014,19,392154,3,1,3,3,4,0,0,8
26,9,2014,20,392155,1,0,5,4.57142857142857,5,0,0,7
26,9,2014,21,392156,2,1,6,6,6,0,0,8
26,9,2014,22,392157,1,3,6,5.66666666666667,4,0,0,9
26,9,2014,23,392158,0,4,2,1.7,0,0.4,0,10
27,9,2014,0,392159,0,0,0,0,0,1,0,6
27,9,2014,1,392160,0,0,0,0,0,1,0,6
27,9,2014,2,392161,0,0,0,0,0,1,0,6
27,9,2014,3,392162,0,0,0,0,0,1,0,6
27,9,2014,4,392163,0,0,0,0,0,1,0,6
27,9,2014,5,392164,0,0,0,0,0,1,0,6
27,9,2014,6,392165,5,0,0.5,1.5,5,0.5,0,10
27,9,2014,7,392166,1,1,6,5.57142857142857,5,0,0,7
27,9,2014,8,392167,1,0,6,5.66666666666667,6,0,0,6
27,9,2014,9,392168,1,0,7,6.66666666666667,7,0,0,6
27,9,2014,10,392169,2,2,8,8.13333333333333,7,0,0,15
27,9,2014,11,392170,2,2,7,7.22222222222222,7,0,0,9
27,9,2014,12,392171,3,2,7,7.72727272727273,8,0,0,11
27,9,2014,13,392172,3,2,9,9.2,9,0,0,10
27,9,2014,14,392173,3,1,11,10.75,11,0,0.125,8
27,9,2014,15,392174,1,4,8,8.2,8,0,0,10
27,9,2014,16,392175,2,5,6,6.35714285714286,5,0,0,14
27,9,2014,17,392176,3,0,7,6.85714285714286,8,0,0,7
27,9,2014,18,392177,2,3,7,7.2,7,0,0,10
27,9,2014,19,392178,4,2,10.5,10.4166666666667,10,0,0.25,12
27,9,2014,20,392179,3,2,10,10.0909090909091,11,0,0,11
27,9,2014,21,392180,0,0,12,12,12,0,1,6
27,9,2014,22,392181,0,1,12,11.7142857142857,11,0,0.714285714285714,7
27,9,2014,23,392182,0,1,10,10.4285714285714,10,0,0,7
28,9,2014,0,392183,0,1,10,9.875,9,0,0,8
28,9,2014,1,392184,1,1,9,8.75,9,0,0,8
28,9,2014,2,392185,0,3,7,6.9,6,0,0,10
28,9,2014,3,392186,0,0,6,6,6,0,0,6
28,9,2014,4,392187,0,0,6,6,6,0,0,6
28,9,2014,5,392188,0,0,6,6,6,0,0,6
28,9,2014,6,392189,0,0,6,6,6,0,0,6
28,9,2014,7,392190,0,0,6,6,6,0,0,6
28,9,2014,8,392191,0,1,5,5.16666666666667,5,0,0,6
28,9,2014,9,392192,2,1,5,5,6,0,0,6
28,9,2014,10,392193,1,2,6,5.375,5,0,0,8
28,9,2014,11,392194,0,2,4,3.85714285714286,3,0,0,7
28,9,2014,12,392195,0,0,3,3,3,0,0,6
28,9,2014,13,392196,7,5,4,4.3125,5,0,0,16
28,9,2014,14,392197,0,2,4,4,3,0,0,8
28,9,2014,15,392198,2,3,3,2.8,2,0,0,10
28,9,2014,16,392199,1,0,2,2.28571428571429,3,0,0,7
28,9,2014,17,392200,3,4,4,3.75,2,0,0,12
28,9,2014,18,392201,4,2,1,1.88888888888889,4,0,0,9
28,9,2014,19,392202,0,0,4,4,4,0,0,6
28,9,2014,20,392203,1,2,4,3.55555555555556,3,0,0,9
28,9,2014,21,392204,0,0,3,3,3,0,0,6
28,9,2014,22,392205,0,2,3,2.25,1,0,0,8
28,9,2014,23,392206,0,0,1,1,1,0,0,5
