ID,NAME,LAT,LONG,POPULATION
1,Amiens,49.894066,2.295753,132874
2,Besancon,47.241268,6.025530,116676
3,Bruxelles-Capitale,50.850346,4.351721, 1199000
4,Cergy-Pontoise,49.048851,2.092940,204248
5,Creteil,48.78333,2.46667,90739
6,Dublin,53.349804,-6.260310,544107 
7,Goteborg,57.696991,11.986500,572779
8,Kazan,40.205166,32.681183,1169000
9,Lillestrom,59.955971,11.050379,46146
10,Ljubljana,46.056946,14.505752,279631
11,Luxembourg,49.611622,6.131935,590667
12,Lyon,45.764042,4.835659,513275
13,Marseille,43.296482,5.369780,861635
14,Mulhouse,47.749531,7.339750,110370
15,Namur,50.467388,4.871985,110175
16,Nancy,48.68439,6.18496,105162
17,Nantes,47.218372,-1.553621,303382
18,Paris,48.856613,2.352222,2141000
19,Rouen,49.443233,1.099971,110169
20,Santander,43.46472,-3.80444,172044
21,Seville,37.389091,-5.984459,690000
22,Stockholm,59.329323,18.068581,965232
24,Toulouse,43.604652,1.444209,471941
25,Toyama,36.695953,137.213684,418686
26,Valence,39.470242,-0.376800,789.004
27,Vilnius,54.687157,25.279652,544386 

