"houred","clouds_all","cod","coord_lat","coord_lon","dt","id","main_humidity","main_pressure","main_temp","main_temp_max","main_temp_min","sys_sunrise","sys_sunset","weather_id","wind_deg","wind_speed","rain_1h","rain_3h","snow_1h","snow_3h","day","month","year","hour","base","sys_country","weather_description","weather_icon","weather_main"
392145,90,200,57.7,11.98,1411724100,2689287,93,1008,287.13,288.15,286.15,1411707986,1411750805,701,200,6.7,0,0,0,0,26,9,2014,10,"cmc stations","SE","mist","50d","Mist"
392146,90,200,57.7,11.98,1411728150,3671892.25,93,1008,288.005,289.15,286.9,1411707986,1411750805,601,217.5,7.575,0,0,0,0,26,9,2014,11,"cmc stations","SE","mist","50d","Mist"
392147,90,200,57.7,11.98,1411732200,2687035.33333333,87,1008,288.13,289.15,287.15,1411707986,1411750805,701,230,7.7,0,0,0,0,26,9,2014,12,"cmc stations","SE","mist","50d","Mist"
392148,90,200,57.7,11.98,1411735800,2691459,87,1007,288.13,289.15,287.15,1411707986,1411750805,501,250,6.7,0,0,0,0,26,9,2014,13,"cmc stations","SE","moderate rain","10d","Rain"
392149,75,200,57.7,11.98,1411738050,2690373,82,1007,288.13,289.15,287.15,1411707986,1411750805,803,240,6.825,0,0,0,0,26,9,2014,14,"cmc stations","SE","broken clouds","04d","Clouds"
392150,90,200,57.7,11.98,1411741200,2689227.25,87,1007,287.64,288.15,287.15,1411707986,1411750805,804,250,7.7,0,0,0,0,26,9,2014,15,"cmc stations","SE","overcast clouds","04d","Clouds"
392151,75,200,57.7,11.98,1411744800,2687035.33333333,77,1008,287.13,288.15,286.15,1411707986,1411750805,803,250,9.3,0,0,0,0,26,9,2014,16,"cmc stations","SE","broken clouds","04d","Clouds"
392152,0,200,57.7,11.98,1411748400,2689287,71,1008,286.13,287.15,285.15,1411707986,1411750805,800,250,8.2,0,0,0,0,26,9,2014,17,"cmc stations","SE","Sky is Clear","01d","Clear"
392153,0,200,57.7,11.98,1411752900,2687598.25,69,1009,286.19,287.15,285.15,1411707986,1411750805,800,265,9,0,0,0,0,26,9,2014,18,"cmc stations","SE","Sky is Clear","01n","Clear"
392154,0,200,57.7,11.98,1411755960,2682532,62,1010,286.1,287.15,285.15,1411707986,1411750805,800,270,9.3,0,0,0,0,26,9,2014,19,"cmc stations","SE","Sky is Clear","01n","Clear"
392155,5,200,57.7,11.98,1411759650,2684763.75,59,1011,286.0025,287.15,284.9,1411707986,1411750805,800.25,272.5,9.775,0,0,0,0,26,9,2014,20,"cmc stations","SE","Sky is Clear","01n","Clear"
392156,20,200,57.7,11.98,1411763400,2684783.66666667,58,1012,285.623333333333,287.15,284.15,1411707986,1411750805,801,280,10.6333333333333,0,0,0,0,26,9,2014,21,"cmc stations","SE","few clouds","02n","Clouds"
392157,20,200,57.7,11.98,1411767300,2685909.5,62,1012,285.625,287.15,284.15,1411707986,1411750805,801,270,10.55,0,0,0,0,26,9,2014,22,"cmc stations","SE","few clouds","02n","Clouds"
392158,20,200,57.7,11.98,1411770900,2691459,60,1013,286.13,287.15,285.15,1411707986,1411750805,801,270,10.3,0,0,0,0,26,9,2014,23,"cmc stations","SE","few clouds","02n","Clouds"
392159,40,200,57.7,11.98,1411773600,2689287,62,1013,285.6225,287.15,284.15,1411707986,1411750805,802,270,11.3,0,0,0,0,27,9,2014,0,"cmc stations","SE","scattered clouds","03n","Clouds"
392160,0,200,57.7,11.98,1411777650,2697034.5,66,1013,285.5125,286.15,284.9,1411794513,1411837037,800,270,10.425,0,0,0,0,27,9,2014,1,"cmc stations","SE","Sky is Clear","01n","Clear"
392162,20,200,57.7,11.98,1411784400,2682532,62,1014,286.13,287.15,285.15,1411794513,1411837037,801,270,10.3,0,0,0,0,27,9,2014,3,"cmc stations","SE","few clouds","02n","Clouds"
392163,10,200,57.7,11.98,1411788900,2700412,64.5,1014,285.88,287.15,284.65,1411794513,1411837037,800.5,270,10.55,0,0,0,0,27,9,2014,4,"cmc stations","SE","Sky is Clear","01n","Clear"
392164,20,200,57.7,11.98,1411792200,2687035.33333333,68.3333333333333,1014.33333333333,285.46,286.816666666667,284.15,1411794513,1411837037,801,270,9.43333333333333,0,0,0,0,27,9,2014,5,"cmc stations","SE","few clouds","02n","Clouds"
392165,20,200,57.7,11.98,1411796100,2689287,69,1015,285.63,286.65,284.65,1411794513,1411837037,801,270,10.3,0,0,0,0,27,9,2014,6,"cmc stations","SE","few clouds","02d","Clouds"
392166,10,200,57.7,11.98,1411799700,2682532,67,1015,286.13,287.15,285.15,1411794513,1411837037,800.5,265,9.8,0,0,0,0,27,9,2014,7,"cmc stations","SE","few clouds","02d","Clouds"
392167,20,200,57.7,11.98,1411803300,2700412,66.5,1016.5,286.665,287.15,286.15,1411794513,1411837037,801,265,8.75,0,0,0,0,27,9,2014,8,"cmc stations","SE","few clouds","02d","Clouds"
392168,35,200,57.7,11.98,1411807350,2689830,65.75,1017,287.13,288.15,286.15,1411794513,1411837037,801.75,267.5,9.55,0,0,0,0,27,9,2014,9,"cmc stations","SE","scattered clouds","03d","Clouds"
392169,40,200,57.7,11.98,1411809600,2689287,67,1018,287.13,288.15,286.15,1411794513,1411837037,802,270,9.3,0,0,0,0,27,9,2014,10,"cmc stations","SE","scattered clouds","03d","Clouds"
392170,63.3333333333333,200,57.7,11.98,1411813800,2687759.33333333,69.6666666666667,1019,287.543333333333,288.483333333333,286.483333333333,1411794513,1411837037,802.666666666667,260,7.7,0,0,0,0,27,9,2014,11,"cmc stations","SE","broken clouds","04d","Clouds"
392171,40,200,57.7,11.98,1411817700,2690373,69.5,1019,287.38,288.65,286.15,1411794513,1411837037,802,260,7.95,0,0,0,0,27,9,2014,12,"cmc stations","SE","scattered clouds","03d","Clouds"
392172,20,200,57.7,11.98,1411822200,2682532,67,1019,288.13,289.15,287.15,1411794513,1411837037,801,260,9.3,0,0,0,0,27,9,2014,13,"cmc stations","SE","few clouds","02d","Clouds"
392173,33.3333333333333,200,57.7,11.98,1411825200,3996166,70.3333333333333,1019,287.803333333333,288.483333333333,287.15,1411794513,1411837037,801.666666666667,260,7.36666666666667,0,0,0,0,27,9,2014,14,"cmc stations","SE","scattered clouds","03d","Clouds"
392174,75,200,57.7,11.98,1411829400,2682532,72,1020,287.13,288.15,286.15,1411794513,1411837037,803,250,7.7,0,0,0,0,27,9,2014,15,"cmc stations","SE","broken clouds","04d","Clouds"
392175,75,200,57.7,11.98,1411831200,2682532,77,1020,287.13,288.15,286.15,1411794513,1411837037,803,260,6.7,0,0,0,0,27,9,2014,16,"cmc stations","SE","broken clouds","04d","Clouds"
392176,40,200,57.7,11.98,1411835700,2689830,76,1019.5,286.64,287.15,286.15,1411794513,1411837037,802,255,7.2,0,0,0,0,27,9,2014,17,"cmc stations","SE","scattered clouds","03d","Clouds"
392177,20,200,57.7,11.98,1411840200,2689287,76,1020,286.13,287.15,285.15,1411794513,1411837037,801,250,7.2,0,0,0,0,27,9,2014,18,"cmc stations","SE","few clouds","02n","Clouds"
392178,40,200,57.7,11.98,1411842000,2682532,76,1020,286.13,287.15,285.15,1411794513,1411837037,802,240,6.2,0,0,0,0,27,9,2014,19,"cmc stations","SE","scattered clouds","03n","Clouds"
392179,40,200,57.7,11.98,1411845600,2689287,76,1020,286.13,287.15,285.15,1411794513,1411837037,802,250,7.2,0,0,0,0,27,9,2014,20,"cmc stations","SE","scattered clouds","03n","Clouds"
392180,30,200,57.7,11.98,1411850100,2689783.25,79,1020,285.625,287.15,284.15,1411794513,1411837037,801.5,255,5.65,0,0,0,0,27,9,2014,21,"cmc stations","SE","few clouds","02n","Clouds"
392181,75,200,57.7,11.98,1411853400,2692200.33333333,82,1020,285.796666666667,287.15,284.483333333333,1411794513,1411837037,803,250,7.03333333333333,0,0,0,0,27,9,2014,22,"cmc stations","SE","broken clouds","04n","Clouds"
392182,75,200,57.7,11.98,1411857300,2700412,82,1020,285.385,286.15,284.65,1411794513,1411837037,803,250,5.95,0,0,0,0,27,9,2014,23,"cmc stations","SE","broken clouds","04n","Clouds"
392183,75,200,57.7,11.98,1411860600,2704120.33333333,83.6666666666667,1020,285.17,286.15,284.15,1411823355.66667,1411865781,803,250,5.13333333333333,0,0,0,0,28,9,2014,0,"cmc stations","SE","broken clouds","04n","Clouds"
392184,75,200,57.7,11.98,1411865400,2689287,76,1020,285.625,287.15,284.15,1411881041,1411923269,803,250,5.7,0,0,0,0,28,9,2014,1,"cmc stations","SE","broken clouds","04n","Clouds"
392185,40,200,57.7,11.98,1411867200,2691459,82,1019,285.13,286.15,284.15,1411881041,1411923269,802,250,5.1,0,0,0,0,28,9,2014,2,"cmc stations","SE","scattered clouds","03n","Clouds"
392186,47.5,200,57.7,11.98,1411871700,2689287,76,1019,285.13,286.15,284.15,1411881041,1411923269,802,250,5.4,0,0,0,0,28,9,2014,3,"cmc stations","SE","few clouds","02n","Clouds"
392187,50,200,57.7,11.98,1411875000,2690011,82,1019,285.13,286.15,284.15,1411881041,1411923269,802,226.666666666667,4.96666666666667,0,0,0,0,28,9,2014,4,"cmc stations","SE","broken clouds","04n","Clouds"
392188,90,200,57.7,11.98,1411879800,2691459,82,1018,285.13,286.15,284.15,1411881041,1411923269,804,230,5.7,0,0,0,0,28,9,2014,5,"cmc stations","SE","overcast clouds","04n","Clouds"
392189,75,200,57.7,11.98,1411883400,2685909.5,82,1018,285.13,286.15,284.15,1411881041,1411923269,803,248.005,10.21,0,0,0,0,28,9,2014,6,"cmc stations","SE","broken clouds","04d","Clouds"
392190,40,200,57.7,11.98,1411885200,2685909.5,82,1018,285.13,286.15,284.15,1411881041,1411923269,802,230,5.7,0,0,0,0,28,9,2014,7,"cmc stations","SE","scattered clouds","03d","Clouds"
392191,0,200,57.7,11.98,1411890600,2689287,76,1018,286.13,287.15,285.15,1411881041,1411923269,800,220,5.1,0,0,0,0,28,9,2014,8,"cmc stations","SE","Sky is Clear","01d","Clear"
392192,0,200,57.7,11.98,1411893000,2684783.66666667,78,1019,286.64,287.15,286.15,1411881041,1411923269,800,230,5.5,0,0,0,0,28,9,2014,9,"cmc stations","SE","Sky is Clear","01d","Clear"
392193,30,200,57.7,11.98,1411896600,2688483.33333333,80,1019,286.64,287.15,286.15,1411881041,1411923269,801.333333333333,236.666666666667,4.6,0,0,0,0,28,9,2014,10,"cmc stations","SE","Sky is Clear","01d","Clear"
392194,85,200,57.7,11.98,1411900800,2690735,82,1019,286.966666666667,287.816666666667,286.15,1411881041,1411923269,803.666666666667,223.333333333333,4.26666666666667,0,0,0,0,28,9,2014,11,"cmc stations","SE","overcast clouds","04d","Clouds"
392195,82.5,200,57.7,11.98,1411904250,6619708,79.5,1019,287.365,288.65,286.15,1411881041,1411923269,803.5,230,5.9,0,0,0,0,28,9,2014,12,"cmc stations","SE","overcast clouds","04d","Clouds"
392196,66.25,200,57.7,11.98,1411908150,2691459,73.25,1019,287.88,288.9,286.9,1411881041,1411923269,802.75,255,5.375,0,0,0,0,28,9,2014,13,"cmc stations","SE","broken clouds","04d","Clouds"
392197,75,200,57.7,11.98,1411910400,2690011,77,1019,288.15,288.15,288.15,1411881041,1411923269,803,250,7.7,0,0,0,0,28,9,2014,14,"cmc stations","SE","broken clouds","04d","Clouds"
392198,80,200,57.7,11.98,1411914600,5316984.33333333,78.6666666666667,1019,287.47,288.15,286.816666666667,1411881041,1411923269,803.333333333333,253.333333333333,4.6,0,0,0,0,28,9,2014,15,"cmc stations","SE","broken clouds","04d","Clouds"
392199,75,200,57.7,11.98,1411919400,2682532,82,1019,287.13,288.15,286.15,1411881041,1411923269,803,240,4.1,0,0,0,0,28,9,2014,16,"cmc stations","SE","broken clouds","04d","Clouds"
392200,75,200,57.7,11.98,1411922400,2689287,85.3333333333333,1019,287.213333333333,288.15,286.15,1411881041,1411923269,803,240,4.93333333333333,0,0,0,0,28,9,2014,17,"cmc stations","SE","broken clouds","04d","Clouds"
392201,90,200,57.7,11.98,1411926600,2689287,82,1019,286.62,288.15,285.15,1411881041,1411923269,804,230,3.1,0,0,0,0,28,9,2014,18,"cmc stations","SE","overcast clouds","04n","Clouds"
392202,90,200,57.7,11.98,1411929300,2685909.5,82,1019,287.13,288.15,286.15,1411881041,1411923269,804,240,4.35,0,0,0,0,28,9,2014,19,"cmc stations","SE","overcast clouds","04n","Clouds"
392203,40,200,57.7,11.98,1411932000,2682532,87,1019,287.25,288.15,286.15,1411881041,1411923269,802,240,4.6,0,0,0,0,28,9,2014,20,"cmc stations","SE","scattered clouds","03n","Clouds"
392204,90,200,57.7,11.98,1411935600,2691459,82,1019,287.13,288.15,286.15,1411881041,1411923269,804,230,2.6,0,0,0,0,28,9,2014,21,"cmc stations","SE","overcast clouds","04n","Clouds"
