"houred","clouds_all","cod","coord_lat","coord_lon","dt","id","main_humidity","main_pressure","main_temp","main_temp_max","main_temp_min","sys_sunrise","sys_sunset","weather_id","wind_deg","wind_speed","rain_1h","rain_3h","snow_1h","snow_3h","day","month","year","hour","base","sys_country","weather_description","weather_icon","weather_main"
392145,75,200,59.96,11.04,1411725000,3147465,76,999,286.15,286.15,286.15,1411708239,1411751003,803,210,5.1,0,0,0,0,26,9,2014,10,"cmc stations","NO","broken clouds","04d","Clouds"
392146,75,200,59.96,11.04,1411728085.71429,3152610.71428571,77.7142857142857,998,286.864285714286,286.864285714286,286.864285714286,1411708239,1411751003,803,210,4.6,0,0,0,0,26,9,2014,11,"cmc stations","NO","broken clouds","04d","Clouds"
392148,57.5,200,59.96,11.04,1411734900,3138360,82,997.5,287.65,287.65,287.65,1411708239,1411751003,651,225,6.2,0,0,0,0,26,9,2014,13,"cmc stations","NO","light rain","10d","Rain"
392149,40,200,59.96,11.04,1411737600,3147465,59,997,289.15,289.15,289.15,1411708239,1411751003,802,240,6.2,0,0,0,0,26,9,2014,14,"cmc stations","NO","scattered clouds","03d","Clouds"
392150,0,200,59.96,11.04,1411742100,3147465,44.5,998.5,288.65,288.65,288.65,1411708239,1411751003,800,260,6.2,0,0,0,0,26,9,2014,15,"cmc stations","NO","Sky is Clear","01d","Clear"
392151,0,200,59.96,11.04,1411744800,3138360,53,1000,287.15,287.15,287.15,1411708239,1411751003,800,260,5.1,0,0,0,0,26,9,2014,16,"cmc stations","NO","Sky is Clear","01d","Clear"
392152,0,200,59.96,11.04,1411749120,3142002,37,1000.4,286.15,286.15,286.15,1411708239,1411751003,800,244,3.6,0,0,0,0,26,9,2014,17,"cmc stations","NO","Sky is Clear","01d","Clear"
392153,0,200,59.96,11.04,1411752900,3156470,41.5,1001.5,284.65,284.65,284.65,1411708239,1411751003,800,255,3.85,0,0,0,0,26,9,2014,18,"cmc stations","NO","Sky is Clear","01n","Clear"
392154,0,200,59.96,11.04,1411755600,3147854,52,1002,283.15,283.15,283.15,1411708239,1411751003,800,220,6.2,0,0,0,0,26,9,2014,19,"cmc stations","NO","Sky is Clear","01n","Clear"
392155,0,200,59.96,11.04,1411759200,3147465,55,1002,283.15,283.15,283.15,1411708239,1411751003,800,240,7.2,0,0,0,0,26,9,2014,20,"cmc stations","NO","Sky is Clear","01n","Clear"
