"houred","clouds_all","cod","coord_lat","coord_lon","dt","id","main_humidity","main_pressure","main_temp","main_temp_max","main_temp_min","sys_sunrise","sys_sunset","weather_id","wind_deg","wind_speed","rain_1h","rain_3h","snow_1h","snow_3h","day","month","year","hour","base","sys_country","weather_description","weather_icon","weather_main"
392145,0,200,45.76,4.84,1411723815,6454573,76,1027,286.8,288.75,286.15,1411709589,1411752628,800,30,2.6,0,0,0,0,26,9,2014,10,"cmc stations","FR","Sky is Clear","01d","Clear"
392146,0,200,45.76,4.84,1411727474.8,6392130,71.8,1026.8,288.456,289.63,287.35,1411709589,1411752628,800,90,2.8,0,0,0,0,26,9,2014,11,"cmc stations","FR","Sky is Clear","01d","Clear"
392147,0,200,45.76,4.84,1411732515,6454573,55,1026,290.87,292.15,290.15,1411709589,1411752628,800,10,3.6,0,0,0,0,26,9,2014,12,"cmc stations","FR","Sky is Clear","01d","Clear"
392148,0,200,45.76,4.84,1411734615,6349491.66666667,53,1026,291.32,292.15,290.816666666667,1411709589,1411752628,800,3.33333333333333,2.93333333333333,0,0,0,0,26,9,2014,13,"cmc stations","FR","Sky is Clear","01d","Clear"
392149,0,200,45.76,4.84,1411738275.6,5081827.2,49.6,1025.2,292.12,292.95,291.75,1411709589,1411752628,800,22,2.6,0,0,0,0,26,9,2014,14,"cmc stations","FR","Sky is Clear","01d","Clear"
392150,0,200,45.76,4.84,1411741209.33333,7495228.33333333,47,1025,292.84,293.816666666667,292.15,1411709589,1411752628,800,243.333333333333,3.1,0,0,0,0,26,9,2014,15,"cmc stations","FR","Sky is Clear","01d","Clear"
392151,0,200,45.76,4.84,1411745814.66667,3018823,46,1024,292.85,294.15,291.816666666667,1411709589,1411752628,800,140,3.6,0,0,0,0,26,9,2014,16,"cmc stations","FR","Sky is Clear","01d","Clear"
392152,0,200,45.76,4.84,1411749165.5,2997277.25,43.5,1024.25,292.6325,293.9,291.15,1411709589,1411752628,800,275,3.1,0,0,0,0,26,9,2014,17,"cmc stations","FR","Sky is Clear","01d","Clear"
392153,0,200,45.76,4.84,1411752716,6342685.33333333,47.3333333333333,1024.33333333333,291.676666666667,292.816666666667,289.816666666667,1411709589,1411752628,800,10,3.93333333333333,0,0,0,0,26,9,2014,18,"cmc stations","FR","Sky is Clear","01d","Clear"
392154,0,200,45.76,4.84,1411756066.5,5116004.25,57,1025,290.0925,291.6,287.65,1411709589,1411752628,800,10,2.1,0,0,0,0,26,9,2014,19,"cmc stations","FR","Sky is Clear","01n","Clear"
392155,0,200,45.76,4.84,1411759615.66667,4148203.66666667,59,1025,289.51,291.116666666667,287.15,1411709589,1411752628,800,10,2.1,0,0,0,0,26,9,2014,20,"cmc stations","FR","Sky is Clear","01n","Clear"
392156,0,200,45.76,4.84,1411763414.66667,5312747.33333333,64.3333333333333,1025,287.19,290.45,284.15,1411709589,1411752628,800,333.333333333333,1.9,0,0,0,0,26,9,2014,21,"cmc stations","FR","Sky is Clear","01n","Clear"
392157,6,200,45.76,4.84,1411767464.5,4738151,67,1025,286.05,290.15,283.15,1411709589,1411752628,800.5,340,2.1,0,0,0,0,26,9,2014,22,"cmc stations","FR","few clouds","02n","Clouds"
392158,0,200,45.76,4.84,1411770614,8015556,71,1025,285.72,289.65,283.15,1411709589,1411752628,800,330,1.5,0,0,0,0,26,9,2014,23,"cmc stations","FR","Sky is Clear","01n","Clear"
392159,0,200,45.76,4.84,1411774070,5522326,78.5,1025,284.87,289.45,282.15,1411709589,1411752628,750.5,136.7505,0.855,0,0,0,0,27,9,2014,0,"cmc stations","FR","Sky is Clear","01n","Clear"
392160,0,200,45.76,4.84,1411778014.66667,5830619.33333333,85,1025,284.183333333333,289.383333333333,281.15,1411796065,1411838911,800,133.333333333333,0.833333333333333,0,0,0,0,27,9,2014,1,"cmc stations","FR","Sky is Clear","01n","Clear"
392161,0,200,45.76,4.84,1411781515.33333,4159262,87,1025,283.903333333333,289.05,281.15,1411796065,1411838911,767,190,1,0,0,0,0,27,9,2014,2,"cmc stations","FR","Sky is Clear","01n","Clear"
392162,0,200,45.76,4.84,1411785915,3024744,87,1025,282.93,288.75,280.15,1411796065,1411838911,800,140,1,0,0,0,0,27,9,2014,3,"cmc stations","FR","Sky is Clear","01n","Clear"
392163,0,200,45.76,4.84,1411789214,3029096,87,1025,282.85,288.35,280.15,1411796065,1411838911,741,288.5,1.2,0,0,0,0,27,9,2014,4,"cmc stations","FR","fog","50n","Fog"
392164,0,200,45.76,4.84,1411792515.5,7233157,93,1025,282.45,287.85,280.15,1411796065,1411838911,721,223.7505,0.83,0,0,0,0,27,9,2014,5,"cmc stations","FR","fog","50n","Fog"
392165,0,200,45.76,4.84,1411795664.5,7233157,87,1025,282.27,286.95,279.65,1411796065,1411838911,741,155,1,0,0,0,0,27,9,2014,6,"cmc stations","FR","fog","50n","Fog"
392166,0,200,45.76,4.84,1411798589.5,5586446.5,87,1025,282.0525,287.2,279.15,1411796065,1411838911,741,0,0.5,0,0,0,0,27,9,2014,7,"cmc stations","FR","fog","50d","Fog"
392167,0,200,45.76,4.84,1411803115,6970642.33333333,85,1026,284.276666666667,287.916666666667,281.483333333333,1411796065,1411838911,800,106.000666666667,1.32,0,0,0,0,27,9,2014,8,"cmc stations","FR","Sky is Clear","01d","Clear"
392168,0,200,45.76,4.84,1411807065,8015556,69,1026,287.325,289.05,285.15,1411796065,1411838911,800,159.001,1.73,0,0,0,0,27,9,2014,9,"cmc stations","FR","Sky is Clear","01d","Clear"
392169,0,200,45.76,4.84,1411810817.66667,8015556,61.6666666666667,1026,289.83,290.683333333333,289.083333333333,1411796065,1411838911,800,53.0003333333333,1.24333333333333,0,0,0,0,27,9,2014,10,"cmc stations","FR","Sky is Clear","01d","Clear"
392170,0,200,45.76,4.84,1411813065,2996944,59,1026,290.47,291.15,290.15,1411796065,1411838911,800,0,1,0,0,0,0,27,9,2014,11,"cmc stations","FR","Sky is Clear","01d","Clear"
392171,0,200,45.76,4.84,1411816818.33333,4678076.33333333,54,1026,291.91,292.483333333333,291.183333333333,1411796065,1411838911,800,0,0.666666666666667,0,0,0,0,27,9,2014,12,"cmc stations","FR","Sky is Clear","01d","Clear"
392172,0,200,45.76,4.84,1411821515.33333,5830619.33333333,52,1025,293.51,294.15,291.816666666667,1411796065,1411838911,800,0,1.5,0,0,0,0,27,9,2014,13,"cmc stations","FR","Sky is Clear","01d","Clear"
392173,0,200,45.76,4.84,1411825814,6454573,49,1024,295.2,296.15,292.15,1411796065,1411838911,800,0,1,0,0,0,0,27,9,2014,14,"cmc stations","FR","Sky is Clear","01d","Clear"
392174,3.2,200,45.76,4.84,1411827855,8015556,48.2,1024,295.898,298.15,292.21,1411796065,1411838911,800,40,1.74,0,0,0,0,27,9,2014,15,"cmc stations","FR","Sky is Clear","01d","Clear"
392175,8,200,45.76,4.84,1411832115,3029096,47,1024,296.34,298.15,292.45,1411796065,1411838911,800,100,2.1,0,0,0,0,27,9,2014,16,"cmc stations","FR","sky is clear","02d","Clear"
392176,8,200,45.76,4.84,1411835264.75,4722854.25,47.75,1023.25,295.91,297.4,292.225,1411796065,1411838911,800,115,1.95,0,0,0,0,27,9,2014,17,"cmc stations","FR","sky is clear","02d","Clear"
392177,12,200,45.76,4.84,1411837814,8015556,50,1023,295.39,297.15,292.05,1411796065,1411838911,801,150,2.1,0,0,0,0,27,9,2014,18,"cmc stations","FR","few clouds","02d","Clouds"
