"houred","clouds_all","cod","coord_lat","coord_lon","dt","id","main_humidity","main_pressure","main_temp","main_temp_max","main_temp_min","sys_sunrise","sys_sunset","weather_id","wind_deg","wind_speed","rain_1h","rain_3h","snow_1h","snow_3h","day","month","year","hour","base","sys_country","weather_description","weather_icon","weather_main"
392145,0,200,47.74,7.34,1411723800,4731487,67,1026,288.15,288.15,288.15,1411709005,1411752013,800,0,1.5,0,0,0,0,26,9,2014,10,"cmc stations","FR","Sky is Clear","01d","Clear"
392146,0,200,47.74,7.34,1411725600,6441541,63,1026,289.15,289.15,289.15,1411709005,1411752013,800,0,1,0,0,0,0,26,9,2014,11,"cmc stations","FR","Sky is Clear","01d","Clear"
392147,20,200,47.74,7.34,1411730280,6441541,52.4,1026,291.75,291.75,291.75,1411709005,1411752013,801,0,0.5,0,0,0,0,26,9,2014,12,"cmc stations","FR","few clouds","02d","Clouds"
392148,20,200,47.74,7.34,1411734000,5301457.83333333,48,1025.33333333333,292.15,292.15,292.15,1411709005,1411752013,801,236.666666666667,1.5,0,0,0,0,26,9,2014,13,"cmc stations","FR","few clouds","02d","Clouds"
392149,0,200,47.74,7.34,1411738200,6441541,45,1025,293.15,293.15,293.15,1411709005,1411752013,800,0,1.5,0,0,0,0,26,9,2014,14,"cmc stations","FR","Sky is Clear","01d","Clear"
392150,0,200,47.74,7.34,1411740000,6441541,45,1025,293.15,293.15,293.15,1411709005,1411752013,800,10,1.5,0,0,0,0,26,9,2014,15,"cmc stations","FR","Sky is Clear","01d","Clear"
392151,0,200,47.74,7.34,1411744050,6441576.75,45.75,1025,292.9,292.9,292.9,1411709005,1411752013,800,10,2.725,0,0,0,0,26,9,2014,16,"cmc stations","FR","Sky is Clear","01d","Clear"
392152,0,200,47.74,7.34,1411748400,4155743.66666667,54,1025,291.483333333333,291.483333333333,291.483333333333,1411709005,1411752013,800,243.333333333333,2.76666666666667,0,0,0,0,26,9,2014,17,"cmc stations","FR","Sky is Clear","01d","Clear"
392153,0,200,47.74,7.34,1411752000,6441539.66666667,71.6666666666667,1025,287.816666666667,287.816666666667,287.816666666667,1411709005,1411752013,800,320,2.26666666666667,0,0,0,0,26,9,2014,18,"cmc stations","FR","Sky is Clear","01n","Clear"
392154,0,200,47.74,7.34,1411754400,5588592.25,81,1026,285.15,285.15,285.15,1411709005,1411752013,800,270,1.5,0,0,0,0,26,9,2014,19,"cmc stations","FR","Sky is Clear","01n","Clear"
392155,0,200,47.74,7.34,1411758000,6441537,87,1026,284.15,284.15,284.15,1411709005,1411752013,800,0,1,0,0,0,0,26,9,2014,20,"cmc stations","FR","Sky is Clear","01n","Clear"
392156,0,200,47.74,7.34,1411762320,6441539.4,89.4,1027,282.75,282.75,282.75,1411709005,1411752013,800,156,1,0,0,0,0,26,9,2014,21,"cmc stations","FR","Sky is Clear","01n","Clear"
392157,6.66666666666667,200,47.74,7.34,1411765800,6441636.33333333,93,1027,282.15,282.15,282.15,1411709005,1411752013,800.333333333333,16.8333333333333,1.05333333333333,0,0,0,0,26,9,2014,22,"cmc stations","FR","Sky is Clear","01n","Clear"
392158,0,200,47.74,7.34,1411769700,6441538,93,1027,281.15,281.15,281.15,1411709005,1411752013,800,245,0.5,0,0,0,0,26,9,2014,23,"cmc stations","FR","Sky is Clear","01n","Clear"
392159,0,200,47.74,7.34,1411774200,6441539,93,1027,281.15,281.15,281.15,1411795487,1411838290,800,230,1.5,0,0,0,0,27,9,2014,0,"cmc stations","FR","Sky is Clear","01n","Clear"
392160,0,200,47.74,7.34,1411776000,6441612.5,100,1027,280.15,280.15,280.15,1411795487,1411838290,800,260,1,0,0,0,0,27,9,2014,1,"cmc stations","FR","Sky is Clear","01n","Clear"
392161,13.3333333333333,200,47.74,7.34,1411780200,5304274.66666667,100,1027,280.15,280.15,280.15,1411795487,1411838290,800.666666666667,213.333333333333,1.5,0,0,0,0,27,9,2014,2,"cmc stations","FR","few clouds","02n","Clouds"
392162,0,200,47.74,7.34,1411785000,6441541,93,1027,280.15,280.15,280.15,1411795487,1411838290,800,99.5001,1.11,0,0,0,0,27,9,2014,3,"cmc stations","FR","Sky is Clear","01n","Clear"
392163,0,200,47.74,7.34,1411788000,6441541,93,1026,279.483333333333,279.483333333333,279.483333333333,1411795487,1411838290,800,206.500033333333,1.03666666666667,0,0,0,0,27,9,2014,4,"cmc stations","FR","Sky is Clear","01n","Clear"
392164,0,200,47.74,7.34,1411790400,6441541,93,1026,280.15,280.15,280.15,1411795487,1411838290,800,0,0.5,0,0,0,0,27,9,2014,5,"cmc stations","FR","Sky is Clear","01n","Clear"
392165,30,200,47.74,7.34,1411794900,4735641.5,100,1026.5,279.15,279.15,279.15,1411795487,1411838290,801.5,165.5035,1.625,0,0,0,0,27,9,2014,6,"cmc stations","FR","few clouds","02n","Clouds"
392166,33.3333333333333,200,47.74,7.34,1411798200,5298690,93,1027,280.816666666667,280.816666666667,280.816666666667,1411795487,1411838290,801.666666666667,101.007,1.15,0,0,0,0,27,9,2014,7,"cmc stations","FR","scattered clouds","03d","Clouds"
392167,0,200,47.74,7.34,1411803000,6441537,87,1027,284.15,284.15,284.15,1411795487,1411838290,800,0,1,0,0,0,0,27,9,2014,8,"cmc stations","FR","Sky is Clear","01d","Clear"
392168,0,200,47.74,7.34,1411806600,2994288,76,1028,287.15,287.15,287.15,1411795487,1411838290,800,340,1,0,0,0,0,27,9,2014,9,"cmc stations","FR","Sky is Clear","01d","Clear"
392169,0,200,47.74,7.34,1411810200,4155743.66666667,67,1028,289.15,289.15,289.15,1411795487,1411838290,800,310,1.5,0,0,0,0,27,9,2014,10,"cmc stations","FR","Sky is Clear","01d","Clear"
392170,0,200,47.74,7.34,1411813800,3878469.5,63,1027,291.15,291.15,291.15,1411795487,1411838290,800,350,1.5,0,0,0,0,27,9,2014,11,"cmc stations","FR","Sky is Clear","01d","Clear"
392171,0,200,47.74,7.34,1411816200,5304273.33333333,61.6666666666667,1027,292.15,292.15,292.15,1411795487,1411838290,800,0,1.33333333333333,0,0,0,0,27,9,2014,12,"cmc stations","FR","Sky is Clear","01d","Clear"
392172,0,200,47.74,7.34,1411820400,4167009.66666667,60,1026.33333333333,293.15,293.15,293.15,1411795487,1411838290,800,123.333333333333,2.1,0,0,0,0,27,9,2014,13,"cmc stations","FR","Sky is Clear","01d","Clear"
392173,20,200,47.74,7.34,1411823700,6441541,56,1026,294.15,294.15,294.15,1411795487,1411838290,801,195,2.1,0,0,0,0,27,9,2014,14,"cmc stations","FR","Sky is Clear","01d","Clear"
392174,40,200,47.74,7.34,1411828200,6441541,52,1026,294.15,294.15,294.15,1411795487,1411838290,802,360,2.6,0,0,0,0,27,9,2014,15,"cmc stations","FR","scattered clouds","03d","Clouds"
392175,40,200,47.74,7.34,1411831800,6441541,52,1025,294.15,294.15,294.15,1411795487,1411838290,802,10,2.6,0,0,0,0,27,9,2014,16,"cmc stations","FR","scattered clouds","03d","Clouds"
392176,20,200,47.74,7.34,1411834500,6441541,58,1025,293.65,293.65,293.65,1411795487,1411838290,801,185,2.35,0,0,0,0,27,9,2014,17,"cmc stations","FR","scattered clouds","03d","Clouds"
392177,0,200,47.74,7.34,1411838100,6441541,70,1025,290.65,290.65,290.65,1411795487,1411838290,800,180,1.5,0,0,0,0,27,9,2014,18,"cmc stations","FR","Sky is Clear","01d","Clear"
392178,0,200,47.74,7.34,1411841250,3858591.5,83.25,1025,287.9,287.9,287.9,1411795487,1411838290,800,0,1,0,0,0,0,27,9,2014,19,"cmc stations","FR","Sky is Clear","01n","Clear"
392179,0,200,47.74,7.34,1411846200,4735643.5,87,1026,286.15,286.15,286.15,1411795487,1411838290,800,250,1,0,0,0,0,27,9,2014,20,"cmc stations","FR","Sky is Clear","01n","Clear"
392180,0,200,47.74,7.34,1411848450,3882694.75,93,1026,284.9,284.9,284.9,1411795487,1411838290,800,0,0.625,0,0,0,0,27,9,2014,21,"cmc stations","FR","Sky is Clear","01n","Clear"
392181,0,200,47.74,7.34,1411852200,6441539.66666667,95.3333333333333,1026,283.816666666667,283.816666666667,283.816666666667,1411795487,1411838290,800,246.666666666667,0.833333333333333,0,0,0,0,27,9,2014,22,"cmc stations","FR","Sky is Clear","01n","Clear"
392182,20,200,47.74,7.34,1411857000,6441541,93,1026,283.15,283.15,283.15,1411795487,1411838290,801,240,1,0,0,0,0,27,9,2014,23,"cmc stations","FR","few clouds","02n","Clouds"
392184,0,200,47.74,7.34,1411862850,6441648.25,94.75,1026,282.15,282.15,282.15,1411881970,1411924567,785.25,247.62525,1.045,0,0,0,0,28,9,2014,1,"cmc stations","FR","Sky is Clear","01n","Clear"
392185,8,200,47.74,7.34,1411867800,6441541,100,1025,281.15,281.15,281.15,1411881970,1411924567,701,250,1,0,0,0,0,28,9,2014,2,"cmc stations","FR","mist","50n","Mist"
392186,8,200,47.74,7.34,1411871400,6441541,93,1025,281.15,281.15,281.15,1411881970,1411924567,741,220,1,0,0,0,0,28,9,2014,3,"cmc stations","FR","fog","50n","Fog"
392187,8,200,47.74,7.34,1411875000,6441541,100,1025,281.15,281.15,281.15,1411881970,1411924567,741,180,1.5,0,0,0,0,28,9,2014,4,"cmc stations","FR","fog","50n","Fog"
392188,0,200,47.74,7.34,1411877700,4731489,96.5,1025,281.65,281.65,281.65,1411881970,1411924567,800,195,1.5,0,0,0,0,28,9,2014,5,"cmc stations","FR","Sky is Clear","01n","Clear"
392189,0,200,47.74,7.34,1411881300,6441612.5,96.5,1025,283.65,283.65,283.65,1411881970,1411924567,800,185,2.35,0,0,0,0,28,9,2014,6,"cmc stations","FR","Sky is Clear","01n","Clear"
392190,0,200,47.74,7.34,1411885350,6441574.75,93,1025,284.9,284.9,284.9,1411881970,1411924567,800,205,2.1,0,0,0,0,28,9,2014,7,"cmc stations","FR","Sky is Clear","01d","Clear"
392191,0,200,47.74,7.34,1411889400,6441537,87,1025,288.15,288.15,288.15,1411881970,1411924567,800,140,2.1,0,0,0,0,28,9,2014,8,"cmc stations","FR","Sky is Clear","01d","Clear"
392192,0,200,47.74,7.34,1411893000,6441539.66666667,72,1026,291.15,291.15,291.15,1411881970,1411924567,800,180,2.1,0,0,0,0,28,9,2014,9,"cmc stations","FR","Sky is Clear","01d","Clear"
392193,0,200,47.74,7.34,1411896600,4735643.5,72,1026,292.15,292.15,292.15,1411881970,1411924567,800,140,3.1,0,0,0,0,28,9,2014,10,"cmc stations","FR","Sky is Clear","01d","Clear"
392194,0,200,47.74,7.34,1411898400,6441541,64,1026,293.15,293.15,293.15,1411881970,1411924567,800,150,1.5,0,0,0,0,28,9,2014,11,"cmc stations","FR","Sky is Clear","01d","Clear"
392195,0,200,47.74,7.34,1411902900,4731487,58,1025.5,295.65,295.65,295.65,1411881970,1411924567,800,60,1.25,0,0,0,0,28,9,2014,12,"cmc stations","FR","Sky is Clear","01d","Clear"
392196,75,200,47.74,7.34,1411907400,4155742.33333333,50,1025,297.15,297.15,297.15,1411881970,1411924567,803,290,3.1,0,0,0,0,28,9,2014,13,"cmc stations","FR","broken clouds","04d","Clouds"
392197,75,200,47.74,7.34,1411910280,6441539.4,47,1024,297.55,297.55,297.55,1411881970,1411924567,803,192,2.4,0,0,0,0,28,9,2014,14,"cmc stations","FR","broken clouds","04d","Clouds"
392198,75,200,47.74,7.34,1411914600,3012845,44,1024,298.15,298.15,298.15,1411881970,1411924567,803,0,1.5,0,0,0,0,28,9,2014,15,"cmc stations","FR","broken clouds","04d","Clouds"
392199,75,200,47.74,7.34,1411916400,6441539,44,1024,298.15,298.15,298.15,1411881970,1411924567,803,0,1,0,0,0,0,28,9,2014,16,"cmc stations","FR","broken clouds","04d","Clouds"
392200,0,200,47.74,7.34,1411920900,6441541,50,1024,297.15,297.15,297.15,1411881970,1411924567,800,85,0.75,0,0,0,0,28,9,2014,17,"cmc stations","FR","Sky is Clear","01d","Clear"
392201,0,200,47.74,7.34,1411923600,6441537,64,1024,295.15,295.15,295.15,1411881970,1411924567,800,0,1,0,0,0,0,28,9,2014,18,"cmc stations","FR","Sky is Clear","01d","Clear"
392202,0,200,47.74,7.34,1411927200,3025591.5,87,1024,289.15,289.15,289.15,1411881970,1411924567,800,250,1.5,0,0,0,0,28,9,2014,19,"cmc stations","FR","Sky is Clear","01n","Clear"
392203,0,200,47.74,7.34,1411930800,5298642.33333333,87,1025,288.15,288.15,288.15,1411881970,1411924567,800,0,1,0,0,0,0,28,9,2014,20,"cmc stations","FR","Sky is Clear","01n","Clear"
392204,0,200,47.74,7.34,1411934400,4735643.5,87,1025,287.15,287.15,287.15,1411881970,1411924567,800,190,1.5,0,0,0,0,28,9,2014,21,"cmc stations","FR","Sky is Clear","01n","Clear"
392205,0,200,47.74,7.34,1411939800,6441541,87,1025,287.15,287.15,287.15,1411881970,1411924567,800,0,1,0,0,0,0,28,9,2014,22,"cmc stations","FR","Sky is Clear","01n","Clear"
392206,0,200,47.74,7.34,1411941600,6441541,93,1025,286.15,286.15,286.15,1411881970,1411924567,800,210,1.5,0,0,0,0,28,9,2014,23,"cmc stations","FR","Sky is Clear","01n","Clear"
392207,20,200,47.74,7.34,1411945200,6441537,93,1025,287.15,287.15,287.15,1411881970,1411924567,801,200,2.6,0,0,0,0,29,9,2014,0,"cmc stations","FR","few clouds","02n","Clouds"
392208,14,200,47.74,7.34,1411950150,5584366,93,1025,286.15,286.15,286.15,1411968453,1412010844,800.5,167.5,2.35,0,0,0,0,29,9,2014,1,"cmc stations","FR","few clouds","02n","Clouds"
392209,36,200,47.74,7.34,1411954200,4727191,93,1025,286.15,286.15,286.15,1411968453,1412010844,802,200,2.6,0,0,0,0,29,9,2014,2,"cmc stations","FR","scattered clouds","03n","Clouds"
392210,0,200,47.74,7.34,1411957800,6441684,93,1025,286.15,286.15,286.15,1411968453,1412010844,800,200,2.6,0,0,0,0,29,9,2014,3,"cmc stations","FR","Sky is Clear","01n","Clear"
