"houred","clouds_all","cod","coord_lat","coord_lon","dt","id","main_humidity","main_pressure","main_temp","main_temp_max","main_temp_min","sys_sunrise","sys_sunset","weather_id","wind_deg","wind_speed","rain_1h","rain_3h","snow_1h","snow_3h","day","month","year","hour","base","sys_country","weather_description","weather_icon","weather_main"
392145,0,200,48.7,6.18,1411723800,6454307,63,1027,288.77,290.15,288.15,1411709291,1411752283,800,0,0.5,0,0,0,0,26,9,2014,10,"cmc stations","FR","Sky is Clear","01d","Clear"
392146,0,200,48.7,6.18,1411726500,2986528,55.5,1027,289.96,290.65,289.65,1411709291,1411752283,800,170,2.05,0,0,0,0,26,9,2014,11,"cmc stations","FR","Sky is Clear","01d","Clear"
392147,0,200,48.7,6.18,1411730100,6454307,55,1026.5,290.625,291.15,290.15,1411709291,1411752283,800,295,2.85,0,0,0,0,26,9,2014,12,"cmc stations","FR","Sky is Clear","01d","Clear"
392148,0,200,48.7,6.18,1411732800,6448497.66666667,52,1026,291.46,292.15,291.15,1411709291,1411752283,800,0,1.5,0,0,0,0,26,9,2014,13,"cmc stations","FR","Sky is Clear","01d","Clear"
392149,0,200,48.7,6.18,1411737300,4715825,50.5,1026,292.115,292.65,291.65,1411709291,1411752283,800,320,2.1,0,0,0,0,26,9,2014,14,"cmc stations","FR","Sky is Clear","01d","Clear"
392150,0,200,48.7,6.18,1411740000,2994951,52,1026,292.45,293.15,292.15,1411709291,1411752283,800,0,1.5,0,0,0,0,26,9,2014,15,"cmc stations","FR","Sky is Clear","01d","Clear"
392151,0,200,48.7,6.18,1411744500,2994951,47.5,1025,292.611666666667,293.65,292.15,1411709291,1411752283,800,0,1.25,0,0,0,0,26,9,2014,16,"cmc stations","FR","Sky is Clear","01d","Clear"
392152,0,200,48.7,6.18,1411749000,4159735,52,1026,291.79,292.15,291.15,1411709291,1411752283,800,310,2.6,0,0,0,0,26,9,2014,17,"cmc stations","FR","Sky is Clear","01d","Clear"
392153,0,200,48.7,6.18,1411750800,2989553,55,1026,290.79,291.15,290.15,1411709291,1411752283,800,320,2.1,0,0,0,0,26,9,2014,18,"cmc stations","FR","Sky is Clear","01d","Clear"
392154,0,200,48.7,6.18,1411754400,4733378,67,1026,288.415,289.15,287.15,1411709291,1411752283,800,360,1,0,0,0,0,26,9,2014,19,"cmc stations","FR","Sky is Clear","01n","Clear"
392155,0,200,48.7,6.18,1411759800,6454307,82,1027,286.48,287.15,286.15,1411709291,1411752283,800,0,1,0,0,0,0,26,9,2014,20,"cmc stations","FR","Sky is Clear","01n","Clear"
392156,0,200,48.7,6.18,1411761600,6454307,87,1027,286.15,288.15,285.15,1411709291,1411752283,800,140,1,0,0,0,0,26,9,2014,21,"cmc stations","FR","Sky is Clear","01n","Clear"
392157,0,200,48.7,6.18,1411765200,2990998,93,1027,285.84,288.15,284.15,1411709291,1411752283,800,313,1.31,0,0,0,0,26,9,2014,22,"cmc stations","FR","Sky is Clear","01n","Clear"
392158,75,200,48.7,6.18,1411768800,6454307,93,1027,285.48,288.15,284.15,1411709291,1411752283,803,16.0012,1.21,0,0,0,0,26,9,2014,23,"cmc stations","FR","broken clouds","04n","Clouds"
392159,0,200,48.7,6.18,1411773300,6445503,96.5,1027,284.325,285.15,283.65,1411752534,1411795419.5,800,135,1.25,0,0,0,0,27,9,2014,0,"cmc stations","FR","Sky is Clear","01n","Clear"
392160,0,200,48.7,6.18,1411776600,4154623,97.6666666666667,1027,284.26,286.483333333333,283.15,1411795777,1411838556,800,107.333366666667,1.08666666666667,0,0,0,0,27,9,2014,1,"cmc stations","FR","Sky is Clear","01n","Clear"
392161,0,200,48.7,6.18,1411779600,6454307,93,1027,284.48,287.15,283.15,1411795777,1411838556,800,22.0001,1.26,0,0,0,0,27,9,2014,2,"cmc stations","FR","Sky is Clear","01n","Clear"
392162,0,200,48.7,6.18,1411783800,5294001.33333333,93,1026.33333333333,284.126666666667,287.15,282.15,1411795777,1411838556,800,64.6667333333333,1.34,0,0,0,0,27,9,2014,3,"cmc stations","FR","Sky is Clear","01n","Clear"
392163,0,200,48.7,6.18,1411788600,2990998,93,1027,283.68,286.15,282.15,1411795777,1411838556,800,140,1,0,0,0,0,27,9,2014,4,"cmc stations","FR","Sky is Clear","01n","Clear"
392164,0,200,48.7,6.18,1411790400,4145434.33333333,100,1026,283.82,287.15,282.15,1411795777,1411838556,701,9.33857,1.28666666666667,0,0,0,0,27,9,2014,5,"cmc stations","FR","mist","50n","Mist"
392165,90,200,48.7,6.18,1411794000,6454307,100,1027,283.48,286.15,282.15,1411795777,1411838556,701,140,0.5,0,0,0,0,27,9,2014,6,"cmc stations","FR","mist","50n","Mist"
392166,75,200,48.7,6.18,1411797600,2994951,93,1027,283.79,286.15,282.15,1411795777,1411838556,701,0,0.5,0,0,0,0,27,9,2014,7,"cmc stations","FR","mist","50d","Mist"
392167,82.5,200,48.7,6.18,1411802100,4722652.5,90,1027,286.29,288.65,284.65,1411795777,1411838556,803.5,25.5003,1.44,0,0,0,0,27,9,2014,8,"cmc stations","FR","broken clouds","04d","Clouds"
392168,0,200,48.7,6.18,1411806600,2994951,72,1028,290.79,291.15,290.15,1411795777,1411838556,800,80,2.6,0,0,0,0,27,9,2014,9,"cmc stations","FR","Sky is Clear","01d","Clear"
392169,0,200,48.7,6.18,1411809000,4148069.66666667,72,1027,291.296666666667,292.15,290.483333333333,1411795777,1411838556,800,60,2.76666666666667,0,0,0,0,27,9,2014,10,"cmc stations","FR","Sky is Clear","01d","Clear"
392170,0,200,48.7,6.18,1411813800,5301188.33333333,64,1027,293.1,294.15,292.15,1411795777,1411838556,800,110,3.6,0,0,0,0,27,9,2014,11,"cmc stations","FR","Sky is Clear","01d","Clear"
392171,20,200,48.7,6.18,1411817400,2994951,60,1027,294.79,295.15,294.15,1411795777,1411838556,801,70,4.1,0,0,0,0,27,9,2014,12,"cmc stations","FR","few clouds","02d","Clouds"
392172,30,200,48.7,6.18,1411820100,2981742,58,1027,294.625,295.15,294.15,1411795777,1411838556,801.5,70,5.15,0,0,0,0,27,9,2014,13,"cmc stations","FR","scattered clouds","03d","Clouds"
392173,0,200,48.7,6.18,1411822800,6454307,53,1026,295.46,296.15,295.15,1411795777,1411838556,800,80,5.1,0,0,0,0,27,9,2014,14,"cmc stations","FR","Sky is Clear","01d","Clear"
392174,0,200,48.7,6.18,1411828200,5589724.5,53,1026,295.15,295.15,295.15,1411795777,1411838556,800,70,6.2,0,0,0,0,27,9,2014,15,"cmc stations","FR","Sky is Clear","01d","Clear"
392175,0,200,48.7,6.18,1411831800,6454307,56,1025,294.79,295.15,294.15,1411795777,1411838556,800,80,4.6,0,0,0,0,27,9,2014,16,"cmc stations","FR","Sky is Clear","01d","Clear"
392176,0,200,48.7,6.18,1411834200,4156622.33333333,57.3333333333333,1025,294.23,294.816666666667,293.816666666667,1411795777,1411838556,800,80,4.76666666666667,0,0,0,0,27,9,2014,17,"cmc stations","FR","Sky is Clear","01d","Clear"
392177,0,200,48.7,6.18,1411838100,3858801.75,67,1025,291.98,292.4,291.65,1411795777,1411838556,800,80,3.85,0,0,0,0,27,9,2014,18,"cmc stations","FR","Sky is Clear","01d","Clear"
392178,0,200,48.7,6.18,1411841700,2994951,74.5,1025,290.315,291.15,289.65,1411795777,1411838556,800,85,4.35,0,0,0,0,27,9,2014,19,"cmc stations","FR","Sky is Clear","01n","Clear"
392179,0,200,48.7,6.18,1411845000,3003040.66666667,73.6666666666667,1025,289.786666666667,290.816666666667,288.816666666667,1411795777,1411838556,800,90,4.26666666666667,0,0,0,0,27,9,2014,20,"cmc stations","FR","Sky is Clear","01n","Clear"
392180,0,200,48.7,6.18,1411848000,4159735,77,1025,288.48,289.15,287.15,1411795777,1411838556,800,50,1.5,0,0,0,0,27,9,2014,21,"cmc stations","FR","Sky is Clear","01n","Clear"
392181,0,200,48.7,6.18,1411852500,6454307,84.5,1025.5,287.845,288.15,287.15,1411795777,1411838556,800,70,1.25,0,0,0,0,27,9,2014,22,"cmc stations","FR","Sky is Clear","01n","Clear"
392182,0,200,48.7,6.18,1411857000,6454307,87,1025,286.84,287.15,286.15,1411795777,1411838556,800,120,1,0,0,0,0,27,9,2014,23,"cmc stations","FR","Sky is Clear","01n","Clear"
392183,0,200,48.7,6.18,1411858800,6436922,87,1025,286.84,287.15,286.15,1411795777,1411838556,800,140,1,0,0,0,0,28,9,2014,0,"cmc stations","FR","Sky is Clear","01n","Clear"
392184,0,200,48.7,6.18,1411863600,3024619.66666667,93,1025,285.19,285.816666666667,284.15,1411882263,1411924830,800,93.3333333333333,1,0,0,0,0,28,9,2014,1,"cmc stations","FR","Sky is Clear","01n","Clear"
392185,20,200,48.7,6.18,1411867800,6454307,100,1025,284.2,285.15,283.15,1411882263,1411924830,801,140,1.5,0,0,0,0,28,9,2014,2,"cmc stations","FR","few clouds","02n","Clouds"
392186,12,200,48.7,6.18,1411870500,6436819,100,1024,284.365,285.15,283.15,1411882263,1411924830,801,175,1,0,0,0,0,28,9,2014,3,"cmc stations","FR","few clouds","02n","Clouds"
392187,12,200,48.7,6.18,1411874400,3015083.33333333,95.3333333333333,1024,283.53,284.15,282.15,1411882263,1411924830,801,120,0.833333333333333,0,0,0,0,28,9,2014,4,"cmc stations","FR","few clouds","02n","Clouds"
392188,56,200,48.7,6.18,1411878600,2978105,100,1024,283.22,284.15,281.15,1411882263,1411924830,701,140,1,0,0,0,0,28,9,2014,5,"cmc stations","FR","mist","50n","Mist"
392189,34.6666666666667,200,48.7,6.18,1411881600,3016850,95.3333333333333,1024,282.95,283.483333333333,282.15,1411882263,1411924830,701,180,0.5,0,0,0,0,28,9,2014,6,"cmc stations","FR","mist","50n","Mist"
392190,90,200,48.7,6.18,1411885350,5586828,100,1024,283.79,284.9,282.15,1411882263,1411924830,741,190,1.95,0,0,0,0,28,9,2014,7,"cmc stations","FR","fog","50d","Fog"
392191,90,200,48.7,6.18,1411889400,4715825,100,1025,286.57,288.15,284.15,1411882263,1411924830,701,0,1.5,0,0,0,0,28,9,2014,8,"cmc stations","FR","mist","50d","Mist"
392192,40,200,48.7,6.18,1411891200,6436699,100,1025,287.23,288.15,285.15,1411882263,1411924830,701,0,1,0,0,0,0,28,9,2014,9,"cmc stations","FR","mist","50d","Mist"
392193,22.6666666666667,200,48.7,6.18,1411895400,4218432,83.6666666666667,1025,290.676666666667,292.483333333333,288.816666666667,1411882263,1411924830,801.333333333333,66.6666666666667,1.7,0,0,0,0,28,9,2014,10,"cmc stations","FR","few clouds","02d","Clouds"
392194,28,200,48.7,6.18,1411899300,4707480.5,66,1025,293.32,293.65,292.65,1411882263,1411924830,801.5,195,4.35,0,0,0,0,28,9,2014,11,"cmc stations","FR","few clouds","02d","Clouds"
392195,44,200,48.7,6.18,1411903800,2996298,53,1024,295.77,297.15,295.15,1411882263,1411924830,802,200,3.6,0,0,0,0,28,9,2014,12,"cmc stations","FR","scattered clouds","03d","Clouds"
392196,39.2,200,48.7,6.18,1411906680,3688945,48.2,1024,296.508,297.75,295.75,1411882263,1411924830,802,198,4.4,0,0,0,0,28,9,2014,13,"cmc stations","FR","scattered clouds","03d","Clouds"
392197,26,200,48.7,6.18,1411910550,5572050.5,44.75,1023.25,297.4525,298.15,297.15,1411882263,1411924830,801.5,200,4.1,0,0,0,0,28,9,2014,14,"cmc stations","FR","scattered clouds","03d","Clouds"
