"houred","clouds_all","cod","coord_lat","coord_lon","dt","id","main_humidity","main_pressure","main_temp","main_temp_max","main_temp_min","sys_sunrise","sys_sunset","weather_id","wind_deg","wind_speed","rain_1h","rain_3h","snow_1h","snow_3h","day","month","year","hour","base","sys_country","weather_description","weather_icon","weather_main"
392145,0,200,48.86,2.34,1411724221,6509801.66666667,70.3333333333333,1026,289.656666666667,290.483333333333,289.416666666667,1411710215,1411753202,800,250.5,2.10333333333333,0,0,0,0,26,9,2014,10,"cmc stations","FR","Sky is Clear","01d","Clear"
392146,0,200,48.86,2.34,1411727321,3011620.5,61,1026,291.14,291.65,290.15,1411710215,1411753202,800,265,2.35,0,0,0,0,26,9,2014,11,"cmc stations","FR","Sky is Clear","01d","Clear"
392147,0,200,48.86,2.34,1411730321,4784768,57,1026,292.22,293.15,291.45,1411710215,1411753202,800,250,2.85,0,0,0,0,26,9,2014,12,"cmc stations","FR","Sky is Clear","01d","Clear"
392148,0,200,48.86,2.34,1411734296,2986088.25,52,1026,292.99,294.15,292.15,1411710215,1411753202,800,255,2.225,0,0,0,0,26,9,2014,13,"cmc stations","FR","Sky is Clear","01d","Clear"
392149,0,200,48.86,2.34,1411737446,3870497.75,46,1026,293.7925,295.15,292.15,1411710215,1411753202,800,0,1.5,0,0,0,0,26,9,2014,14,"cmc stations","FR","Sky is Clear","01d","Clear"
392150,0,200,48.86,2.34,1411741571.25,5621177.5,47.5,1025,294.4275,295.15,293.65,1411710215,1411753202,800,325,1.8,0,0,0,0,26,9,2014,15,"cmc stations","FR","Sky is Clear","01d","Clear"
392151,0,200,48.86,2.34,1411745321,5304380.33333333,46,1025,294.736666666667,295.15,294.15,1411710215,1411753202,800,283.333333333333,1.9,0,0,0,0,26,9,2014,16,"cmc stations","FR","Sky is Clear","01d","Clear"
392152,2,200,48.86,2.34,1411749671,4767863.5,51,1025,294.0925,294.65,293.725,1411710215,1411753202,800,317.5,2.45,0,0,0,0,26,9,2014,17,"cmc stations","FR","Sky is Clear","01d","Clear"
392153,8,200,48.86,2.34,1411752941,5104496.8,59.2,1025,292.674,293.35,291.55,1411710215,1411753202,800,360,1.5,0,0,0,0,26,9,2014,18,"cmc stations","FR","sky is clear","02d","Clear"
392154,4.8,200,48.86,2.34,1411756361,6489972.4,63,1025,290.97,291.75,289.75,1411710215,1411753202,800,6,1.1,0,0,0,0,26,9,2014,19,"cmc stations","FR","sky is clear","02n","Clear"
