"houred","clouds_all","cod","coord_lat","coord_lon","dt","id","main_humidity","main_pressure","main_temp","main_temp_max","main_temp_min","sys_sunrise","sys_sunset","weather_id","wind_deg","wind_speed","rain_1h","rain_3h","snow_1h","snow_3h","day","month","year","hour","base","sys_country","weather_description","weather_icon","weather_main"
392145,0,200,49.44,1.1,1411723800,6443443,77,1026,289.15,289.15,289.15,1411710518,1411753494,800,250,2.1,0,0,0,0,26,9,2014,10,"cmc stations","FR","Sky is Clear","01d","Clear"
392146,0,200,49.44,1.1,1411726050,3852906.75,71,1026,290.4,290.4,290.4,1411710518,1411753494,800,272.5,2.6,0,0,0,0,26,9,2014,11,"cmc stations","FR","Sky is Clear","01d","Clear"
392147,0,200,49.44,1.1,1411730100,4708798,65.5,1026,291.65,291.65,291.65,1411710518,1411753494,800,255,2.6,0,0,0,0,26,9,2014,12,"cmc stations","FR","Sky is Clear","01d","Clear"
392148,4,200,49.44,1.1,1411733700,5586089.25,54,1026,293.15,293.15,293.15,1411710518,1411753494,800,250,2.85,0,0,0,0,26,9,2014,13,"cmc stations","FR","sky is clear","02d","Clear"
392149,0,200,49.44,1.1,1411738200,2980236,52,1026,294.15,294.15,294.15,1411710518,1411753494,800,230,3.1,0,0,0,0,26,9,2014,14,"cmc stations","FR","Sky is Clear","01d","Clear"
392150,0,200,49.44,1.1,1411740450,3857987.25,52,1026,294.15,294.15,294.15,1411710518,1411753494,800,262.5,3.225,0,0,0,0,26,9,2014,15,"cmc stations","FR","Sky is Clear","01d","Clear"
392151,0,200,49.44,1.1,1411743600,2976986,56,1026,293.15,293.15,293.15,1411710518,1411753494,800,280,2.6,0,0,0,0,26,9,2014,16,"cmc stations","FR","Sky is Clear","01d","Clear"
392152,10.6666666666667,200,49.44,1.1,1411747800,5294522.33333333,49.6666666666667,1026,292.816666666667,292.816666666667,292.816666666667,1411710518,1411753494,800.666666666667,306.666666666667,4.26666666666667,0,0,0,0,26,9,2014,17,"cmc stations","FR","Sky is Clear","01d","Clear"
392153,0,200,49.44,1.1,1411750800,2982652,63,1026,291.15,291.15,291.15,1411710518,1411753494,800,300,3.6,0,0,0,0,26,9,2014,18,"cmc stations","FR","Sky is Clear","01d","Clear"
392154,19.2,200,49.44,1.1,1411754400,5759812.8,67,1026,289.15,289.15,289.15,1411710518,1411753494,801.2,340,2.1,0,0,0,0,26,9,2014,19,"cmc stations","FR","scattered clouds","03n","Clouds"
392155,0,200,49.44,1.1,1411759800,2998094.33333333,82,1027,287.15,287.15,287.15,1411710518,1411753494,800,20,2.1,0,0,0,0,26,9,2014,20,"cmc stations","FR","Sky is Clear","01n","Clear"
392156,0,200,49.44,1.1,1411762500,3851601,79,1027,286.65,286.65,286.65,1411710518,1411753494,800,40,1.5,0,0,0,0,26,9,2014,21,"cmc stations","FR","Sky is Clear","01n","Clear"
