"houred","clouds_all","cod","coord_lat","coord_lon","dt","id","main_humidity","main_pressure","main_temp","main_temp_max","main_temp_min","sys_sunrise","sys_sunset","weather_id","wind_deg","wind_speed","rain_1h","rain_3h","snow_1h","snow_3h","day","month","year","hour","base","sys_country","weather_description","weather_icon","weather_main"
392145,0,200,43.6,1.44,1411725323,6453974,63,1025,290.23,291.25,289.15,1411710390,1411753459,800,0,1,0,0,0,0,26,9,2014,10,"cmc stations","FR","Sky is Clear","01d","Clear"
392146,0,200,43.6,1.44,1411727719,6452077.66666667,57.6666666666667,1025,292.086666666667,292.85,291.15,1411710390,1411753459,800,110,1.5,0,0,0,0,26,9,2014,11,"cmc stations","FR","Sky is Clear","01d","Clear"
392147,5,200,43.6,1.44,1411730944.75,6442752.5,53.5,1025,293.7325,294.95,292.4,1411710390,1411753459,800.25,330,1.5,0,0,0,0,26,9,2014,12,"cmc stations","FR","Sky is Clear","01d","Clear"
392148,8,200,43.6,1.44,1411734501,6441715,46.6,1024.6,294.578,295.47,293.55,1411710390,1411753459,800.4,356,2.3,0,0,0,0,26,9,2014,13,"cmc stations","FR","Sky is Clear","01d","Clear"
392149,13.3333333333333,200,43.6,1.44,1411738019.66667,6452077.66666667,42,1024,295.46,295.983333333333,294.816666666667,1411710390,1411753459,800.666666666667,200,1.33333333333333,0,0,0,0,26,9,2014,14,"cmc stations","FR","few clouds","02d","Clouds"
392150,13.3333333333333,200,43.6,1.44,1411741221.66667,6453974,41,1024,295.523333333333,296.383333333333,294.483333333333,1411710390,1411753459,800.666666666667,26.6666666666667,3.1,0,0,0,0,26,9,2014,15,"cmc stations","FR","few clouds","02d","Clouds"
392151,20,200,43.6,1.44,1411744517,6453974,37,1023,295.715,296.2,295.15,1411710390,1411753459,801,0,1.5,0,0,0,0,26,9,2014,16,"cmc stations","FR","few clouds","02d","Clouds"
392152,0,200,43.6,1.44,1411748518.33333,6444677.33333333,38.6666666666667,1023,296.323333333333,296.75,295.816666666667,1411710390,1411753459,800,226.666666666667,1.5,0,0,0,0,26,9,2014,17,"cmc stations","FR","Sky is Clear","01d","Clear"
392153,13.3333333333333,200,43.6,1.44,1411753316.66667,6446602.66666667,41,1023,293.56,294.483333333333,292.716666666667,1411710390,1411753459,800.666666666667,336.666666666667,1.86666666666667,0,0,0,0,26,9,2014,18,"cmc stations","FR","few clouds","02n","Clouds"
392154,0,200,43.6,1.44,1411757017.66667,6453974,42,1023,290.65,293.15,288.35,1411710390,1411753459,800,243.333333333333,1.5,0,0,0,0,26,9,2014,19,"cmc stations","FR","Sky is Clear","01n","Clear"
392155,0,200,43.6,1.44,1411760315.66667,6453974,45,1023,289.293333333333,292.15,286.016666666667,1411710390,1411753459,800,346.666666666667,1.5,0,0,0,0,26,9,2014,20,"cmc stations","FR","Sky is Clear","01n","Clear"
392156,0,200,43.6,1.44,1411764019,6453974,51,1023,287.29,290.15,284.6,1411710390,1411753459,800,160,1,0,0,0,0,26,9,2014,21,"cmc stations","FR","Sky is Clear","01n","Clear"
392157,0,200,43.6,1.44,1411766269.25,4719978,52,1024,286.6025,289.9,283.85,1411710390,1411753459,800,238.75,1.065,0,0,0,0,26,9,2014,22,"cmc stations","FR","Sky is Clear","01n","Clear"
392158,0,200,43.6,1.44,1411769269,6453974,67,1024,285.06,287.15,283.35,1411710390,1411753459,800,0,1,0,0,0,0,26,9,2014,23,"cmc stations","FR","Sky is Clear","01n","Clear"
392159,0,200,43.6,1.44,1411773020,6453974,71,1024,284.51,286.15,283.15,1411710390,1411753459,800,160,0.5,0,0,0,0,27,9,2014,0,"cmc stations","FR","Sky is Clear","01n","Clear"
392160,0,200,43.6,1.44,1411777517,6453974,82.5,1023.75,283.5925,284.9,282.425,1411796858,1411839750,800,170,1.5,0,0,0,0,27,9,2014,1,"cmc stations","FR","Sky is Clear","01n","Clear"
392161,0,200,43.6,1.44,1411781121,6439231.33333333,81,1024,282.86,284.15,281.65,1411796858,1411839750,800,170,1,0,0,0,0,27,9,2014,2,"cmc stations","FR","Sky is Clear","01n","Clear"
392162,0,200,43.6,1.44,1411784519.33333,6444677.33333333,83,1023,282.54,283.816666666667,281.45,1411796858,1411839750,800,180,1.16666666666667,0,0,0,0,27,9,2014,3,"cmc stations","FR","Sky is Clear","01n","Clear"
392163,0,200,43.6,1.44,1411788470,6442752.5,90,1023,281.825,282.65,281.1,1411796858,1411839750,800,170,1.5,0,0,0,0,27,9,2014,4,"cmc stations","FR","Sky is Clear","01n","Clear"
392164,0,200,43.6,1.44,1411791325.5,6440072.5,87,1023,281.43,282.15,280.8,1411796858,1411839750,800,170,1.5,0,0,0,0,27,9,2014,5,"cmc stations","FR","Sky is Clear","01n","Clear"
392165,0,200,43.6,1.44,1411795817,6450181.33333333,89,1023,281.27,282.15,280.583333333333,1411796858,1411839750,800,106.666666666667,1.33333333333333,0,0,0,0,27,9,2014,6,"cmc stations","FR","Sky is Clear","01n","Clear"
392166,0,200,43.6,1.44,1411799719,6453974,87,1023,281.725,282.15,281.4,1411796858,1411839750,800,170,1.5,0,0,0,0,27,9,2014,7,"cmc stations","FR","Sky is Clear","01d","Clear"
392167,0,200,43.6,1.44,1411802516.66667,5313472.33333333,91,1023,283.203333333333,283.85,282.483333333333,1411796858,1411839750,800,166.666666666667,1.5,0,0,0,0,27,9,2014,8,"cmc stations","FR","Sky is Clear","01d","Clear"
392168,0,200,43.6,1.44,1411807370,6448285,72,1024,287.83,288.5,287.15,1411796858,1411839750,800,0,1,0,0,0,0,27,9,2014,9,"cmc stations","FR","Sky is Clear","01d","Clear"
