"houred","clouds_all","cod","coord_lat","coord_lon","dt","id","main_humidity","main_pressure","main_temp","main_temp_max","main_temp_min","sys_sunrise","sys_sunset","weather_id","wind_deg","wind_speed","rain_1h","rain_3h","snow_1h","snow_3h","day","month","year","hour","base","sys_country","weather_description","weather_icon","weather_main"
392145,75,200,36.7,137.22,1411722000,1863410,68,1015,295.15,295.15,295.15,1411677736,1411720954,803,30,2.6,0,0,0,0,26,9,2014,10,"cmc stations","JP","broken clouds","04n","Clouds"
392146,40,200,36.7,137.22,1411725600,1849876,77,1015,293.15,293.15,293.15,1411677736,1411720954,802,200,2.6,0,0,0,0,26,9,2014,11,"cmc stations","JP","scattered clouds","03n","Clouds"
392147,40,200,36.7,137.22,1411729200,1858898.66666667,82,1016,292.15,292.15,292.15,1411677736,1411720954,802,0,1,0,0,0,0,26,9,2014,12,"cmc stations","JP","scattered clouds","03n","Clouds"
392148,75,200,36.7,137.22,1411732800,1863410,82,1016,292.15,292.15,292.15,1411677736,1411720954,803,200,2.6,0,0,0,0,26,9,2014,13,"cmc stations","JP","broken clouds","04n","Clouds"
392150,17.6,200,36.7,137.22,1411740904.6,1851793.6,93.2,937.902,283.5896,283.5896,283.5896,1411677736,1411720954,800.8,128.4008,0.808,0,0,0,0,26,9,2014,15,"cmc stations","JP","Sky is Clear","01n","Clear"
392151,0,200,36.7,137.22,1411745407.75,1855217.75,93,938.04,283.23,283.23,283.23,1411677736,1411720954,800,125.501,0.82,0,0,0,0,26,9,2014,16,"cmc stations","JP","Sky is Clear","01n","Clear"
392152,58.6666666666667,200,36.7,137.22,1411748403.33333,1856518,93.3333333333333,937.893333333333,284.164,284.164,284.164,1411677736,1411720954,802.666666666667,140.001,0.92,0,0,0,0,26,9,2014,17,"cmc stations","JP","overcast clouds","04n","Clouds"
392153,29.3333333333333,200,36.7,137.22,1411751701.66667,1855452.66666667,94.3333333333333,938.54,284.049333333333,284.049333333333,284.049333333333,1411677736,1411720954,801.333333333333,139.336,1.29,0,0,0,0,26,9,2014,18,"cmc stations","JP","Sky is Clear","01n","Clear"
392154,0,200,36.7,137.22,1411756381.4,1857712.4,94.4,938.65,283.27,283.27,283.27,1411677736,1411720954,800,141.5024,1.282,0,0,0,0,26,9,2014,19,"cmc stations","JP","Sky is Clear","01n","Clear"
392155,6.4,200,36.7,137.22,1411759984.4,1852582.8,96,939.26,283.1264,283.1264,283.1264,1411677736,1411720954,800,130.8006,1.216,0,0,0,0,26,9,2014,20,"cmc stations","JP","sky is clear","02n","Clear"
392156,8,200,36.7,137.22,1411764303,1853072,97,939.33,283.299,283.299,283.299,1411677736,1411720954,800,128.5,1.21,0,0,0,0,26,9,2014,21,"cmc stations","JP","sky is clear","02n","Clear"
392157,41.5,200,36.7,137.22,1411765655,1851474,92.5,978.165,287.2245,287.2245,287.2245,1411677736,1411720954,801.5,64.25,0.855,0,0,0,0,26,9,2014,22,"cmc stations","JP","sky is clear","02n","Clear"
392158,75,200,36.7,137.22,1411768800,1863410,93,1017,291.15,291.15,291.15,1411677736,1411720954,803,0,0.5,0,0,0,0,26,9,2014,23,"cmc stations","JP","broken clouds","04n","Clouds"
392159,75,200,36.7,137.22,1411772400,1849876,88,1017,294.15,294.15,294.15,1411764185,1411807264,803,0,0.5,0,0,0,0,27,9,2014,0,"cmc stations","JP","broken clouds","04n","Clouds"
392161,20,200,36.7,137.22,1411779600,1849876,57,1017,298.15,298.15,298.15,1411764185,1411807264,801,340,2.1,0,0,0,0,27,9,2014,2,"cmc stations","JP","few clouds","02d","Clouds"
392162,20,200,36.7,137.22,1411783200,1853259.5,57,1016,299.15,299.15,299.15,1411764185,1411807264,801,0,1.5,0,0,0,0,27,9,2014,3,"cmc stations","JP","few clouds","02d","Clouds"
392163,20,200,36.7,137.22,1411786800,1849876,57,1016,299.15,299.15,299.15,1411764185,1411807264,801,10,3.1,0,0,0,0,27,9,2014,4,"cmc stations","JP","few clouds","02d","Clouds"
392164,40,200,36.7,137.22,1411790400,1857442,54,1015,300.15,300.15,300.15,1411764185,1411807264,802,340,2.6,0,0,0,0,27,9,2014,5,"cmc stations","JP","scattered clouds","03d","Clouds"
392165,20,200,36.7,137.22,1411794000,1853072,51,1014,300.15,300.15,300.15,1411764185,1411807264,801,360,5.1,0,0,0,0,27,9,2014,6,"cmc stations","JP","few clouds","02d","Clouds"
392166,20,200,36.7,137.22,1411797600,1853072,57,1014,299.15,299.15,299.15,1411764185,1411807264,801,360,4.1,0,0,0,0,27,9,2014,7,"cmc stations","JP","few clouds","02d","Clouds"
392167,75,200,36.7,137.22,1411801200,1853072,57,1015,298.15,298.15,298.15,1411764185,1411807264,803,360,4.1,0,0,0,0,27,9,2014,8,"cmc stations","JP","broken clouds","04d","Clouds"
392168,75,200,36.7,137.22,1411804800,1851474,57,1015,298.15,298.15,298.15,1411764185,1411807264,803,360,2.1,0,0,0,0,27,9,2014,9,"cmc stations","JP","broken clouds","04d","Clouds"
392169,75,200,36.7,137.22,1411808400,1863410,60,1015,297.15,297.15,297.15,1411764185,1411807264,803,30,1.5,0,0,0,0,27,9,2014,10,"cmc stations","JP","broken clouds","04n","Clouds"
392170,75,200,36.7,137.22,1411812000,1854387.33333333,73,1016,295.15,295.15,295.15,1411764185,1411807264,803,220,1,0,0,0,0,27,9,2014,11,"cmc stations","JP","broken clouds","04n","Clouds"
392171,75,200,36.7,137.22,1411815600,1863410,77,1016,294.15,294.15,294.15,1411764185,1411807264,803,230,1.5,0,0,0,0,27,9,2014,12,"cmc stations","JP","broken clouds","04n","Clouds"
392172,40,200,36.7,137.22,1411819200,1856518,77,1015,294.15,294.15,294.15,1411764185,1411807264,802,170,1.5,0,0,0,0,27,9,2014,13,"cmc stations","JP","scattered clouds","03n","Clouds"
392174,16,200,36.7,137.22,1411826855,1856643,93,938.515,284.6265,284.6265,284.6265,1411764185,1411807264,801,147.7525,1.135,0,0,0,0,27,9,2014,15,"cmc stations","JP","Sky is Clear","01n","Clear"
392175,32,200,36.7,137.22,1411831205.66667,1849876,97,937.7,285.071,285.071,285.071,1411764185,1411807264,802,147.003,1.12,0,0,0,0,27,9,2014,16,"cmc stations","JP","scattered clouds","03n","Clouds"
392176,0,200,36.7,137.22,1411835408,1863410,86,937,285.148,285.148,285.148,1411764185,1411807264,800,150.003,1.51,0,0,0,0,27,9,2014,17,"cmc stations","JP","Sky is Clear","01n","Clear"
392177,0,200,36.7,137.22,1411838887,1849876,87.3333333333333,937.12,284.366,284.366,284.366,1411764185,1411807264,800,149.002333333333,1.14333333333333,0,0,0,0,27,9,2014,18,"cmc stations","JP","Sky is Clear","01n","Clear"
392178,0,200,36.7,137.22,1411841407.33333,1850941.33333333,87.3333333333333,937.12,284.366,284.366,284.366,1411764185,1411807264,800,149.002333333333,1.14333333333333,0,0,0,0,27,9,2014,19,"cmc stations","JP","Sky is Clear","01n","Clear"
392179,0,200,36.7,137.22,1411844945.4,1852432.8,88.6,937.174,284.0958,284.0958,284.0958,1411764185,1411807264,800,147.4032,1.02,0,0,0,0,27,9,2014,20,"cmc stations","JP","Sky is Clear","01n","Clear"
392180,0,200,36.7,137.22,1411849956.33333,1861154.33333333,93.5,937.1,282.508166666667,282.508166666667,282.508166666667,1411764185,1411807264,800,136.7555,0.935,0,0,0,0,27,9,2014,21,"cmc stations","JP","Sky is Clear","01n","Clear"
392181,50,200,36.7,137.22,1411852605.33333,1849876,86,989.03,288.131333333333,288.131333333333,288.131333333333,1411764185,1411807264,802,165.168333333333,0.956666666666667,0,0,0,0,27,9,2014,22,"cmc stations","JP","broken clouds","04n","Clouds"
392182,40,200,36.7,137.22,1411855200,1856643,88,1015,291.15,291.15,291.15,1411764185,1411807264,802,240,1.5,0,0,0,0,27,9,2014,23,"cmc stations","JP","scattered clouds","03n","Clouds"
392183,75,200,36.7,137.22,1411858800,1863410,77,1015,293.15,293.15,293.15,1411850634,1411893574,803,0,0.5,0,0,0,0,28,9,2014,0,"cmc stations","JP","broken clouds","04n","Clouds"
392184,40,200,36.7,137.22,1411862400,1849876,73,1014,295.15,295.15,295.15,1411850634,1411893574,802,10,1.5,0,0,0,0,28,9,2014,1,"cmc stations","JP","scattered clouds","03d","Clouds"
392185,40,200,36.7,137.22,1411866000,1855933,64,1014,297.15,297.15,297.15,1411850634,1411893574,802,20,3.1,0,0,0,0,28,9,2014,2,"cmc stations","JP","scattered clouds","03d","Clouds"
392186,75,200,36.7,137.22,1411869600,1851474,64,1014,297.15,297.15,297.15,1411850634,1411893574,803,360,4.6,0,0,0,0,28,9,2014,3,"cmc stations","JP","broken clouds","04d","Clouds"
392187,40,200,36.7,137.22,1411873200,1856288,61,1013,298.15,298.15,298.15,1411850634,1411893574,802,360,4.1,0,0,0,0,28,9,2014,4,"cmc stations","JP","scattered clouds","03d","Clouds"
392188,40,200,36.7,137.22,1411876800,1850941.33333333,61,1013,298.15,298.15,298.15,1411850634,1411893574,802,360,5.1,0,0,0,0,28,9,2014,5,"cmc stations","JP","scattered clouds","03d","Clouds"
392189,20,200,36.7,137.22,1411880400,1849876,61,1012,298.15,298.15,298.15,1411850634,1411893574,801,360,4.6,0,0,0,0,28,9,2014,6,"cmc stations","JP","few clouds","02d","Clouds"
