"houred","clouds_all","cod","coord_lat","coord_lon","dt","id","main_humidity","main_pressure","main_temp","main_temp_max","main_temp_min","sys_sunrise","sys_sunset","weather_id","wind_deg","wind_speed","rain_1h","rain_3h","snow_1h","snow_3h","day","month","year","hour","base","sys_country","weather_description","weather_icon","weather_main"
392145,75,200,39.48,-0.38,1411723800,3802173.66666667,82,1024,292.15,292.15,292.15,1411710797,1411753925,301,300,2.1,0,0,0,0,26,9,2014,10,"cmc stations","ES","drizzle","09d","Drizzle"
392146,75,200,39.48,-0.38,1411725600,6362102,77,1024,293.15,293.15,293.15,1411710797,1411753925,803,0,1,0,0,0,0,26,9,2014,11,"cmc stations","ES","broken clouds","04d","Clouds"
392147,84,200,39.48,-0.38,1411730280,4992896.8,84.4,1023.4,292.75,292.75,292.75,1411710797,1411753925,682.4,268,1.74,0,0,0,0,26,9,2014,12,"cmc stations","ES","overcast clouds","04d","Clouds"
392148,90,200,39.48,-0.38,1411734600,2515399,82,1023,293.15,293.15,293.15,1411710797,1411753925,300,83.25515,2.49,0,0,0,0,26,9,2014,13,"cmc stations","ES","light intensity drizzle","09d","Drizzle"
392149,90,200,39.48,-0.38,1411738200,6361975,83,1023,294.15,294.15,294.15,1411710797,1411753925,804,350,2.6,0,0,0,0,26,9,2014,14,"cmc stations","ES","overcast clouds","04d","Clouds"
392150,75,200,39.48,-0.38,1411741200,2513374.33333333,83,1023,294.15,294.15,294.15,1411710797,1411753925,803,350,1.9,0,0,0,0,26,9,2014,15,"cmc stations","ES","broken clouds","04d","Clouds"
392151,33.3333333333333,200,39.48,-0.38,1411744200,2509622.66666667,73,1022,296.15,296.15,296.15,1411710797,1411753925,801.666666666667,3.33333333333333,1.36666666666667,0,0,0,0,26,9,2014,16,"cmc stations","ES","scattered clouds","03d","Clouds"
392152,20,200,39.48,-0.38,1411748550,3542472,73,1022,296.15,296.15,296.15,1411710797,1411753925,801,52.5,2.475,0,0,0,0,26,9,2014,17,"cmc stations","ES","few clouds","02d","Clouds"
392153,20,200,39.48,-0.38,1411752000,2518120,73,1022,296.15,296.15,296.15,1411710797,1411753925,801,63.3333333333333,1.86666666666667,0,0,0,0,26,9,2014,18,"cmc stations","ES","few clouds","02d","Clouds"
392154,20,200,39.48,-0.38,1411754400,2516659.5,78,1022,295.15,295.15,295.15,1411710797,1411753925,801,0,1,0,0,0,0,26,9,2014,19,"cmc stations","ES","few clouds","02n","Clouds"
