"houred","clouds_all","cod","coord_lat","coord_lon","dt","id","main_humidity","main_pressure","main_temp","main_temp_max","main_temp_min","sys_sunrise","sys_sunset","weather_id","wind_deg","wind_speed","rain_1h","rain_3h","snow_1h","snow_3h","day","month","year","hour","base","sys_country","weather_description","weather_icon","weather_main"
392144,0,200,49.9,2.3,1411720200,6455273,82,1025,286.15,286.15,286.15,1411710234,1411753202,800,230,3.6,0,0,0,0,26,9,2014,9,"cmc stations","FR","Sky is Clear","01d","Clear"
392145,0,200,49.9,2.3,1411723800,6455273,77,1026,288.15,288.15,288.15,1411710234,1411753202,800,220,3.6,0,0,0,0,26,9,2014,10,"cmc stations","FR","Sky is Clear","01d","Clear"
392146,0,200,49.9,2.3,1411726200,6455273,75.3333333333333,1026,289.483333333333,289.483333333333,289.483333333333,1411710234,1411753202,800,243.333333333333,3.76666666666667,0,0,0,0,26,9,2014,11,"cmc stations","FR","Sky is Clear","01d","Clear"
392147,11,200,49.9,2.3,1411730550,6455273,69,1026,291.15,291.15,291.15,1411710234,1411753202,800.5,222.5,2.725,0,0,0,0,26,9,2014,12,"cmc stations","FR","Sky is Clear","01d","Clear"
392148,5.33333333333333,200,49.9,2.3,1411734600,5310453,56,1025,293.15,293.15,293.15,1411710234,1411753202,800,240,4.1,0,0,0,0,26,9,2014,13,"cmc stations","FR","sky is clear","02d","Clear"
392149,48,200,49.9,2.3,1411736400,6455273,56,1025,294.15,294.15,294.15,1411710234,1411753202,802,250,4.6,0,0,0,0,26,9,2014,14,"cmc stations","FR","scattered clouds","03d","Clouds"
392150,33.75,200,49.9,2.3,1411740450,3871646.25,60,1025,294.15,294.15,294.15,1411710234,1411753202,801.5,280,3.725,0,0,0,0,26,9,2014,15,"cmc stations","FR","few clouds","02d","Clouds"
392151,48,200,49.9,2.3,1411743600,6455273,64,1025,293.15,293.15,293.15,1411710234,1411753202,802,270,4.1,0,0,0,0,26,9,2014,16,"cmc stations","FR","scattered clouds","03d","Clouds"
392152,61.25,200,49.9,2.3,1411747650,6455273,65,1025,292.9,292.9,292.9,1411710234,1411753202,802.5,302.5,4.6,0,0,0,0,26,9,2014,17,"cmc stations","FR","broken clouds","04d","Clouds"
392153,36,200,49.9,2.3,1411750800,6455273,68,1025,291.15,291.15,291.15,1411710234,1411753202,802,300,4.6,0,0,0,0,26,9,2014,18,"cmc stations","FR","scattered clouds","03d","Clouds"
392154,55.2,200,49.9,2.3,1411754400,6455273,82,1026,289.15,289.15,289.15,1411710234,1411753202,802.2,330,3.6,0,0,0,0,26,9,2014,19,"cmc stations","FR","broken clouds","04n","Clouds"
392155,90,200,49.9,2.3,1411759800,6455273,87,1026,289.15,289.15,289.15,1411710234,1411753202,804,330,1.5,0,0,0,0,26,9,2014,20,"cmc stations","FR","overcast clouds","04n","Clouds"
392156,90,200,49.9,2.3,1411762800,6455273,87,1026.66666666667,289.15,289.15,289.15,1411710234,1411753202,804,300,2.93333333333333,0,0,0,0,26,9,2014,21,"cmc stations","FR","overcast clouds","04n","Clouds"
392157,90,200,49.9,2.3,1411765200,6455273,87,1027,289.15,289.15,289.15,1411710234,1411753202,804,300,2.1,0,0,0,0,26,9,2014,22,"cmc stations","FR","overcast clouds","04n","Clouds"
392158,90,200,49.9,2.3,1411769700,6455273,87,1027,289.15,289.15,289.15,1411710234,1411753202,804,145,1.25,0,0,0,0,26,9,2014,23,"cmc stations","FR","overcast clouds","04n","Clouds"
392159,90,200,49.9,2.3,1411773300,6455273,87,1027,289.15,289.15,289.15,1411753479,1411796336.5,804,150,1.25,0,0,0,0,27,9,2014,0,"cmc stations","FR","overcast clouds","04n","Clouds"
392160,90,200,49.9,2.3,1411776900,6455273,87,1026.5,289.15,289.15,289.15,1411796724,1411839471,804,301.5005,1.205,0,0,0,0,27,9,2014,1,"cmc stations","FR","overcast clouds","04n","Clouds"
392161,90,200,49.9,2.3,1411780200,6455273,87,1027,289.15,289.15,289.15,1411796724,1411839471,804,165,0.96,0,0,0,0,27,9,2014,2,"cmc stations","FR","overcast clouds","04n","Clouds"
392162,80,200,49.9,2.3,1411783800,6455273,93,1026.66666666667,288.15,288.15,288.15,1411796724,1411839471,769,173.333333333333,0.806666666666667,0,0,0,0,27,9,2014,3,"cmc stations","FR","broken clouds","04n","Clouds"
392163,90,200,49.9,2.3,1411788600,6455273,93,1026,288.15,288.15,288.15,1411796724,1411839471,804,254,0.75,0,0,0,0,27,9,2014,4,"cmc stations","FR","overcast clouds","04n","Clouds"
392164,90,200,49.9,2.3,1411791000,6455273,93,1026,288.15,288.15,288.15,1411796724,1411839471,769.666666666667,147.171666666667,1.12,0,0,0,0,27,9,2014,5,"cmc stations","FR","overcast clouds","04n","Clouds"
392165,90,200,49.9,2.3,1411795800,6455273,93,1027,288.15,288.15,288.15,1411796724,1411839471,701,158.507,1.15,0,0,0,0,27,9,2014,6,"cmc stations","FR","mist","50n","Mist"
392166,90,200,49.9,2.3,1411798500,4742138,96.5,1027,288.15,288.15,288.15,1411796724,1411839471,701,159.2535,1.075,0,0,0,0,27,9,2014,7,"cmc stations","FR","mist","50d","Mist"
392167,90,200,49.9,2.3,1411802400,6448253.66666667,95.3333333333333,1027,288.816666666667,288.816666666667,288.816666666667,1411796724,1411839471,727.666666666667,153.333333333333,1.5,0,0,0,0,27,9,2014,8,"cmc stations","FR","fog","50d","Fog"
392168,90,200,49.9,2.3,1411806600,3883102.5,93,1028,289.15,289.15,289.15,1411796724,1411839471,701,160,1.5,0,0,0,0,27,9,2014,9,"cmc stations","FR","mist","50d","Mist"
392169,90,200,49.9,2.3,1411810200,6455273,88,1028,290.15,290.15,290.15,1411796724,1411839471,804,150,1.5,0,0,0,0,27,9,2014,10,"cmc stations","FR","overcast clouds","04d","Clouds"
392170,90,200,49.9,2.3,1411813800,6455273,77,1028,292.15,292.15,292.15,1411796724,1411839471,804,0,1,0,0,0,0,27,9,2014,11,"cmc stations","FR","overcast clouds","04d","Clouds"
392171,40,200,49.9,2.3,1411817400,6455273,68,1027,294.15,294.15,294.15,1411796724,1411839471,802,0,1.5,0,0,0,0,27,9,2014,12,"cmc stations","FR","scattered clouds","03d","Clouds"
392172,75,200,49.9,2.3,1411820400,6455273,64,1027,295.15,295.15,295.15,1411796724,1411839471,803,120,2.1,0,0,0,0,27,9,2014,13,"cmc stations","FR","broken clouds","04d","Clouds"
392173,10,200,49.9,2.3,1411823700,6455273,60,1026,295.15,295.15,295.15,1411796724,1411839471,800.5,95,2.6,0,0,0,0,27,9,2014,14,"cmc stations","FR","Sky is Clear","01d","Clear"
