"houred","clouds_all","cod","coord_lat","coord_lon","dt","id","main_humidity","main_pressure","main_temp","main_temp_max","main_temp_min","sys_sunrise","sys_sunset","weather_id","wind_deg","wind_speed","rain_1h","rain_3h","snow_1h","snow_3h","day","month","year","hour","base","sys_country","weather_description","weather_icon","weather_main"
392144,0,200,47.24,6.02,1411721400,6447838,81,1027,285.5,286.15,285.15,1411709318,1411752333,800,49.5002,1.86,0,0,0,0,26,9,2014,9,"cmc stations","FR","Sky is Clear","01d","Clear"
392145,0,200,47.24,6.02,1411725000,4740480.5,67,1027,287.52,288.15,286.15,1411709318,1411752333,800,0,1.5,0,0,0,0,26,9,2014,10,"cmc stations","FR","Sky is Clear","01d","Clear"
392146,0,200,47.24,6.02,1411727100,4740388.5,67.5,1026.5,289.145,289.65,288.15,1411709318,1411752333,800,295,1.8,0,0,0,0,26,9,2014,11,"cmc stations","FR","Sky is Clear","01d","Clear"
392147,0,200,47.24,6.02,1411731450,3033123,53.75,1026,290.42,291.15,289.15,1411709318,1411752333,800,217.5,1.5,0,0,0,0,26,9,2014,12,"cmc stations","FR","Sky is Clear","01d","Clear"
392148,0,200,47.24,6.02,1411735200,3033061.66666667,52,1026,291.09,292.15,289.15,1411709318,1411752333,800,0,1.5,0,0,0,0,26,9,2014,13,"cmc stations","FR","Sky is Clear","01d","Clear"
392149,0,200,47.24,6.02,1411737000,5309599.66666667,52,1025.66666666667,291.43,293.15,289.15,1411709318,1411752333,800,86.6666666666667,1.86666666666667,0,0,0,0,26,9,2014,14,"cmc stations","FR","Sky is Clear","01d","Clear"
392150,11.4285714285714,200,47.24,6.02,1411741628.57143,4008650.71428571,50.7142857142857,1025,292.252857142857,293.15,290.292857142857,1411709318,1411752333,800.571428571429,322.857142857143,3.31428571428571,0,0,0,0,26,9,2014,15,"cmc stations","FR","few clouds","02d","Clouds"
392151,0,200,47.24,6.02,1411746600,3033123,52,1025,291.26,293.15,287.15,1411709318,1411752333,800,350,3.1,0,0,0,0,26,9,2014,16,"cmc stations","FR","Sky is Clear","01d","Clear"
392152,0,200,47.24,6.02,1411749300,4740480.5,53.5,1025,290.77,293.15,286.65,1411709318,1411752333,800,340,2.05,0,0,0,0,26,9,2014,17,"cmc stations","FR","Sky is Clear","01d","Clear"
392153,0,200,47.24,6.02,1411752600,3033123,60.3333333333333,1025,288.71,290.816666666667,284.483333333333,1411709318,1411752333,800,330,1.16666666666667,0,0,0,0,26,9,2014,18,"cmc stations","FR","Sky is Clear","01d","Clear"
392154,0,200,47.24,6.02,1411756950,3033782.5,71,1026,286.115,288.15,282.15,1411709318,1411752333,800,10.126295,2.3425,0,0,0,0,26,9,2014,19,"cmc stations","FR","Sky is Clear","01n","Clear"
392155,0,200,47.24,6.02,1411759800,3032939,87,1026,283.79,286.15,281.15,1411709318,1411752333,800,30,0.5,0,0,0,0,26,9,2014,20,"cmc stations","FR","Sky is Clear","01n","Clear"
392156,0,200,47.24,6.02,1411762600,3034881.66666667,93,1026.33333333333,283.026666666667,285.483333333333,280.15,1411709318,1411752333,800,130,0.833333333333333,0,0,0,0,26,9,2014,21,"cmc stations","FR","Sky is Clear","01n","Clear"
392157,0,200,47.24,6.02,1411767300,4740480.5,93,1027,282.395,284.15,280.15,1411709318,1411752333,770.5,16,2.46,0,0,0,0,26,9,2014,22,"cmc stations","FR","Sky is Clear","01n","Clear"
392158,0,200,47.24,6.02,1411771800,5309599.66666667,100,1027,281.22,283.15,279.15,1411709318,1411752333,741,51.0012,2.51,0,0,0,0,26,9,2014,23,"cmc stations","FR","fog","50n","Fog"
392159,90,200,47.24,6.02,1411774200,3033123,93,1026,281.14,283.15,279.15,1411795798,1411838612,741,51.0012,2.51,0,0,0,0,27,9,2014,0,"cmc stations","FR","fog","50n","Fog"
392160,90,200,47.24,6.02,1411776750,3033077,93,1026,281.3225,282.9,280.15,1411795798,1411838612,741,51.0012,2.51,0,0,0,0,27,9,2014,1,"cmc stations","FR","fog","50n","Fog"
392161,90,200,47.24,6.02,1411780800,3033123,100,1026,280.21,282.15,279.15,1411795798,1411838612,741,130,0.5,0,0,0,0,27,9,2014,2,"cmc stations","FR","fog","50n","Fog"
392162,90,200,47.24,6.02,1411784700,3033031,93,1026,280.53,283.15,279.15,1411795798,1411838612,741,120,0.75,0,0,0,0,27,9,2014,3,"cmc stations","FR","fog","50n","Fog"
392163,90,200,47.24,6.02,1411789200,3033123,95.3333333333333,1025.33333333333,280.2,282.15,278.816666666667,1411795798,1411838612,741,38.5001,2.21,0,0,0,0,27,9,2014,4,"cmc stations","FR","fog","50n","Fog"
392164,90,200,47.24,6.02,1411792800,3033123,100,1025,280.29,282.15,278.15,1411795798,1411838612,762,44.0072,2.2,0,0,0,0,27,9,2014,5,"cmc stations","FR","fog","50n","Fog"
392165,90,200,47.24,6.02,1411796100,4740480.5,96.5,1026,279.665,280.65,278.65,1411795798,1411838612,741,33.5013,2.21,0,0,0,0,27,9,2014,6,"cmc stations","FR","fog","50n","Fog"
392166,90,200,47.24,6.02,1411800600,3033123,93,1026,281.8,283.15,280.15,1411795798,1411838612,804,44.0072,2.2,0,0,0,0,27,9,2014,7,"cmc stations","FR","overcast clouds","04d","Clouds"
392167,45,200,47.24,6.02,1411803300,4732827,84.5,1026.5,284.79,286.15,283.65,1411795798,1411838612,802,68.0006,2.03,0,0,0,0,27,9,2014,8,"cmc stations","FR","overcast clouds","04d","Clouds"
392168,0,200,47.24,6.02,1411806600,3032939,76,1027,287.49,288.15,287.15,1411795798,1411838612,800,0,0.5,0,0,0,0,27,9,2014,9,"cmc stations","FR","Sky is Clear","01d","Clear"
