"houred","clouds_all","cod","coord_lat","coord_lon","dt","id","main_humidity","main_pressure","main_temp","main_temp_max","main_temp_min","sys_sunrise","sys_sunset","weather_id","wind_deg","wind_speed","rain_1h","rain_3h","snow_1h","snow_3h","day","month","year","hour","base","sys_country","weather_description","weather_icon","weather_main"
392145,75,200,50.84,4.36,1411724344,2795783,82,1024,287.905,288.65,287.65,1411709747,1411752700,803,240,4.6,0,0,0,0,26,9,2014,10,"cmc stations","BE","broken clouds","04d","Clouds"
392146,75,200,50.84,4.36,1411727944,2796795,79.5,1024.5,288.99,290.15,288.15,1411709747,1411752700,556.5,235,4.85,0,0,0,0,26,9,2014,11,"cmc stations","BE","broken clouds","04d","Clouds"
392147,75,200,50.84,4.36,1411731300,2794867,79.5,1025,289.76,290.65,288.65,1411709747,1411752700,556.5,235,4.85,0,0,0,0,26,9,2014,12,"cmc stations","BE","light intensity drizzle rain","09d","Drizzle"
392148,75,200,50.84,4.36,1411735174.5,2795011,77,1024,290.58,291.15,290.15,1411709747,1411752700,803,235,4.85,0,0,0,0,26,9,2014,13,"cmc stations","BE","broken clouds","04d","Clouds"
392149,20,200,50.84,4.36,1411738306.66667,2790610.5,77,1024,290.805,292.15,290.15,1411709747,1411752700,801,240,5.01666666666667,0,0,0,0,26,9,2014,14,"cmc stations","BE","few clouds","02d","Clouds"
392150,75,200,50.84,4.36,1411742343.5,2798578,77,1025,290.585,291.65,290.15,1411709747,1411752700,803,240,4.1,0,0,0,0,26,9,2014,15,"cmc stations","BE","broken clouds","04d","Clouds"
392151,75,200,50.84,4.36,1411746242.33333,2795029.66666667,77,1025,290.4,291.15,290.15,1411709747,1411752700,601,240,3.26666666666667,0,0,0,0,26,9,2014,16,"cmc stations","BE","light rain","10d","Rain"
392152,75,200,50.84,4.36,1411748971.75,2796998.5,79.5,1025,290.2125,290.4,290.15,1411709747,1411752700,405,232.5,3.1,0,0,0,0,26,9,2014,17,"cmc stations","BE","light rain","10d","Rain"
392153,75,200,50.84,4.36,1411752487,2790332.66666667,77,1025,290.26,290.65,290.15,1411709747,1411752700,310,230,2.6,0,0,0,0,26,9,2014,18,"cmc stations","BE","light intensity drizzle rain","09d","Drizzle"
392154,75,200,50.84,4.36,1411756088,2794915,82,1025,289.9,290.65,289.15,1411709747,1411752700,803,270,2.1,0,0,0,0,26,9,2014,19,"cmc stations","BE","broken clouds","04n","Clouds"
