"houred","clouds_all","cod","coord_lat","coord_lon","dt","id","main_humidity","main_pressure","main_temp","main_temp_max","main_temp_min","sys_sunrise","sys_sunset","weather_id","wind_deg","wind_speed","rain_1h","rain_3h","snow_1h","snow_3h","day","month","year","hour","base","sys_country","weather_description","weather_icon","weather_main"
392145,0,200,49.04,2.06,1411724621,6612921,67,1026,289.91,291.15,288.15,1411710284,1411753267,800,260,2.1,0,0,0,0,26,9,2014,10,"cmc stations","FR","Sky is Clear","01d","Clear"
392146,0,200,49.04,2.06,1411727621,4220256.33333333,59,1026,291.31,292.15,290.15,1411710284,1411753267,800,270,2.1,0,0,0,0,26,9,2014,11,"cmc stations","FR","Sky is Clear","01d","Clear"
392147,0,200,49.04,2.06,1411730921,2996564,57,1026,292.19,293.15,291.6,1411710284,1411753267,800,250,2.85,0,0,0,0,26,9,2014,12,"cmc stations","FR","Sky is Clear","01d","Clear"
392148,0,200,49.04,2.06,1411734721,6560245.66666667,52,1026,293.123333333333,294.15,292.483333333333,1411710284,1411753267,800,256.666666666667,2.26666666666667,0,0,0,0,26,9,2014,13,"cmc stations","FR","Sky is Clear","01d","Clear"
392149,0,200,49.04,2.06,1411738421,4741628,46,1026,293.955,294.3,293.15,1411710284,1411753267,800,0,1.5,0,0,0,0,26,9,2014,14,"cmc stations","FR","Sky is Clear","01d","Clear"
392150,0,200,49.04,2.06,1411742471.5,6533908,49,1025,294.465,295.15,294.15,1411710284,1411753267,800,330,1.5,0,0,0,0,26,9,2014,15,"cmc stations","FR","Sky is Clear","01d","Clear"
392151,0,200,49.04,2.06,1411746071,3027883,46,1025,294.66,295.15,294.15,1411710284,1411753267,800,270,1.5,0,0,0,0,26,9,2014,16,"cmc stations","FR","Sky is Clear","01d","Clear"
392152,26.6666666666667,200,49.04,2.06,1411749521,3000798.33333333,56,1025,293.823333333333,294.15,293.15,1411710284,1411753267,801,353.333333333333,1.9,0,0,0,0,26,9,2014,17,"cmc stations","FR","Sky is Clear","01d","Clear"
392153,60,200,49.04,2.06,1411752746,5704140.75,57,1025,293.255,293.9,292.675,1411710284,1411753267,802.25,360,1.5,0,0,0,0,26,9,2014,18,"cmc stations","FR","broken clouds","04d","Clouds"
392154,48,200,49.04,2.06,1411756361,4380816.8,63,1025,291.062,291.75,290.33,1411710284,1411753267,801.8,6,1.1,0,0,0,0,26,9,2014,19,"cmc stations","FR","broken clouds","04n","Clouds"
392155,0,200,49.04,2.06,1411760096,6454892,66.5,1025.25,289.7175,290.65,288.4,1411710284,1411753267,800,2.5,0.75,0,0,0,0,26,9,2014,20,"cmc stations","FR","Sky is Clear","01n","Clear"
392156,0,200,49.04,2.06,1411765121,2977800,82,1026,287.1,287.85,286.15,1411710284,1411753267,800,10,1.5,0,0,0,0,26,9,2014,21,"cmc stations","FR","Sky is Clear","01n","Clear"
392157,0,200,49.04,2.06,1411767221,3017728,87,1026,286.81,287.416666666667,286.15,1411710284,1411753267,800,360,2.1,0,0,0,0,26,9,2014,22,"cmc stations","FR","Sky is Clear","01n","Clear"
392158,0,200,49.04,2.06,1411770972,3008256,82,1026,286.29,288.15,285.15,1411710284,1411753267,800,10,2.1,0,0,0,0,26,9,2014,23,"cmc stations","FR","Sky is Clear","01n","Clear"
