"houred","clouds_all","cod","coord_lat","coord_lon","dt","id","main_humidity","main_pressure","main_temp","main_temp_max","main_temp_min","sys_sunrise","sys_sunset","weather_id","wind_deg","wind_speed","rain_1h","rain_3h","snow_1h","snow_3h","day","month","year","hour","base","sys_country","weather_description","weather_icon","weather_main"
392145,0,200,48.78,2.46,1411724621,3025509,63,1026,290.28,291.15,289.95,1411710186,1411753174,800,260,1.5,0,0,0,0,26,9,2014,10,"cmc stations","FR","Sky is Clear","01d","Clear"
392146,0,200,48.78,2.46,1411726721,4732161.5,55,1026,291.135,291.65,290.15,1411710186,1411753174,800,250,3.35,0,0,0,0,26,9,2014,11,"cmc stations","FR","Sky is Clear","01d","Clear"
392147,0,200,48.78,2.46,1411730801,6452021.2,48.4,1026,292.35,293.35,291.59,1411710186,1411753174,800,260,3.5,0,0,0,0,26,9,2014,12,"cmc stations","FR","Sky is Clear","01d","Clear"
392148,0,200,48.78,2.46,1411735871,4712888.5,43.75,1026,293.1975,294.15,292.15,1411710186,1411753174,800,287.5,3.1,0,0,0,0,26,9,2014,13,"cmc stations","FR","Sky is Clear","01d","Clear"
392149,0,200,48.78,2.46,1411739021,6452022,43,1026,293.9,295.15,292.15,1411710186,1411753174,800,280,3.6,0,0,0,0,26,9,2014,14,"cmc stations","FR","Sky is Clear","01d","Clear"
392150,0,200,48.78,2.46,1411741721.25,4728668.25,41.5,1025,294.425,295.15,293.65,1411710186,1411753174,800,265,2.85,0,0,0,0,26,9,2014,15,"cmc stations","FR","Sky is Clear","01d","Clear"
392151,0,200,48.78,2.46,1411746071,6454691.5,43,1025,294.65,295.15,294.15,1411710186,1411753174,800,145,2.05,0,0,0,0,26,9,2014,16,"cmc stations","FR","Sky is Clear","01d","Clear"
392152,0,200,48.78,2.46,1411749371,6454692,44.5,1025,294.25,294.65,293.9,1411710186,1411753174,800,290,2.6,0,0,0,0,26,9,2014,17,"cmc stations","FR","Sky is Clear","01d","Clear"
392153,0,200,48.78,2.46,1411752896,4742700.25,49,1025,292.925,293.65,292.1,1411710186,1411753174,800,315,1.5,0,0,0,0,26,9,2014,18,"cmc stations","FR","Sky is Clear","01d","Clear"
392154,0,200,48.78,2.46,1411757121,2971027,60.3333333333333,1025,290.653333333333,291.483333333333,289.483333333333,1411710186,1411753174,800,213.333333333333,1.16666666666667,0,0,0,0,26,9,2014,19,"cmc stations","FR","Sky is Clear","01n","Clear"
392155,0,200,48.78,2.46,1411760171,6457374,65,1025.5,289.285,290.65,287.65,1411710186,1411753174,800,160,0.75,0,0,0,0,26,9,2014,20,"cmc stations","FR","Sky is Clear","01n","Clear"
392156,0,200,48.78,2.46,1411763801,6452022.2,70.6,1026,287.792,289.15,286.15,1411710186,1411753174,800,58.6,0.724,0,0,0,0,26,9,2014,21,"cmc stations","FR","Sky is Clear","01n","Clear"
392157,0,200,48.78,2.46,1411767971,6454693,82,1026,286.68,287.35,286.15,1411710186,1411753174,800,260,0.5,0,0,0,0,26,9,2014,22,"cmc stations","FR","Sky is Clear","01n","Clear"
392158,0,200,48.78,2.46,1411770822,2973453,85.3333333333333,1026,286.536666666667,288.15,285.15,1411710186,1411753174,800,256.666666666667,1,0,0,0,0,26,9,2014,23,"cmc stations","FR","Sky is Clear","01n","Clear"
392159,0,200,48.78,2.46,1411773822,6452018,85.3333333333333,1026,286.17,288.816666666667,284.15,1411710186,1411753174,800,353.333333333333,1.33333333333333,0,0,0,0,27,9,2014,0,"cmc stations","FR","Sky is Clear","01n","Clear"
392160,0,200,48.78,2.46,1411777922,6452036,82,1026,285.98,288.15,284.15,1411796672,1411839447,701,20,1,0,0,0,0,27,9,2014,1,"cmc stations","FR","mist","50n","Mist"
392161,0,200,48.78,2.46,1411781322,4820835.5,87,1026,285.5,288.15,283.65,1411796672,1411839447,701,96.7505,1.33,0,0,0,0,27,9,2014,2,"cmc stations","FR","mist","50n","Mist"
392162,0,200,48.78,2.46,1411784922,3029706,87,1026,284.9,287.15,283.15,1411796672,1411839447,800,10,1.5,0,0,0,0,27,9,2014,3,"cmc stations","FR","Sky is Clear","01n","Clear"
392163,0,200,48.78,2.46,1411789422,6457373,93,1026,284.6,287.15,282.15,1411796672,1411839447,741,360,1.5,0,0,0,0,27,9,2014,4,"cmc stations","FR","fog","50n","Fog"
392164,0,200,48.78,2.46,1411792622,5313950.33333333,93,1026,284.23,286.15,282.15,1411796672,1411839447,701,37.5052333333333,1.28666666666667,0,0,0,0,27,9,2014,5,"cmc stations","FR","mist","50n","Mist"
392165,0,200,48.78,2.46,1411796322,6452036,87,1026,284.15,286.15,282.15,1411796672,1411839447,701,0,1.5,0,0,0,0,27,9,2014,6,"cmc stations","FR","mist","50n","Mist"
