"houred","clouds_all","cod","coord_lat","coord_lon","dt","id","main_humidity","main_pressure","main_temp","main_temp_max","main_temp_min","sys_sunrise","sys_sunset","weather_id","wind_deg","wind_speed","rain_1h","rain_3h","snow_1h","snow_3h","day","month","year","hour","base","sys_country","weather_description","weather_icon","weather_main"
392389,75,200,53.34,-6.26,1412602200,3315295,54,995,286.15,286.15,286.15,1412577385,1412617777,803,240,5.1,0,0,0,0,6,10,2014,14,"cmc stations","IE","broken clouds","04d","Clouds"
392390,40,200,53.34,-6.26,1412605800,2963530,54,995,286.15,286.15,286.15,1412577385,1412617777,802,230,4.6,0,0,0,0,6,10,2014,15,"cmc stations","IE","scattered clouds","03d","Clouds"
392391,40,200,53.34,-6.26,1412608200,3198388,66.6666666666667,995,283.816666666667,283.816666666667,283.816666666667,1412577385,1412617777,614.666666666667,243.333333333333,4.46666666666667,0,0,0,0,6,10,2014,16,"cmc stations","IE","proximity shower rain","09d","Rain"
392392,40,200,53.34,-6.26,1412611650,3227614.75,73.5,995,283.4,283.4,283.4,1412577385,1412617777,802,290,3.725,0,0,0,0,6,10,2014,17,"cmc stations","IE","scattered clouds","03d","Clouds"
392393,51.6666666666667,200,53.34,-6.26,1412615400,3081740.33333333,74.3333333333333,995,283.15,283.15,283.15,1412577385,1412617777,802.333333333333,100,1.16666666666667,0,0,0,0,6,10,2014,18,"cmc stations","IE","scattered clouds","03d","Clouds"
392394,75,200,53.34,-6.26,1412618400,3315295,87,995,280.15,280.15,280.15,1412577385,1412617777,803,360,1.5,0,0,0,0,6,10,2014,19,"cmc stations","IE","broken clouds","04n","Clouds"
392395,75,200,53.34,-6.26,1412622000,3081481,87,995,281.15,281.15,281.15,1412577385,1412617777,803,110,1.5,0,0,0,0,6,10,2014,20,"cmc stations","IE","broken clouds","04n","Clouds"
392396,75,200,53.34,-6.26,1412627040,5270598.4,88.2,995,279.15,279.15,279.15,1412577385,1412617777,803,232,1.88,0,0,0,0,6,10,2014,21,"cmc stations","IE","broken clouds","04n","Clouds"
392397,75,200,53.34,-6.26,1412630400,4440530.33333333,93,995,279.15,279.15,279.15,1412577385,1412617777,803,313.333333333333,2.6,0,0,0,0,6,10,2014,22,"cmc stations","IE","broken clouds","04n","Clouds"
392398,75,200,53.34,-6.26,1412633700,3138603,93,995,279.65,279.65,279.65,1412577385,1412617777,661.5,250,2.1,0,0,0,0,6,10,2014,23,"cmc stations","IE","broken clouds","04n","Clouds"
392399,63.3333333333333,200,53.34,-6.26,1412637000,4440543.66666667,95.3333333333333,994,279.816666666667,279.816666666667,279.816666666667,1412606220.66667,1412646529.66667,614,93.3333333333333,1.53333333333333,0,0,0,0,7,10,2014,0,"cmc stations","IE","light intensity shower rain","09n","Rain"
392400,75,200,53.34,-6.26,1412640000,3893449,100,994,278.15,278.15,278.15,1412663892,1412704035,803,290,1.5,0,0,0,0,7,10,2014,1,"cmc stations","IE","broken clouds","04n","Clouds"
392401,75,200,53.34,-6.26,1412644800,2964963,100,994,275.483333333333,275.483333333333,275.483333333333,1412663892,1412704035,741,296.666666666667,1.73333333333333,0,0,0,0,7,10,2014,2,"cmc stations","IE","fog","50n","Fog"
392402,75,200,53.34,-6.26,1412648100,4831166.5,100,993,277.15,277.15,277.15,1412663892,1412704035,721,280,3.35,0,0,0,0,7,10,2014,3,"cmc stations","IE","fog","50n","Fog"
