"houred","clouds_all","cod","coord_lat","coord_lon","dt","id","main_humidity","main_pressure","main_temp","main_temp_max","main_temp_min","sys_sunrise","sys_sunset","weather_id","wind_deg","wind_speed","rain_1h","rain_3h","snow_1h","snow_3h","day","month","year","hour","base","sys_country","weather_description","weather_icon","weather_main"
392145,75,200,55.8,49.12,1411723200,547861,64.3333333333333,1016,290.15,290.15,290.15,1411699039,1411741929,803,143.333333333333,3,0,0,0,0,26,9,2014,10,"cmc stations","RU","broken clouds","04d","Clouds"
392146,75,200,55.8,49.12,1411726950,530147,60,1016,290.9,290.9,290.9,1411699039,1411741929,803,155,2.25,0,0,0,0,26,9,2014,11,"cmc stations","RU","broken clouds","04d","Clouds"
392147,75,200,55.8,49.12,1411730550,469753,59,1016,291.15,291.15,291.15,1411699039,1411741929,803,0,2,0,0,0,0,26,9,2014,12,"cmc stations","RU","broken clouds","04d","Clouds"
392148,75,200,55.8,49.12,1411734000,5584687.66666667,55,1016,291.15,291.15,291.15,1411699039,1411741929,803,0,2,0,0,0,0,26,9,2014,13,"cmc stations","RU","broken clouds","04d","Clouds"
392149,75,200,55.8,49.12,1411737300,550580.5,55,1016,291.15,291.15,291.15,1411699039,1411741929,803,126.501,2.32,0,0,0,0,26,9,2014,14,"cmc stations","RU","broken clouds","04d","Clouds"
392150,40,200,55.8,49.12,1411740900,508807,69,1017,288.15,288.15,288.15,1411699039,1411741929,802,126.5005,2.09,0,0,0,0,26,9,2014,15,"cmc stations","RU","scattered clouds","03d","Clouds"
392151,20,200,55.8,49.12,1411744500,508807,79,1017,286.15,286.15,286.15,1411699039,1411741929,801,90,2.5,0,0,0,0,26,9,2014,16,"cmc stations","RU","scattered clouds","03n","Clouds"
392152,0,200,55.8,49.12,1411747800,549069.666666667,81,1017,284.483333333333,284.483333333333,284.483333333333,1411699039,1411741929,800,106.834333333333,1.94,0,0,0,0,26,9,2014,17,"cmc stations","RU","Sky is Clear","01n","Clear"
392153,0,200,55.8,49.12,1411752000,521825,85,1017,284.483333333333,284.483333333333,284.483333333333,1411699039,1411741929,800,125.668,2.97333333333333,0,0,0,0,26,9,2014,18,"cmc stations","RU","Sky is Clear","01n","Clear"
392154,0,200,55.8,49.12,1411755750,510620,91.5,1017,282.4,282.4,282.4,1411699039,1411741929,800,77.62575,1.955,0,0,0,0,26,9,2014,19,"cmc stations","RU","Sky is Clear","01n","Clear"
392155,0,200,55.8,49.12,1411759800,551487,87,1017,283.15,283.15,283.15,1411699039,1411741929,800,90,2,0,0,0,0,26,9,2014,20,"cmc stations","RU","Sky is Clear","01n","Clear"
392156,0,200,55.8,49.12,1411761600,551487,93,1017,281.15,281.15,281.15,1411699039,1411741929,800,350,2,0,0,0,0,26,9,2014,21,"cmc stations","RU","Sky is Clear","01n","Clear"
392157,0,200,55.8,49.12,1411766100,508807,90,1017,282.15,282.15,282.15,1411699039,1411741929,800,121.5,2.03,0,0,0,0,26,9,2014,22,"cmc stations","RU","Sky is Clear","01n","Clear"
392158,0,200,55.8,49.12,1411769400,547861,93,1017,281.15,281.15,281.15,1411699039,1411741929,800,23.3333333333333,2,0,0,0,0,26,9,2014,23,"cmc stations","RU","Sky is Clear","01n","Clear"
392159,0,200,55.8,49.12,1411774200,4346821,93,1017,281.15,281.15,281.15,1411785556,1411828171,800,0,2,0,0,0,0,27,9,2014,0,"cmc stations","RU","Sky is Clear","01n","Clear"
392160,0,200,55.8,49.12,1411777800,549674,93,1016,280.15,280.15,280.15,1411785556,1411828171,800,157.501,2.31,0,0,0,0,27,9,2014,1,"cmc stations","RU","Sky is Clear","01n","Clear"
392161,40,200,55.8,49.12,1411781400,469753,100,1016,279.15,279.15,279.15,1411785556,1411828171,701,156.5,2.51,0,0,0,0,27,9,2014,2,"cmc stations","RU","mist","50n","Mist"
392162,40,200,55.8,49.12,1411784100,547861,96.5,1016,278.65,278.65,278.65,1411785556,1411828171,701,90,2,0,0,0,0,27,9,2014,3,"cmc stations","RU","mist","50n","Mist"
392163,40,200,55.8,49.12,1411787700,549674,93,1016,279.15,279.15,279.15,1411785556,1411828171,701,156.5,2.51,0,0,0,0,27,9,2014,4,"cmc stations","RU","mist","50d","Mist"
392164,0,200,55.8,49.12,1411790400,469753,93,1016,282.15,282.15,282.15,1411785556,1411828171,800,170.507,2.9,0,0,0,0,27,9,2014,5,"cmc stations","RU","Sky is Clear","01d","Clear"
392165,0,200,55.8,49.12,1411794600,495789,85,1016,284.483333333333,284.483333333333,284.483333333333,1411785556,1411828171,800,150,2,0,0,0,0,27,9,2014,6,"cmc stations","RU","Sky is Clear","01d","Clear"
392166,0,200,55.8,49.12,1411798950,530147,76,1016,286.9,286.9,286.9,1411785556,1411828171,800,170,2,0,0,0,0,27,9,2014,7,"cmc stations","RU","Sky is Clear","01d","Clear"
392167,0,200,55.8,49.12,1411803000,549674,67,1015,289.15,289.15,289.15,1411785556,1411828171,800,190,3,0,0,0,0,27,9,2014,8,"cmc stations","RU","Sky is Clear","01d","Clear"
392168,0,200,55.8,49.12,1411806600,496997.666666667,67,1015,290.15,290.15,290.15,1411785556,1411828171,800,190,3,0,0,0,0,27,9,2014,9,"cmc stations","RU","Sky is Clear","01d","Clear"
392169,0,200,55.8,49.12,1411810200,496997.666666667,67,1015,290.15,290.15,290.15,1411785556,1411828171,800,170,2,0,0,0,0,27,9,2014,10,"cmc stations","RU","Sky is Clear","01d","Clear"
392170,0,200,55.8,49.12,1411813800,551487,59,1015,291.15,291.15,291.15,1411785556,1411828171,800,200,2,0,0,0,0,27,9,2014,11,"cmc stations","RU","Sky is Clear","01d","Clear"
392171,0,200,55.8,49.12,1411816500,547861,61,1014.5,291.15,291.15,291.15,1411785556,1411828171,800,165,2,0,0,0,0,27,9,2014,12,"cmc stations","RU","Sky is Clear","01d","Clear"
392172,0,200,55.8,49.12,1411820100,547861,63,1014,291.15,291.15,291.15,1411785556,1411828171,800,140,3.5,0,0,0,0,27,9,2014,13,"cmc stations","RU","Sky is Clear","01d","Clear"
392173,0,200,55.8,49.12,1411824600,547861,67,1013,290.15,290.15,290.15,1411785556,1411828171,800,160,4,0,0,0,0,27,9,2014,14,"cmc stations","RU","Sky is Clear","01d","Clear"
392174,0,200,55.8,49.12,1411828200,469753,77,1013,288.15,288.15,288.15,1411785556,1411828171,800,180,3,0,0,0,0,27,9,2014,15,"cmc stations","RU","Sky is Clear","01n","Clear"
392175,0,200,55.8,49.12,1411830450,551487,83.25,1013,285.9,285.9,285.9,1411785556,1411828171,800,170,3,0,0,0,0,27,9,2014,16,"cmc stations","RU","Sky is Clear","01n","Clear"
392176,0,200,55.8,49.12,1411834500,510620,84,1013,285.15,285.15,285.15,1411785556,1411828171,800,165,3,0,0,0,0,27,9,2014,17,"cmc stations","RU","Sky is Clear","01n","Clear"
392177,0,200,55.8,49.12,1411838400,524242.333333333,83,1013,284.816666666667,284.816666666667,284.816666666667,1411785556,1411828171,800,163.333333333333,3,0,0,0,0,27,9,2014,18,"cmc stations","RU","Sky is Clear","01n","Clear"
392178,0,200,55.8,49.12,1411841700,469753,87,1013,284.15,284.15,284.15,1411785556,1411828171,800,165,3,0,0,0,0,27,9,2014,19,"cmc stations","RU","Sky is Clear","01n","Clear"
392179,0,200,55.8,49.12,1411845300,510620,87,1012.5,283.65,283.65,283.65,1411785556,1411828171,800,175,3,0,0,0,0,27,9,2014,20,"cmc stations","RU","Sky is Clear","01n","Clear"
392180,0,200,55.8,49.12,1411848600,521825,83,1012,283.816666666667,283.816666666667,283.816666666667,1411785556,1411828171,800,163.333333333333,3,0,0,0,0,27,9,2014,21,"cmc stations","RU","Sky is Clear","01n","Clear"
392181,0,200,55.8,49.12,1411852800,5611932.33333333,87,1012,284.15,284.15,284.15,1411785556,1411828171,800,163.333333333333,2.66666666666667,0,0,0,0,27,9,2014,22,"cmc stations","RU","Sky is Clear","01n","Clear"
392182,0,200,55.8,49.12,1411857000,547861,87,1012,283.15,283.15,283.15,1411785556,1411828171,800,170,2,0,0,0,0,27,9,2014,23,"cmc stations","RU","Sky is Clear","01n","Clear"
392183,0,200,55.8,49.12,1411860600,469753,93,1011,282.15,282.15,282.15,1411872073,1411914413,800,170,3,0,0,0,0,28,9,2014,0,"cmc stations","RU","Sky is Clear","01n","Clear"
392184,0,200,55.8,49.12,1411863300,547861,93,1011,281.65,281.65,281.65,1411872073,1411914413,800,165,2.5,0,0,0,0,28,9,2014,1,"cmc stations","RU","Sky is Clear","01n","Clear"
392185,37.5,200,55.8,49.12,1411866900,548767.5,93,1011,281.65,281.65,281.65,1411872073,1411914413,770.5,165,2.5,0,0,0,0,28,9,2014,2,"cmc stations","RU","fog","50n","Fog"
392186,75,200,55.8,49.12,1411871400,3081709.66666667,87,1011,281.15,281.15,281.15,1411872073,1411914413,701,150,3,0,0,0,0,28,9,2014,3,"cmc stations","RU","mist","50n","Mist"
392187,75,200,55.8,49.12,1411875000,547861,93,1011,282.15,282.15,282.15,1411872073,1411914413,741,160,3,0,0,0,0,28,9,2014,4,"cmc stations","RU","fog","50d","Fog"
392188,0,200,55.8,49.12,1411876800,547861,93,1011,283.15,283.15,283.15,1411872073,1411914413,800,170,3,0,0,0,0,28,9,2014,5,"cmc stations","RU","Sky is Clear","01d","Clear"
392189,0,200,55.8,49.12,1411881000,495789,77.6666666666667,1011,285.15,285.15,285.15,1411872073,1411914413,800,173.333333333333,3.66666666666667,0,0,0,0,28,9,2014,6,"cmc stations","RU","Sky is Clear","01d","Clear"
392190,0,200,55.8,49.12,1411884900,547861,73.5,1011,286.65,286.65,286.65,1411872073,1411914413,800,185,3,0,0,0,0,28,9,2014,7,"cmc stations","RU","Sky is Clear","01d","Clear"
392191,0,200,55.8,49.12,1411888800,524242.333333333,67,1011,287.15,287.15,287.15,1411872073,1411914413,800,233.333333333333,4,0,0,0,0,28,9,2014,8,"cmc stations","RU","Sky is Clear","01d","Clear"
392192,0,200,55.8,49.12,1411893000,524242.333333333,62,1011,288.15,288.15,288.15,1411872073,1411914413,800,260,5,0,0,0,0,28,9,2014,9,"cmc stations","RU","Sky is Clear","01d","Clear"
392193,37.5,200,55.8,49.12,1411895700,551487,62,1011,288.15,288.15,288.15,1411872073,1411914413,801.5,270,5,0,0,0,0,28,9,2014,10,"cmc stations","RU","Sky is Clear","01d","Clear"
392194,75,200,55.8,49.12,1411899300,508807,52.5,1011,288.15,288.15,288.15,1411872073,1411914413,803,260,5,0,0,0,0,28,9,2014,11,"cmc stations","RU","broken clouds","04d","Clouds"
392195,75,200,55.8,49.12,1411902600,523033.666666667,55.3333333333333,1011,288.15,288.15,288.15,1411872073,1411914413,803,273.333333333333,4,0,0,0,0,28,9,2014,12,"cmc stations","RU","broken clouds","04d","Clouds"
392196,75,200,55.8,49.12,1411906500,508807,56,1011,288.15,288.15,288.15,1411872073,1411914413,803,260,4.5,0,0,0,0,28,9,2014,13,"cmc stations","RU","broken clouds","04d","Clouds"
392197,75,200,55.8,49.12,1411910100,528334,62,1011,287.15,287.15,287.15,1411872073,1411914413,803,275,4.5,0,0,0,0,28,9,2014,14,"cmc stations","RU","broken clouds","04d","Clouds"
392198,75,200,55.8,49.12,1411913700,510620,66,1012,286.15,286.15,286.15,1411872073,1411914413,803,270,6,0,0,0,0,28,9,2014,15,"cmc stations","RU","broken clouds","04d","Clouds"
392199,75,200,55.8,49.12,1411918200,547861,81,1012,284.15,284.15,284.15,1411872073,1411914413,803,280,7,0,0,0,0,28,9,2014,16,"cmc stations","RU","broken clouds","04n","Clouds"
392200,75,200,55.8,49.12,1411920720,547861,78,1012.4,283.75,283.75,283.75,1411872073,1411914413,803,286,4.2,0,0,0,0,28,9,2014,17,"cmc stations","RU","broken clouds","04n","Clouds"
392201,0,200,55.8,49.12,1411923600,547861,87,1013,282.15,282.15,282.15,1411872073,1411914413,800,270,3,0,0,0,0,28,9,2014,18,"cmc stations","RU","Sky is Clear","01n","Clear"
392202,0,200,55.8,49.12,1411927200,551487,87,1013,281.15,281.15,281.15,1411872073,1411914413,800,280,3,0,0,0,0,28,9,2014,19,"cmc stations","RU","Sky is Clear","01n","Clear"
392203,0,200,55.8,49.12,1411930800,551487,87,1013,281.15,281.15,281.15,1411872073,1411914413,800,270,4,0,0,0,0,28,9,2014,20,"cmc stations","RU","Sky is Clear","01n","Clear"
392204,0,200,55.8,49.12,1411936200,548465.333333333,93,1013,280.15,280.15,280.15,1411872073,1411914413,800,250,3,0,0,0,0,28,9,2014,21,"cmc stations","RU","Sky is Clear","01n","Clear"
392205,0,200,55.8,49.12,1411939800,550278.333333333,93,1013,279.15,279.15,279.15,1411872073,1411914413,800,230,2,0,0,0,0,28,9,2014,22,"cmc stations","RU","Sky is Clear","01n","Clear"
392206,0,200,55.8,49.12,1411943400,547861,100,1013,278.15,278.15,278.15,1411872073,1411914413,800,240,2,0,0,0,0,28,9,2014,23,"cmc stations","RU","Sky is Clear","01n","Clear"
392207,0,200,55.8,49.12,1411946100,549674,100,1013,277.65,277.65,277.65,1411958591,1412000656,800,110,2,0,0,0,0,29,9,2014,0,"cmc stations","RU","Sky is Clear","01n","Clear"
392208,0,200,55.8,49.12,1411948800,524242.333333333,100,1013,278.15,278.15,278.15,1411958591,1412000656,800,230,2,0,0,0,0,29,9,2014,1,"cmc stations","RU","Sky is Clear","01n","Clear"
392209,0,200,55.8,49.12,1411953300,510620,96.5,1013,277.65,277.65,277.65,1411958591,1412000656,800,240,2.5,0,0,0,0,29,9,2014,2,"cmc stations","RU","Sky is Clear","01n","Clear"
392210,0,200,55.8,49.12,1411957800,551487,100,1013,276.15,276.15,276.15,1411958591,1412000656,800,220,2,0,0,0,0,29,9,2014,3,"cmc stations","RU","Sky is Clear","01n","Clear"
392211,20,200,55.8,49.12,1411961400,551487,100,1013,278.15,278.15,278.15,1411958591,1412000656,801,260,3,0,0,0,0,29,9,2014,4,"cmc stations","RU","few clouds","02d","Clouds"
392212,40,200,55.8,49.12,1411963200,551487,93,1013,280.15,280.15,280.15,1411958591,1412000656,802,250,4,0,0,0,0,29,9,2014,5,"cmc stations","RU","scattered clouds","03d","Clouds"
392213,30,200,55.8,49.12,1411967520,500996.2,87,1013,281.15,281.15,281.15,1411958591,1412000656,801.2,230,2.6,0,0,0,0,29,9,2014,6,"cmc stations","RU","Sky is Clear","01d","Clear"
392214,75,200,55.8,49.12,1411971300,547861,81,1013.5,282.65,282.65,282.65,1411958591,1412000656,803,235,2.5,0,0,0,0,29,9,2014,7,"cmc stations","RU","broken clouds","04d","Clouds"
392215,50,200,55.8,49.12,1411975200,495789,72.6666666666667,1013,283.816666666667,283.816666666667,283.816666666667,1411958591,1412000656,802,230,3,0,0,0,0,29,9,2014,8,"cmc stations","RU","broken clouds","04d","Clouds"
392216,0,200,55.8,49.12,1411978800,524242.333333333,66,1013,285.816666666667,285.816666666667,285.816666666667,1411958591,1412000656,800,233.333333333333,4,0,0,0,0,29,9,2014,9,"cmc stations","RU","Sky is Clear","01d","Clear"
392217,75,200,55.8,49.12,1411981200,549674,66,1013,286.15,286.15,286.15,1411958591,1412000656,803,230,4,0,0,0,0,29,9,2014,10,"cmc stations","RU","broken clouds","04d","Clouds"
392218,75,200,55.8,49.12,1411984800,510620,62,1013,286.15,286.15,286.15,1411958591,1412000656,803,250,4,0,0,0,0,29,9,2014,11,"cmc stations","RU","broken clouds","04d","Clouds"
392219,75,200,55.8,49.12,1411988400,547861,66,1013,286.15,286.15,286.15,1411958591,1412000656,803,250,4,0,0,0,0,29,9,2014,12,"cmc stations","RU","broken clouds","04d","Clouds"
392220,75,200,55.8,49.12,1411993200,550278.333333333,76,1012.33333333333,285.15,285.15,285.15,1411958591,1412000656,708.666666666667,276.666666666667,3.33333333333333,0,0,0,0,29,9,2014,13,"cmc stations","RU","broken clouds","04d","Clouds"
392221,75,200,55.8,49.12,1411996050,528334,76,1012,285.15,285.15,285.15,1411958591,1412000656,803,260,4.25,0,0,0,0,29,9,2014,14,"cmc stations","RU","broken clouds","04d","Clouds"
