"houred","clouds_all","cod","coord_lat","coord_lon","dt","id","main_humidity","main_pressure","main_temp","main_temp_max","main_temp_min","sys_sunrise","sys_sunset","weather_id","wind_deg","wind_speed","rain_1h","rain_3h","snow_1h","snow_3h","day","month","year","hour","base","sys_country","weather_description","weather_icon","weather_main"
392145,75,200,46.06,14.5,1411722910,3239318,100,1024,285.15,289.15,281.15,1411707271,1411750310,803,0,0.5,0,0,0,0,26,9,2014,10,"cmc stations","SI","broken clouds","04d","Clouds"
392146,40,200,46.06,14.5,1411727981.6,3239318,91.8,1023,287.506,292.47,283.15,1411707271,1411750310,802,112,1.62,0,0,0,0,26,9,2014,11,"cmc stations","SI","scattered clouds","03d","Clouds"
392147,40,200,46.06,14.5,1411731463.5,3217838.5,76,1023,290.055,293.75,287.15,1411707271,1411750310,802,100,1.5,0,0,0,0,26,9,2014,12,"cmc stations","SI","scattered clouds","03d","Clouds"
392148,40,200,46.06,14.5,1411733679.5,3219330.75,67,1022,290.995,293.675,289.15,1411707271,1411750310,802,90,2.1,0,0,0,0,26,9,2014,13,"cmc stations","SI","scattered clouds","03d","Clouds"
392149,40,200,46.06,14.5,1411737696.8,3239318,55.8,1021.2,291.336,294.03,289.95,1411707271,1411750310,802,110,2.1,0,0,0,0,26,9,2014,14,"cmc stations","SI","scattered clouds","03d","Clouds"
392150,24.75,200,46.06,14.5,1411741654,3228578.25,48.75,1022,291.5475,292.7,290.8,1411707271,1411750310,800.75,219.37575,1.6275,0,0,0,0,26,9,2014,15,"cmc stations","SI","sky is clear","02d","Clear"
392151,75,200,46.06,14.5,1411746537.8,3239318,56.8,1021,290.114,290.41,289.57,1411707271,1411750310,803,110,1.1,0,0,0,0,26,9,2014,16,"cmc stations","SI","broken clouds","04d","Clouds"
392152,75,200,46.06,14.5,1411749793,3217838.5,69.5,1021,288.645,289.15,288.1,1411707271,1411750310,652,15,0.5,0.6,0,0,0,26,9,2014,17,"cmc stations","SI","broken clouds","04d","Clouds"
392153,75,200,46.06,14.5,1411752017.6,3213111.4,78,1021,287.638,287.95,287.01,1411707271,1411750310,561.4,48.5004,0.972,0.96,0,0,0,26,9,2014,18,"cmc stations","SI","moderate rain","10n","Rain"
392154,75,200,46.06,14.5,1411756986,3239318,87,1022,286.45,287.15,286.016666666667,1411707271,1411750310,803,143.669,0.746666666666667,0,0,0,0,26,9,2014,19,"cmc stations","SI","broken clouds","04n","Clouds"
392155,75,200,46.06,14.5,1411759588.75,3217838.5,90,1022.5,286.065,286.65,285.55,1411707271,1411750310,651.5,64,0.73,0,0,0,0,26,9,2014,20,"cmc stations","SI","light rain","10n","Rain"
392156,75,200,46.06,14.5,1411763427,3239318,93,1023,285.5,286.15,285.15,1411707271,1411750310,803,128,0.96,0,0,0,0,26,9,2014,21,"cmc stations","SI","broken clouds","04n","Clouds"
392157,75,200,46.06,14.5,1411767529.66667,3239318,100,1023,284.493333333333,284.916666666667,284.15,1411707271,1411750310,803,168.666666666667,0.973333333333333,0,0,0,0,26,9,2014,22,"cmc stations","SI","broken clouds","04n","Clouds"
392158,75,200,46.06,14.5,1411770640.5,3239318,100,1023,284.46,284.9,284.15,1411707271,1411750310,803,140,1,0,0,0,0,26,9,2014,23,"cmc stations","SI","broken clouds","04n","Clouds"
392159,75,200,46.06,14.5,1411773433.4,3239318,97.2,1023,284.398,284.75,284.07,1411707271,1411750310,633.2,228.6004,1.284,0,0,0,0,27,9,2014,0,"cmc stations","SI","light intensity shower rain","09n","Rain"
392160,63.3333333333333,200,46.06,14.5,1411776574.66667,3226988,93,1023.33333333333,283.896666666667,284.15,283.55,1411793748,1411836593,802.666666666667,151.501,0.96,0,0,0,0,27,9,2014,1,"cmc stations","SI","broken clouds","04n","Clouds"
392161,40,200,46.06,14.5,1411781647.66667,3197630,93,1024,283.413333333333,284.15,282.816666666667,1411793748,1411836593,802,114.167133333333,0.973333333333333,0,0,0,0,27,9,2014,2,"cmc stations","SI","scattered clouds","03n","Clouds"
392162,48.75,200,46.06,14.5,1411785203.5,3228308.75,94.75,1024,282.9,283.425,282.15,1411793748,1411836593,802.25,153.1251,1.13,0,0,0,0,27,9,2014,3,"cmc stations","SI","scattered clouds","03n","Clouds"
392163,40,200,46.06,14.5,1411790311,3239318,100,1024,282.61,283.15,282.15,1411793748,1411836593,802,0,0.5,0,0,0,0,27,9,2014,4,"cmc stations","SI","scattered clouds","03n","Clouds"
392164,40,200,46.06,14.5,1411792627.5,3239318,100,1025,281.825,282.2,281.15,1411793748,1411836593,802,280,0.75,0,0,0,0,27,9,2014,5,"cmc stations","SI","scattered clouds","03n","Clouds"
