"houred","clouds_all","cod","coord_lat","coord_lon","dt","id","main_humidity","main_pressure","main_temp","main_temp_max","main_temp_min","sys_sunrise","sys_sunset","weather_id","wind_deg","wind_speed","rain_1h","rain_3h","snow_1h","snow_3h","day","month","year","hour","base","sys_country","weather_description","weather_icon","weather_main"
392145,0,200,43.3,5.38,1411722004,7284885,63,1022,290.82,292.15,289.75,1411709441,1411752517,800,0,1,0,0,0,0,26,9,2014,10,"cmc stations","FR","Sky is Clear","01d","Clear"
392146,0,200,43.3,5.38,1411726504.5,5140177,56,1023,293.495,294.15,292.95,1411709441,1411752517,800,0,1.5,0,0,0,0,26,9,2014,11,"cmc stations","FR","Sky is Clear","01d","Clear"
392147,0,200,43.3,5.38,1411730102,5140177,53.75,1023,295.3675,295.775,295.05,1411709441,1411752517,800,250,2.725,0,0,0,0,26,9,2014,12,"cmc stations","FR","Sky is Clear","01d","Clear"
392148,13.3333333333333,200,43.3,5.38,1411734304.66667,5855079.66666667,53,1022.33333333333,297.496666666667,298.85,296.15,1411709441,1411752517,800.666666666667,256.666666666667,2.43333333333333,0,0,0,0,26,9,2014,13,"cmc stations","FR","few clouds","02d","Clouds"
392149,20,200,43.3,5.38,1411738564,7117336.4,45.8,1022,298.518,299.47,297.75,1411709441,1411752517,801,260,3,0,0,0,0,26,9,2014,14,"cmc stations","FR","few clouds","02d","Clouds"
392150,0,200,43.3,5.38,1411741803,5140177,44,1022,298.475,299.25,297.65,1411709441,1411752517,800,255,4.1,0,0,0,0,26,9,2014,15,"cmc stations","FR","Sky is Clear","01d","Clear"
392151,0,200,43.3,5.38,1411745104.66667,2995469,44,1021,298.62,299.25,298.15,1411709441,1411752517,800,256.666666666667,3.6,0,0,0,0,26,9,2014,16,"cmc stations","FR","Sky is Clear","01d","Clear"
392152,0,200,43.3,5.38,1411749453,5140177,49.25,1021,297.1375,297.4,296.775,1411709441,1411752517,800,277.5,4.6,0,0,0,0,26,9,2014,17,"cmc stations","FR","Sky is Clear","01d","Clear"
392153,0,200,43.3,5.38,1411752602,2995469,50,1021,295.75,297.15,294.45,1411709441,1411752517,800,300,4.6,0,0,0,0,26,9,2014,18,"cmc stations","FR","Sky is Clear","01n","Clear"
392154,0,200,43.3,5.38,1411755752,4067823,51.75,1021,293.6675,295.15,292.3,1411709441,1411752517,800,300,4.35,0,0,0,0,26,9,2014,19,"cmc stations","FR","Sky is Clear","01n","Clear"
392155,0,200,43.3,5.38,1411759353,6866013.5,55.5,1021.5,291.56,293.65,289.65,1411709441,1411752517,800,150,3.05,0,0,0,0,26,9,2014,20,"cmc stations","FR","Sky is Clear","01n","Clear"
392156,0,200,43.3,5.38,1411762953.5,5140182,61,1021.5,290.215,292.65,287.85,1411709441,1411752517,800,305,2.8,0,0,0,0,26,9,2014,21,"cmc stations","FR","Sky is Clear","01n","Clear"
392157,0,200,43.3,5.38,1411766103,5140179.5,60,1022,289.26,291.9,286.875,1411709441,1411752517,800,307.5,3.225,0,0,0,0,26,9,2014,22,"cmc stations","FR","Sky is Clear","01n","Clear"
392158,0,200,43.3,5.38,1411770154,7284885,67,1022,288.32,290.15,286.2,1411709441,1411752517,800,310,2.6,0,0,0,0,26,9,2014,23,"cmc stations","FR","Sky is Clear","01n","Clear"
392159,0,200,43.3,5.38,1411773843.6,2986889,69,1022,287.638,289.35,285.75,1411744028.2,1411787033.8,800,320,2.3,0,0,0,0,27,9,2014,0,"cmc stations","FR","Sky is Clear","01n","Clear"
392160,0,200,43.3,5.38,1411777802,6447142,82,1022,286.06,287.15,285.25,1411795909,1411838809,800,130,2.1,0,0,0,0,27,9,2014,1,"cmc stations","FR","Sky is Clear","01n","Clear"
392161,0,200,43.3,5.38,1411780503,7284885,82,1022,285.64,286.15,284.95,1411795909,1411838809,800,130,2.1,0,0,0,0,27,9,2014,2,"cmc stations","FR","Sky is Clear","01n","Clear"
392162,0,200,43.3,5.38,1411783654,2995469,81,1022,284.86,285.15,284.15,1411795909,1411838809,800,130,2.1,0,0,0,0,27,9,2014,3,"cmc stations","FR","Sky is Clear","01n","Clear"
392163,0,200,43.3,5.38,1411787705,7284885,81,1022,284.4,285.15,283.15,1411795909,1411838809,800,130,2.6,0,0,0,0,27,9,2014,4,"cmc stations","FR","Sky is Clear","01n","Clear"
392164,0,200,43.3,5.38,1411792203,5140182,87,1022,284.12,285.5,282.15,1411795909,1411838809,800,125,2.1,0,0,0,0,27,9,2014,5,"cmc stations","FR","Sky is Clear","01n","Clear"
392165,0,200,43.3,5.38,1411796102,2995469,87,1022,284.17,286.05,281.483333333333,1411795909,1411838809,800,126.666666666667,1.9,0,0,0,0,27,9,2014,6,"cmc stations","FR","Sky is Clear","01d","Clear"
392166,0,200,43.3,5.38,1411799404,5855079.66666667,87,1023,284.79,286.95,282.15,1411795909,1411838809,800,130,2.6,0,0,0,0,27,9,2014,7,"cmc stations","FR","Sky is Clear","01d","Clear"
392167,0,200,43.3,5.38,1411803902,6866018.5,82,1024,287.78,289.45,286.15,1411795909,1411838809,800,114.501,3.53,0,0,0,0,27,9,2014,8,"cmc stations","FR","Sky is Clear","01d","Clear"
392168,0,200,43.3,5.38,1411806604,2995469,60,1024,291.846666666667,294.15,290.95,1411795909,1411838809,800,0,1.5,0,0,0,0,27,9,2014,9,"cmc stations","FR","Sky is Clear","01d","Clear"
392169,0,200,43.3,5.38,1411809754,7284895,58,1024,293.69,295.15,292.75,1411795909,1411838809,800,140,1.8,0,0,0,0,27,9,2014,10,"cmc stations","FR","Sky is Clear","01d","Clear"
