"houred","clouds_all","cod","coord_lat","coord_lon","dt","id","main_humidity","main_pressure","main_temp","main_temp_max","main_temp_min","sys_sunrise","sys_sunset","weather_id","wind_deg","wind_speed","rain_1h","rain_3h","snow_1h","snow_3h","day","month","year","hour","base","sys_country","weather_description","weather_icon","weather_main"
392145,75,200,50.46,4.86,1411724400,2790471,82,1025,287.556666666667,287.816666666667,286.816666666667,1411709624,1411752584,803,230,5.7,0,0,0,0,26,9,2014,10,"cmc stations","BE","broken clouds","04d","Clouds"
392146,40,200,50.46,4.86,1411727400,2790470.33333333,75.3333333333333,1025,288.643333333333,289.483333333333,288.15,1411709624,1411752584,802,240,6.53333333333333,0,0,0,0,26,9,2014,11,"cmc stations","BE","scattered clouds","03d","Clouds"
392147,63.3333333333333,200,50.46,4.86,1411731600,2794077.33333333,72,1026,289.32,290.15,288.816666666667,1411709624,1411752584,802.666666666667,240,6.36666666666667,0,0,0,0,26,9,2014,12,"cmc stations","BE","broken clouds","04d","Clouds"
392148,33.3333333333333,200,50.46,4.86,1411734600,2790470.66666667,67,1025,289.89,290.15,289.15,1411709624,1411752584,801.666666666667,233.333333333333,5.5,0,0,0,0,26,9,2014,13,"cmc stations","BE","scattered clouds","03d","Clouds"
392149,15,200,50.46,4.86,1411738050,2792521.75,67,1025,290.15,290.15,290.15,1411709624,1411752584,800.75,240,5.25,0,0,0,0,26,9,2014,14,"cmc stations","BE","few clouds","02d","Clouds"
392150,20,200,50.46,4.86,1411741800,2798436.66666667,63,1025,290.15,290.15,290.15,1411709624,1411752584,801,236.666666666667,5.86666666666667,0,0,0,0,26,9,2014,15,"cmc stations","BE","few clouds","02d","Clouds"
392151,35,200,50.46,4.86,1411746150,2790470.5,67,1025,289.89,290.15,289.15,1411709624,1411752584,801.75,240,4.725,0,0,0,0,26,9,2014,16,"cmc stations","BE","scattered clouds","03d","Clouds"
392152,75,200,50.46,4.86,1411749300,2790471,67,1025.5,289.89,290.15,289.15,1411709624,1411752584,803,245,2.85,0,0,0,0,26,9,2014,17,"cmc stations","BE","broken clouds","04d","Clouds"
392153,20,200,50.46,4.86,1411752450,2799328,67,1025.25,289.575,290.15,288.9,1411709624,1411752584,801,212.5,2.6,0,0,0,0,26,9,2014,18,"cmc stations","BE","few clouds","02d","Clouds"
392154,20,200,50.46,4.86,1411756500,2793175.75,72,1026,289.0125,289.65,288.15,1411709624,1411752584,801,215,2.1,0,0,0,0,26,9,2014,19,"cmc stations","BE","few clouds","02n","Clouds"
392155,75,200,50.46,4.86,1411760100,2790471.5,74.5,1026,288.89,289.15,288.15,1411709624,1411752584,556.5,235,2.35,0,0,0,0,26,9,2014,20,"cmc stations","BE","light intensity drizzle rain","09n","Drizzle"
392156,75,200,50.46,4.86,1411763700,2790471.5,82,1027,288.64,289.15,288.15,1411709624,1411752584,752,260,1.5,0,0,0,0,26,9,2014,21,"cmc stations","BE","broken clouds","04n","Clouds"
392157,75,200,50.46,4.86,1411767300,2790470.5,85,1027,288.27,288.65,288.15,1411709624,1411752584,701,0,0.75,0,0,0,0,26,9,2014,22,"cmc stations","BE","mist","50n","Mist"
392158,75,200,50.46,4.86,1411771800,2790470,93,1027,288.15,288.15,288.15,1411709624,1411752584,701,0,1,0,0,0,0,26,9,2014,23,"cmc stations","BE","mist","50n","Mist"
392159,92,200,50.46,4.86,1411773600,2801290,93,1027,288.15,288.15,288.15,1411709624,1411752584,701,0,1,0,0,0,0,27,9,2014,0,"cmc stations","BE","mist","50n","Mist"
392160,75,200,50.46,4.86,1411777200,2797684,93,1027,288.15,288.15,288.15,1411796116,1411838850,701,0,0.5,0,0,0,0,27,9,2014,1,"cmc stations","BE","mist","50n","Mist"
392161,75,200,50.46,4.86,1411780800,2794711,100,1027,287.66,288.15,287.15,1411796116,1411838850,701,0,0.5,0,0,0,0,27,9,2014,2,"cmc stations","BE","mist","50n","Mist"
392162,75,200,50.46,4.86,1411784400,2790470,93,1027,287.9,288.15,287.15,1411796116,1411838850,701,110,0.5,0,0,0,0,27,9,2014,3,"cmc stations","BE","mist","50n","Mist"
392163,75,200,50.46,4.86,1411788900,2795880.5,93,1027,287.9,288.15,287.15,1411796116,1411838850,701,30,1.25,0,0,0,0,27,9,2014,4,"cmc stations","BE","mist","50n","Mist"
392164,75,200,50.46,4.86,1411791600,2802389,93,1027,287.89,288.15,287.15,1411796116,1411838850,701,0,1,0,0,0,0,27,9,2014,5,"cmc stations","BE","mist","50n","Mist"
