"houred","clouds_all","cod","coord_lat","coord_lon","dt","id","main_humidity","main_pressure","main_temp","main_temp_max","main_temp_min","sys_sunrise","sys_sunset","weather_id","wind_deg","wind_speed","rain_1h","rain_3h","snow_1h","snow_3h","day","month","year","hour","base","sys_country","weather_description","weather_icon","weather_main"
392145,0,200,47.22,-1.56,1411722900,3011118,55.5,1026,290.82,291.65,290.15,1411711138,1411754150,800,0,1.25,0,0,0,0,26,9,2014,10,"cmc stations","FR","Sky is Clear","01d","Clear"
392146,0,200,47.22,-1.56,1411725600,4131222.33333333,49,1026,292.6,293.15,292.15,1411711138,1411754150,800,0,1.5,0,0,0,0,26,9,2014,11,"cmc stations","FR","Sky is Clear","01d","Clear"
392147,0,200,47.22,-1.56,1411729800,6441039.66666667,43,1026,294.483333333333,294.483333333333,294.483333333333,1411711138,1411754150,800,43.3333333333333,1.7,0,0,0,0,26,9,2014,12,"cmc stations","FR","Sky is Clear","01d","Clear"
392148,0,200,47.22,-1.56,1411733520,2990969,40,1026,295.15,295.15,295.15,1411711138,1411754150,800,78,1.86,0,0,0,0,26,9,2014,13,"cmc stations","FR","Sky is Clear","01d","Clear"
392149,0,200,47.22,-1.56,1411738200,2990969,38,1025,295.6,296.15,295.15,1411711138,1411754150,800,60,2.1,0,0,0,0,26,9,2014,14,"cmc stations","FR","Sky is Clear","01d","Clear"
392150,0,200,47.22,-1.56,1411740450,3850047.75,37.5,1025,296.26,296.4,296.15,1411711138,1411754150,800,227.5,2.1,0,0,0,0,26,9,2014,15,"cmc stations","FR","Sky is Clear","01d","Clear"
392151,0,200,47.22,-1.56,1411745040,4364055.2,38.4,1025,296.15,296.15,296.15,1411711138,1411754150,800,66,1.62,0,0,0,0,26,9,2014,16,"cmc stations","FR","Sky is Clear","01d","Clear"
392152,0,200,47.22,-1.56,1411749000,4709126.5,38,1025,295.04,296.15,294.15,1411711138,1411754150,800,0,1.5,0,0,0,0,26,9,2014,17,"cmc stations","FR","Sky is Clear","01d","Clear"
392153,0,200,47.22,-1.56,1411752000,2980983.33333333,44,1025,293.55,294.483333333333,292.816666666667,1411711138,1411754150,800,30,1.7,0,0,0,0,26,9,2014,18,"cmc stations","FR","Sky is Clear","01d","Clear"
392154,0,200,47.22,-1.56,1411754400,5300078,55,1025,291.15,291.15,291.15,1411711138,1411754150,800,10,1.5,0,0,0,0,26,9,2014,19,"cmc stations","FR","Sky is Clear","01n","Clear"
