"houred","clouds_all","cod","coord_lat","coord_lon","dt","id","main_humidity","main_pressure","main_temp","main_temp_max","main_temp_min","sys_sunrise","sys_sunset","weather_id","wind_deg","wind_speed","rain_1h","rain_3h","snow_1h","snow_3h","day","month","year","hour","base","sys_country","weather_description","weather_icon","weather_main"
392145,20,200,43.46,-3.8,1411722000,3109718,67,1025,290.15,290.15,290.15,1411711647,1411754716,801,165.5,1.46,0,0,0,0,26,9,2014,10,"cmc stations","ES","few clouds","02d","Clouds"
392146,30,200,43.46,-3.8,1411726500,3112518,68,1025,291.65,291.65,291.65,1411711647,1411754716,801.5,10,1.25,0,0,0,0,26,9,2014,11,"cmc stations","ES","few clouds","02d","Clouds"
392147,20,200,43.46,-3.8,1411731000,3113122.33333333,68,1024,293.15,293.15,293.15,1411711647,1411754716,801,40,4.1,0,0,0,0,26,9,2014,12,"cmc stations","ES","few clouds","02d","Clouds"
392148,20,200,43.46,-3.8,1411734000,3111584.66666667,72,1024,292.15,292.15,292.15,1411711647,1411754716,801,40,5.5,0,0,0,0,26,9,2014,13,"cmc stations","ES","few clouds","02d","Clouds"
392149,20,200,43.46,-3.8,1411737840,3121686,71.2,1024,293.15,293.15,293.15,1411711647,1411754716,801,40,4.42,0,0,0,0,26,9,2014,14,"cmc stations","ES","few clouds","02d","Clouds"
392150,20,200,43.46,-3.8,1411741800,3116498,72,1023,293.15,293.15,293.15,1411711647,1411754716,801,40,5.1,0,0,0,0,26,9,2014,15,"cmc stations","ES","few clouds","02d","Clouds"
392151,20,200,43.46,-3.8,1411744500,3116498,70,1023,293.15,293.15,293.15,1411711647,1411754716,801,40,5.15,0,0,0,0,26,9,2014,16,"cmc stations","ES","few clouds","02d","Clouds"
392152,20,200,43.46,-3.8,1411748100,3112518,74.5,1023,292.15,292.15,292.15,1411711647,1411754716,801,45,5.4,0,0,0,0,26,9,2014,17,"cmc stations","ES","few clouds","02d","Clouds"
392153,20,200,43.46,-3.8,1411751700,3116498,70,1023,292.65,292.65,292.65,1411711647,1411754716,801,75,4.1,0,0,0,0,26,9,2014,18,"cmc stations","ES","few clouds","02d","Clouds"
392154,0,200,43.46,-3.8,1411754400,3109718,72,1023,292.15,292.15,292.15,1411711647,1411754716,800,80,2.6,0,0,0,0,26,9,2014,19,"cmc stations","ES","Sky is Clear","01d","Clear"
392155,0,200,43.46,-3.8,1411760457,3116498,87,1000.21,286.4745,286.4745,286.4745,1411711647,1411754716,800,71,1.53,0,0,0,0,26,9,2014,20,"cmc stations","ES","Sky is Clear","01n","Clear"
392156,0,200,43.46,-3.8,1411762200,3109718,80.3333333333333,1023,290.15,290.15,290.15,1411711647,1411754716,800,76.6666666666667,1.9,0,0,0,0,26,9,2014,21,"cmc stations","ES","Sky is Clear","01n","Clear"
392157,0,200,43.46,-3.8,1411766400,3109718,80.3333333333333,1023,289.483333333333,289.483333333333,289.483333333333,1411711647,1411754716,800,80,1.73333333333333,0,0,0,0,26,9,2014,22,"cmc stations","ES","Sky is Clear","01n","Clear"
392158,0,200,43.46,-3.8,1411770600,3116498,87,1023,288.15,288.15,288.15,1411711647,1411754716,800,144.001,1.06,0,0,0,0,26,9,2014,23,"cmc stations","ES","Sky is Clear","01n","Clear"
392159,0,200,43.46,-3.8,1411772400,3109718,87,1023,288.15,288.15,288.15,1411711647,1411754716,800,135,1.05,0,0,0,0,27,9,2014,0,"cmc stations","ES","Sky is Clear","01n","Clear"
392160,4,200,43.46,-3.8,1411776000,3109718,93,1022,286.15,286.15,286.15,1411798115,1411841007,701,150.5005,1.03,0,0,0,0,27,9,2014,1,"cmc stations","ES","mist","50n","Mist"
392161,0,200,43.46,-3.8,1411782313,3123278,88,975.23,277.686,277.686,277.686,1411798115,1411841007,800,163,1.01,0,0,0,0,27,9,2014,2,"cmc stations","ES","Sky is Clear","01n","Clear"
392162,0,200,43.46,-3.8,1411785340.33333,3109718,88,975.23,277.686,277.686,277.686,1411798115,1411841007,800,163,1.01,0,0,0,0,27,9,2014,3,"cmc stations","ES","Sky is Clear","01n","Clear"
392163,4,200,43.46,-3.8,1411787700,3109718,96.5,1021,285.15,285.15,285.15,1411798115,1411841007,750.5,160,1.005,0,0,0,0,27,9,2014,4,"cmc stations","ES","mist","50n","Mist"
392164,0,200,43.46,-3.8,1411792200,3109718,93,1021,286.15,286.15,286.15,1411798115,1411841007,800,166.007,1.05,0,0,0,0,27,9,2014,5,"cmc stations","ES","Sky is Clear","01n","Clear"
392165,0,200,43.46,-3.8,1411794900,3113108,93,1020,286.15,286.15,286.15,1411798115,1411841007,800,168.0035,0.775,0,0,0,0,27,9,2014,6,"cmc stations","ES","Sky is Clear","01n","Clear"
392166,0,200,43.46,-3.8,1411799400,3109718,93,1021,285.15,285.15,285.15,1411798115,1411841007,701,0,0.5,0,0,0,0,27,9,2014,7,"cmc stations","ES","mist","50d","Mist"
392167,0,200,43.46,-3.8,1411803000,3109718,100,1021,286.15,286.15,286.15,1411798115,1411841007,800,0,1,0,0,0,0,27,9,2014,8,"cmc stations","ES","Sky is Clear","01d","Clear"
392168,0,200,43.46,-3.8,1411805520,3114944.6,88.6,1021,287.95,287.95,287.95,1411798115,1411841007,800,71.4004,0.872,0,0,0,0,27,9,2014,9,"cmc stations","ES","Sky is Clear","01d","Clear"
392169,0,200,43.46,-3.8,1411809300,3123278,77,1021,290.15,290.15,290.15,1411798115,1411841007,800,179.751,1.47,0,0,0,0,27,9,2014,10,"cmc stations","ES","Sky is Clear","01d","Clear"
392170,0,200,43.46,-3.8,1411813800,3120624.66666667,68,1020,292.15,292.15,292.15,1411798115,1411841007,800,0,0.5,0,0,0,0,27,9,2014,11,"cmc stations","ES","Sky is Clear","01d","Clear"
392171,0,200,43.46,-3.8,1411816950,3109718,68,1020,292.9,292.9,292.9,1411798115,1411841007,800,50,1.95,0,0,0,0,27,9,2014,12,"cmc stations","ES","Sky is Clear","01d","Clear"
392172,0,200,43.46,-3.8,1411821000,3109718,56,1019,294.15,294.15,294.15,1411798115,1411841007,800,10,1.5,0,0,0,0,27,9,2014,13,"cmc stations","ES","Sky is Clear","01d","Clear"
392173,0,200,43.46,-3.8,1411822800,3118758,64,1019,294.15,294.15,294.15,1411798115,1411841007,800,50,2.1,0,0,0,0,27,9,2014,14,"cmc stations","ES","Sky is Clear","01d","Clear"
392174,0,200,43.46,-3.8,1411828200,3114508,68,1018,294.15,294.15,294.15,1411798115,1411841007,800,50,1.5,0,0,0,0,27,9,2014,15,"cmc stations","ES","Sky is Clear","01d","Clear"
392175,0,200,43.46,-3.8,1411831800,3109718,60,1018,295.15,295.15,295.15,1411798115,1411841007,800,0,1,0,0,0,0,27,9,2014,16,"cmc stations","ES","Sky is Clear","01d","Clear"
392176,0,200,43.46,-3.8,1411834500,3109718,70.5,1018,294.15,294.15,294.15,1411798115,1411841007,800,0,1,0,0,0,0,27,9,2014,17,"cmc stations","ES","Sky is Clear","01d","Clear"
392177,20,200,43.46,-3.8,1411839000,3109718,73,1018,294.15,294.15,294.15,1411798115,1411841007,801,146.502,0.71,0,0,0,0,27,9,2014,18,"cmc stations","ES","few clouds","02d","Clouds"
392178,0,200,43.46,-3.8,1411841700,3109718,79.5,1018,292.65,292.65,292.65,1411798115,1411841007,800,285,1,0,0,0,0,27,9,2014,19,"cmc stations","ES","Sky is Clear","01d","Clear"
392179,0,200,43.46,-3.8,1411846200,3109718,88,1018,291.15,291.15,291.15,1411798115,1411841007,800,270,1,0,0,0,0,27,9,2014,20,"cmc stations","ES","Sky is Clear","01n","Clear"
