"houred","clouds_all","cod","coord_lat","coord_lon","dt","id","main_humidity","main_pressure","main_temp","main_temp_max","main_temp_min","sys_sunrise","sys_sunset","weather_id","wind_deg","wind_speed","rain_1h","rain_3h","snow_1h","snow_3h","day","month","year","hour","base","sys_country","weather_description","weather_icon","weather_main"
392145,0,200,37.38,-5.98,1411722000,6361046,68,1020,301.11,311.15,295.15,1411712128,1411755282,800,0,1,0,0,0,0,26,9,2014,10,"cmc stations","ES","Sky is Clear","01d","Clear"
392146,0,200,37.38,-5.98,1411726200,3797230.33333333,57.6666666666667,1020,301.916666666667,311.15,296.483333333333,1411712128,1411755282,800,26.6666666666667,1.5,0,0,0,0,26,9,2014,11,"cmc stations","ES","Sky is Clear","01d","Clear"
392147,0,200,37.38,-5.98,1411729200,6361044,47,1020,303.4,312.15,298.15,1411712128,1411755282,800,20,1.5,0,0,0,0,26,9,2014,12,"cmc stations","ES","Sky is Clear","01d","Clear"
392148,10,200,37.38,-5.98,1411733700,4435978.5,38.5,1019,304.4075,312.15,299.15,1411712128,1411755282,800.5,25,1,0,0,0,0,26,9,2014,13,"cmc stations","ES","Sky is Clear","01d","Clear"
392149,20,200,37.38,-5.98,1411737000,2510911,33.3333333333333,1018,303.803333333333,310.15,300.15,1411712128,1411755282,801,26.6666666666667,0.666666666666667,0,0,0,0,26,9,2014,14,"cmc stations","ES","few clouds","02d","Clouds"
392150,20,200,37.38,-5.98,1411740900,4435978.5,32,1017.5,302.77,308.15,298.15,1411712128,1411755282,801,305,1.8,0,0,0,0,26,9,2014,15,"cmc stations","ES","few clouds","02d","Clouds"
392151,20,200,37.38,-5.98,1411743600,6361046,39,1017,303.25,307.15,301.15,1411712128,1411755282,801,90,4.1,0,0,0,0,26,9,2014,16,"cmc stations","ES","few clouds","02d","Clouds"
392152,20,200,37.38,-5.98,1411748100,4435977.25,42,1017,303.365,307.15,300.15,1411712128,1411755282,801,65,3.85,0,0,0,0,26,9,2014,17,"cmc stations","ES","few clouds","02d","Clouds"
392153,20,200,37.38,-5.98,1411750800,2510170,42,1017,302.25,306.15,300.15,1411712128,1411755282,801,60,3.1,0,0,0,0,26,9,2014,18,"cmc stations","ES","few clouds","02d","Clouds"
392154,20,200,37.38,-5.98,1411754400,5398327,47,1017,301.49,306.15,299.15,1411712128,1411755282,211,60,2.6,0,0,0,0,26,9,2014,19,"cmc stations","ES","proximity thunderstorm","11d","Thunderstorm"
