"houred","clouds_all","cod","coord_lat","coord_lon","dt","id","main_humidity","main_pressure","main_temp","main_temp_max","main_temp_min","sys_sunrise","sys_sunset","weather_id","wind_deg","wind_speed","rain_1h","rain_3h","snow_1h","snow_3h","day","month","year","hour","base","sys_country","weather_description","weather_icon","weather_main"
392145,37.5,200,59.32,18.1,1411724100,4989087,87,1007,285.415,285.65,285.15,1411706534,1411749320,801.5,185,5.15,0,0,0,0,26,9,2014,10,"cmc stations","SE","Sky is Clear","01d","Clear"
392146,75,200,59.32,18.1,1411726800,2673724.75,87,1006,286.15,286.15,286.15,1411706534,1411749320,803,180,4.6,0,0,0,0,26,9,2014,11,"cmc stations","SE","broken clouds","04d","Clouds"
392147,75,200,59.32,18.1,1411731840,3602293.8,82,1005,287.15,287.15,287.15,1411706534,1411749320,803,190,5.58,0,0,0,0,26,9,2014,12,"cmc stations","SE","broken clouds","04d","Clouds"
392149,75,200,59.32,18.1,1411737600,3831410.25,82,1003,287.15,287.15,287.15,1411706534,1411749320,803,180,6.2,0,0,0,0,26,9,2014,14,"cmc stations","SE","broken clouds","04d","Clouds"
392150,75,200,59.32,18.1,1411742100,2673730,84.5,1002,287.415,287.65,287.15,1411706534,1411749320,803,180,6.2,0,0,0,0,26,9,2014,15,"cmc stations","SE","broken clouds","04d","Clouds"
392151,75,200,59.32,18.1,1411746600,2673730,82,1001,288.15,288.15,288.15,1411706534,1411749320,803,190,5.7,0,0,0,0,26,9,2014,16,"cmc stations","SE","broken clouds","04d","Clouds"
392152,57.5,200,59.32,18.1,1411749300,2679779,84.5,1000,288.15,288.15,288.15,1411706534,1411749320,802.5,205,5.95,0,0,0,0,26,9,2014,17,"cmc stations","SE","broken clouds","04d","Clouds"
392153,57.5,200,59.32,18.1,1411752900,4995139.5,87,999.5,288.685,289.15,288.15,1411706534,1411749320,651,205,5.1,0,0,0,0,26,9,2014,18,"cmc stations","SE","scattered clouds","03n","Clouds"
392154,75,200,59.32,18.1,1411755600,6146770.75,82,1000,288.69,289.15,288.15,1411706534,1411749320,803,220,5.7,0,0,0,0,26,9,2014,19,"cmc stations","SE","broken clouds","04n","Clouds"
392155,75,200,59.32,18.1,1411759200,2698691,67,1000,289.15,289.15,289.15,1411706534,1411749320,803,250,6.7,0,0,0,0,26,9,2014,20,"cmc stations","SE","broken clouds","04n","Clouds"
392156,1.33333333333333,200,59.32,18.1,1411764000,3479830.83333333,83,1001.66666666667,285.15,285.15,285.15,1411706534,1411749320,800,253.333333333333,4.96666666666667,0,0,0,0,26,9,2014,21,"cmc stations","SE","Sky is Clear","01n","Clear"
392157,0,200,59.32,18.1,1411768200,7304451,71,1003,284.62,285.15,284.15,1411706534,1411749320,800,260,6.2,0,0,0,0,26,9,2014,22,"cmc stations","SE","Sky is Clear","01n","Clear"
392158,0,200,59.32,18.1,1411771800,7304451,62,1004,284.62,285.15,284.15,1411706534,1411749320,800,260,5.7,0,0,0,0,26,9,2014,23,"cmc stations","SE","Sky is Clear","01n","Clear"
392159,0,200,59.32,18.1,1411773600,2725201,62,1004,284.62,285.15,284.15,1411706534,1411749320,800,260,5.7,0,0,0,0,27,9,2014,0,"cmc stations","SE","Sky is Clear","01n","Clear"
392160,0,200,59.32,18.1,1411777200,2673726.5,66,1004,283.62,284.15,283.15,1411793071,1411835542,800,250,7.2,0,0,0,0,27,9,2014,1,"cmc stations","SE","Sky is Clear","01n","Clear"
392161,0,200,59.32,18.1,1411782000,2693283.66666667,66,1005,283.62,284.15,283.15,1411793071,1411835542,800,250,6.86666666666667,0,0,0,0,27,9,2014,2,"cmc stations","SE","Sky is Clear","01n","Clear"
392162,0,200,59.32,18.1,1411785000,2725201,67.6666666666667,1005,283.463333333333,283.816666666667,283.15,1411793071,1411835542,800,246.666666666667,6.2,0,0,0,0,27,9,2014,3,"cmc stations","SE","Sky is Clear","01n","Clear"
392163,0,200,59.32,18.1,1411789800,2673726.5,71,1005,283.15,283.15,283.15,1411793071,1411835542,800,240,6.2,0,0,0,0,27,9,2014,4,"cmc stations","SE","Sky is Clear","01n","Clear"
392164,0,200,59.32,18.1,1411792800,2685828,71,1006,282.796666666667,283.15,282.483333333333,1411793071,1411835542,800,240,7.2,0,0,0,0,27,9,2014,5,"cmc stations","SE","Sky is Clear","01d","Clear"
392165,0,200,59.32,18.1,1411796100,4997515.5,73.5,1006,283.385,283.65,283.15,1411793071,1411835542,800,255,6.7,0,0,0,0,27,9,2014,6,"cmc stations","SE","Sky is Clear","01d","Clear"
392166,0,200,59.32,18.1,1411798800,2725201,71,1006,284.15,284.15,284.15,1411793071,1411835542,800,250,7.7,0,0,0,0,27,9,2014,7,"cmc stations","SE","Sky is Clear","01d","Clear"
392167,0,200,59.32,18.1,1411803750,2699465.5,66,1007.75,285.5,285.9,285.15,1411793071,1411835542,800,250,8.2,0,0,0,0,27,9,2014,8,"cmc stations","SE","Sky is Clear","01d","Clear"
392168,0,200,59.32,18.1,1411807800,2673730,54,1009,286.613333333333,287.15,286.15,1411793071,1411835542,800,270,9.8,0,0,0,0,27,9,2014,9,"cmc stations","SE","Sky is Clear","01d","Clear"
392169,0,200,59.32,18.1,1411811040,2683714.4,54,1009,287.15,287.15,287.15,1411793071,1411835542,800,262,8.3,0,0,0,0,27,9,2014,10,"cmc stations","SE","Sky is Clear","01d","Clear"
392170,0,200,59.32,18.1,1411815000,2725201,47,1010,288.15,288.15,288.15,1411793071,1411835542,800,270,10.3,0,0,0,0,27,9,2014,11,"cmc stations","SE","Sky is Clear","01d","Clear"
392171,0,200,59.32,18.1,1411818600,2673723,51,1010,288.15,288.15,288.15,1411793071,1411835542,800,270,9.3,0,0,0,0,27,9,2014,12,"cmc stations","SE","Sky is Clear","01d","Clear"
392172,0,200,59.32,18.1,1411821000,2673723,48,1010.33333333333,289.15,289.15,289.15,1411793071,1411835542,800,270,8.56666666666667,0,0,0,0,27,9,2014,13,"cmc stations","SE","Sky is Clear","01d","Clear"
392173,0,200,59.32,18.1,1411825200,4251617.66666667,51,1011,288.46,288.816666666667,288.15,1411793071,1411835542,800,263.333333333333,7.2,0,0,0,0,27,9,2014,14,"cmc stations","SE","Sky is Clear","01d","Clear"
392174,0,200,59.32,18.1,1411829400,2673730,51,1011,288.68,289.15,288.15,1411793071,1411835542,800,260,8.7,0,0,0,0,27,9,2014,15,"cmc stations","SE","Sky is Clear","01d","Clear"
392175,0,200,59.32,18.1,1411831800,2673727.66666667,59.3333333333333,1012,288.15,288.15,288.15,1411793071,1411835542,800,256.666666666667,7.7,0,0,0,0,27,9,2014,16,"cmc stations","SE","Sky is Clear","01d","Clear"
392176,0,200,59.32,18.1,1411836600,2711946,67,1012,287.15,287.15,287.15,1411793071,1411835542,800,260,5.1,0,0,0,0,27,9,2014,17,"cmc stations","SE","Sky is Clear","01n","Clear"
392177,0,200,59.32,18.1,1411838400,2698691,67,1012,286.62,287.15,286.15,1411793071,1411835542,800,250,5.1,0,0,0,0,27,9,2014,18,"cmc stations","SE","Sky is Clear","01n","Clear"
392178,0,200,59.32,18.1,1411843080,2683560,71,1013,286.15,286.15,286.15,1411793071,1411835542,800,250,5.1,0,0,0,0,27,9,2014,19,"cmc stations","SE","Sky is Clear","01n","Clear"
392179,0,200,59.32,18.1,1411846800,2677762.66666667,71,1013,285.62,286.15,285.15,1411793071,1411835542,800,233.333333333333,4.6,0,0,0,0,27,9,2014,20,"cmc stations","SE","Sky is Clear","01n","Clear"
392180,0,200,59.32,18.1,1411849200,2673730,71,1013,285.09,286.15,284.15,1411793071,1411835542,800,230,3.6,0,0,0,0,27,9,2014,21,"cmc stations","SE","Sky is Clear","01n","Clear"
392181,0,200,59.32,18.1,1411852800,5760875,81,1013,284.62,285.15,284.15,1411793071,1411835542,800,230,4.6,0,0,0,0,27,9,2014,22,"cmc stations","SE","Sky is Clear","01n","Clear"
392182,12,200,59.32,18.1,1411856400,2673730,87,1013,284.15,284.15,284.15,1411793071,1411835542,801,230,3.6,0,0,0,0,27,9,2014,23,"cmc stations","SE","few clouds","02n","Clouds"
392183,12,200,59.32,18.1,1411860900,2673726.5,84,1013,284.385,284.65,284.15,1411836339.5,1411878653,801,230,4.85,0,0,0,0,28,9,2014,0,"cmc stations","SE","few clouds","02n","Clouds"
392184,12,200,59.32,18.1,1411864500,2673723,84,1013,284.385,284.65,284.15,1411879608,1411921764,801,230,3.35,0,0,0,0,28,9,2014,1,"cmc stations","SE","few clouds","02n","Clouds"
392185,56,200,59.32,18.1,1411868100,2725197.5,87,1013,284.15,284.15,284.15,1411879608,1411921764,803,230,3.85,0,0,0,0,28,9,2014,2,"cmc stations","SE","broken clouds","04n","Clouds"
392186,56,200,59.32,18.1,1411872000,2690368.33333333,87,1013,284.15,284.15,284.15,1411879608,1411921764,803,230,4.6,0,0,0,0,28,9,2014,3,"cmc stations","SE","broken clouds","04n","Clouds"
392187,48,200,59.32,18.1,1411876200,2673730,93,1013,284.15,284.15,284.15,1411879608,1411921764,802,240,4.6,0,0,0,0,28,9,2014,4,"cmc stations","SE","scattered clouds","03n","Clouds"
392188,24,200,59.32,18.1,1411879800,5001571,87,1013,284.15,284.15,284.15,1411879608,1411921764,801,220,2.6,0,0,0,0,28,9,2014,5,"cmc stations","SE","few clouds","02d","Clouds"
392189,44,200,59.32,18.1,1411882500,2711946,81,1013,284.885,285.15,284.65,1411879608,1411921764,802,230,4.6,0,0,0,0,28,9,2014,6,"cmc stations","SE","few clouds","02d","Clouds"
392190,24,200,59.32,18.1,1411886400,2695987.33333333,81,1013,285.503333333333,285.816666666667,285.15,1411879608,1411921764,801,233.333333333333,4.76666666666667,0,0,0,0,28,9,2014,7,"cmc stations","SE","few clouds","02d","Clouds"
392191,22,200,59.32,18.1,1411890600,2707890.5,76,1013,286.15,286.15,286.15,1411879608,1411921764,801,240,5.1,0,0,0,0,28,9,2014,8,"cmc stations","SE","scattered clouds","03d","Clouds"
392192,20,200,59.32,18.1,1411893300,7304451,71,1013,287.15,287.15,287.15,1411879608,1411921764,801,250,6.45,0,0,0,0,28,9,2014,9,"cmc stations","SE","Sky is Clear","01d","Clear"
392193,26.6666666666667,200,59.32,18.1,1411897200,5760877.33333333,67,1013,287.973333333333,288.15,287.816666666667,1411879608,1411921764,801.333333333333,260,7.36666666666667,0,0,0,0,28,9,2014,10,"cmc stations","SE","few clouds","02d","Clouds"
392194,20,200,59.32,18.1,1411900200,2673723,62.3333333333333,1012,288.306666666667,288.483333333333,288.15,1411879608,1411921764,801,266.666666666667,8.03333333333333,0,0,0,0,28,9,2014,11,"cmc stations","SE","few clouds","02d","Clouds"
392195,20,200,59.32,18.1,1411904100,7304451,59,1012,289.15,289.15,289.15,1411879608,1411921764,801,260,8.75,0,0,0,0,28,9,2014,12,"cmc stations","SE","few clouds","02d","Clouds"
392196,20,200,59.32,18.1,1411908150,2695475.25,59,1012,289.15,289.15,289.15,1411879608,1411921764,801,260,8.075,0,0,0,0,28,9,2014,13,"cmc stations","SE","few clouds","02d","Clouds"
392197,20,200,59.32,18.1,1411912200,2682045.66666667,59,1012,289.15,289.15,289.15,1411879608,1411921764,801,260,6.2,0,0,0,0,28,9,2014,14,"cmc stations","SE","few clouds","02d","Clouds"
392198,0,200,59.32,18.1,1411915800,7304451,63,1012,289.15,289.15,289.15,1411879608,1411921764,800,240,5.7,0,0,0,0,28,9,2014,15,"cmc stations","SE","Sky is Clear","01d","Clear"
392199,0,200,59.32,18.1,1411918500,2686210.5,65,1012,288.65,288.65,288.65,1411879608,1411921764,800,245,6.2,0,0,0,0,28,9,2014,16,"cmc stations","SE","Sky is Clear","01d","Clear"
392200,0,200,59.32,18.1,1411921800,2712076.66666667,73.3333333333333,1012,287.816666666667,287.816666666667,287.816666666667,1411879608,1411921764,800,240,5.33333333333333,0,0,0,0,28,9,2014,17,"cmc stations","SE","Sky is Clear","01d","Clear"
392201,0,200,59.32,18.1,1411924800,4989087,76,1012,287.15,287.15,287.15,1411879608,1411921764,800,240,3.6,0,0,0,0,28,9,2014,18,"cmc stations","SE","Sky is Clear","01n","Clear"
392202,0,200,59.32,18.1,1411928400,2690887,76,1013,286.613333333333,287.15,286.15,1411879608,1411921764,800,230,3.1,0,0,0,0,28,9,2014,19,"cmc stations","SE","Sky is Clear","01n","Clear"
392203,0,200,59.32,18.1,1411932000,2725201,76,1013,286.62,287.15,286.15,1411879608,1411921764,800,250,4.1,0,0,0,0,28,9,2014,20,"cmc stations","SE","Sky is Clear","01n","Clear"
392204,42.6666666666667,200,59.32,18.1,1411936500,3451130,82,1013,286.15,286.15,286.15,1411879608,1411921764,802.333333333333,255,3.6,0,0,0,0,28,9,2014,21,"cmc stations","SE","scattered clouds","03n","Clouds"
392205,36,200,59.32,18.1,1411939200,7304451,82,1013,286.15,286.15,286.15,1411879608,1411921764,802,240,4.6,0,0,0,0,28,9,2014,22,"cmc stations","SE","scattered clouds","03n","Clouds"
392206,48,200,59.32,18.1,1411943400,4225369,83.6666666666667,1014,286.15,286.15,286.15,1411879608,1411921764,802,250,4.26666666666667,0,0,0,0,28,9,2014,23,"cmc stations","SE","scattered clouds","03n","Clouds"
392207,48,200,59.32,18.1,1411948200,7304451,87,1014,286.15,286.15,286.15,1411966146,1412007987,802,250,3.6,0,0,0,0,29,9,2014,0,"cmc stations","SE","scattered clouds","03n","Clouds"
392208,56,200,59.32,18.1,1411950000,2725194,87,1014,286.15,286.15,286.15,1411966146,1412007987,803,240,4.1,0,0,0,0,29,9,2014,1,"cmc stations","SE","broken clouds","04n","Clouds"
392209,44,200,59.32,18.1,1411955400,2699462,87,1013,286.15,286.15,286.15,1411966146,1412007987,802,240,4.6,0,0,0,0,29,9,2014,2,"cmc stations","SE","scattered clouds","03n","Clouds"
392210,44,200,59.32,18.1,1411958400,2690887,87,1013,286.15,286.15,286.15,1411966146,1412007987,802,246.666666666667,4.26666666666667,0,0,0,0,29,9,2014,3,"cmc stations","SE","scattered clouds","03n","Clouds"
