"houred","clouds_all","cod","coord_lat","coord_lon","dt","id","main_humidity","main_pressure","main_temp","main_temp_max","main_temp_min","sys_sunrise","sys_sunset","weather_id","wind_deg","wind_speed","rain_1h","rain_3h","snow_1h","snow_3h","day","month","year","hour","base","sys_country","weather_description","weather_icon","weather_main"
392145,75,200,54.68,25.28,1411725000,593116,81,1016,284.15,284.15,284.15,1411704757,1411747652,803,240,2.1,0,0,0,0,26,9,2014,10,"cmc stations","LT","broken clouds","04d","Clouds"
392146,75,200,54.68,25.28,1411726800,2713879.33333333,81,1016,284.15,284.15,284.15,1411704757,1411747652,803,0,1.5,0,0,0,0,26,9,2014,11,"cmc stations","LT","broken clouds","04d","Clouds"
392147,75,200,54.68,25.28,1411731600,2713879.33333333,69.3333333333333,1016.66666666667,285.816666666667,285.816666666667,285.816666666667,1411704757,1411747652,803,236.666666666667,2.43333333333333,0,0,0,0,26,9,2014,12,"cmc stations","LT","broken clouds","04d","Clouds"
392148,40,200,54.68,25.28,1411734000,6955406,62,1017,287.15,287.15,287.15,1411704757,1411747652,802,220,2.1,0,0,0,0,26,9,2014,13,"cmc stations","LT","scattered clouds","03d","Clouds"
392149,54,200,54.68,25.28,1411738440,5682948,66.6,1017,286.75,286.75,286.75,1411704757,1411747652,802.4,282,2.5,0,0,0,0,26,9,2014,14,"cmc stations","LT","scattered clouds","03d","Clouds"
392150,75,200,54.68,25.28,1411741800,593116,72.6666666666667,1017,285.816666666667,285.816666666667,285.816666666667,1411704757,1411747652,803,230,2.6,0,0,0,0,26,9,2014,15,"cmc stations","LT","broken clouds","04d","Clouds"
392151,75,200,54.68,25.28,1411746000,593116,79.3333333333333,1017,285.15,285.15,285.15,1411704757,1411747652,803,210,2.43333333333333,0,0,0,0,26,9,2014,16,"cmc stations","LT","broken clouds","04d","Clouds"
392152,75,200,54.68,25.28,1411749300,6955406,87,1017,283.65,283.65,283.65,1411704757,1411747652,803,200,2.35,0,0,0,0,26,9,2014,17,"cmc stations","LT","broken clouds","04n","Clouds"
392153,57.5,200,54.68,25.28,1411752900,593116,90,1017,282.15,282.15,282.15,1411704757,1411747652,802.5,200,1.8,0,0,0,0,26,9,2014,18,"cmc stations","LT","broken clouds","04n","Clouds"
392154,40,200,54.68,25.28,1411755600,3774261,93,1017,281.15,281.15,281.15,1411704757,1411747652,802,190,1.5,0,0,0,0,26,9,2014,19,"cmc stations","LT","scattered clouds","03n","Clouds"
392155,12,200,54.68,25.28,1411759200,593116,93,1017,280.15,280.15,280.15,1411704757,1411747652,801,190,2.6,0,0,0,0,26,9,2014,20,"cmc stations","LT","few clouds","02n","Clouds"
392156,12,200,54.68,25.28,1411763520,593116,95.8,1017,279.15,279.15,279.15,1411704757,1411747652,801,180,3.1,0,0,0,0,26,9,2014,21,"cmc stations","LT","few clouds","02n","Clouds"
392157,12,200,54.68,25.28,1411767000,4834642.66666667,100,1017,279.15,279.15,279.15,1411704757,1411747652,801,193.333333333333,3.43333333333333,0,0,0,0,26,9,2014,22,"cmc stations","LT","few clouds","02n","Clouds"
392158,64,200,54.68,25.28,1411771200,593116,100,1016.33333333333,279.15,279.15,279.15,1411704757,1411747652,803,190,3.6,0,0,0,0,26,9,2014,23,"cmc stations","LT","broken clouds","04n","Clouds"
